Metabolite,Glucose,Glucose-LB,Glucose-UB,Glycerol,Glycerol-LB,Glycerol-UB,Acetate,Acetate-LB,Acetate-UB
"2,3-Dihydroxybenzoic acid",1.38E-04,1.17E-04,1.64E-04,4.14E-04,2.91E-04,5.88E-04,2.74E-04,1.26E-04,5.97E-04
3-phosphoglycerate,1.54E-03,1.51E-03,1.58E-03,4.08E-03,3.36E-03,4.95E-03,1.51E-03,1.02E-03,2.23E-03
4-hydroxybenzoate,5.22E-05,4.43E-05,6.15E-05,7.87E-04,3.67E-04,1.69E-03,2.94E-04,1.66E-04,5.19E-04
6-phospho-D-gluconate,3.77E-03,3.69E-03,3.85E-03,4.00E-04,2.46E-04,6.53E-04,1.93E-04,9.00E-05,4.14E-04
acetoacetyl-CoA,2.18E-05,1.37E-05,3.47E-05,,,,,,
acetyl-CoA,6.06E-04,5.29E-04,6.94E-04,7.34E-04,3.32E-04,1.63E-03,6.28E-04,2.27E-04,1.74E-03
acetylphosphate,1.07E-03,1.02E-03,1.13E-03,1.05E-03,3.90E-04,2.80E-03,1.56E-03,1.20E-03,2.04E-03
aconitate,1.61E-05,1.38E-05,1.88E-05,9.59E-05,5.27E-05,1.74E-04,7.23E-05,3.66E-05,1.43E-04
adenine,1.47E-06,1.26E-06,1.71E-06,,,,,,
adenosine,1.31E-07,9.44E-08,1.82E-07,,,,,,
adenosine-phosphosulfate,6.63E-06,5.10E-06,8.62E-06,,,,,,
ADP,5.55E-04,4.37E-04,7.04E-04,1.49E-04,9.81E-05,2.25E-04,1.89E-04,8.02E-05,4.47E-04
ADP-glucose,4.27E-06,2.83E-06,6.44E-06,,,,,,
alanine,2.55E-03,2.32E-03,2.80E-03,1.77E-03,1.49E-03,2.09E-03,8.79E-04,7.10E-04,1.09E-03
a-ketoglutarate,4.43E-04,3.12E-04,6.31E-04,6.16E-04,3.57E-04,1.06E-03,4.46E-04,2.65E-04,7.51E-04
AMP,2.81E-04,2.32E-04,3.41E-04,1.56E-04,9.41E-05,2.60E-04,1.01E-04,3.16E-05,3.25E-04
anthranilate,3.48E-06,3.34E-06,3.62E-06,2.66E-06,1.43E-06,4.93E-06,3.44E-06,2.63E-06,4.49E-06
arginine,5.69E-04,4.79E-04,6.75E-04,,,,,,
asparagine,5.11E-04,4.42E-04,5.92E-04,9.70E-04,6.09E-04,1.55E-03,5.40E-04,3.32E-04,8.80E-04
aspartate,4.23E-03,3.56E-03,5.04E-03,9.30E-03,6.45E-03,1.34E-02,7.35E-03,3.27E-03,1.65E-02
ATP,9.63E-03,8.13E-03,1.14E-02,8.98E-03,6.91E-03,1.17E-02,4.14E-03,2.79E-03,6.13E-03
carbamyl-aspartate,5.90E-04,3.64E-04,9.55E-04,9.02E-05,3.20E-05,2.54E-04,2.66E-05,6.33E-06,1.12E-04
citrate,1.96E-03,1.10E-03,3.48E-03,2.32E-03,1.23E-03,4.37E-03,2.19E-02,1.75E-02,2.73E-02
