Time,Glucose mean,Glucose std
0,10.883,0.026870058
11,9.869,0.012727922
12,8.607,0.04384062
13,7.505,0.035355339
14,7.075,0.055154329
15,6.009,0.021213203
16,4.437,0.074953319
17,2.178,0.028284271
18,0.246,0.028284271
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
24,0,NaN
25,0,NaN
26,0,NaN
27,0,NaN
28,0,NaN
29,0,NaN
30,0,NaN
31,0,NaN
32,0,NaN
34,0,NaN
36,0,NaN
38,0,NaN
40,0,NaN
42,0,NaN
44,0,NaN
46,0,NaN
48,0,NaN
50,0,NaN
52,0,NaN
56,0,NaN
60,0,NaN
64,0,NaN
68,0,NaN
72,0,NaN
76,0,NaN
80,0,NaN
86,0,NaN
92,0,NaN
98,0,NaN
104,0,NaN
110,0,NaN
116,0,NaN
128,0,NaN
140,0,NaN
152,0,NaN
164,0,NaN
182,0,NaN
227,0,NaN
229,0,NaN
