Metabolite name,Value,Uncertainty,10h value
Glucose-6-phosphate,17.65,0.53,
Fructose-6-phosphate,29.29,0.6,
"Fructose-1,6-bisphosphate",34.21,0.72,
Dihydroxyacetonephosphate,50.4,1.74,40
Glyceraldehyde-3-phosphate,15.04,0.24,10
2/3-phosphoglycerate,19.45,1.55,15
Phosphoenolpyruvate,20.43,0.28,5
Pyruvate,4924,509,
6-Phosphogluconate,0,0,
Ribose-5-phosphate,10.29,0.22,8
Ribu-/Xylulose-5-phosphate,3.69,0.04,2.5
Erythrose-4-phosphate,1.31,0.21,0.8
Sedoheptulose-7-phosphate,0,0,
Acetyl-CoA,0,0,
Citrate,139.8,6.2,120
Cis-aconitate,14.13,0.4,
Isocitrate,23.13,0.54,
α-Ketoglutarate,200,17.7,50
Fumarate,12.45,2.31,4
Malate,0,0,
Glyoxylate,0,0,
Cometabolites,,,
AXP,0,0,
NAD(H),0,0,
NADP(H),0,0,
Aminoacids,,,
Alanine,1.69,0.19,
Leucine/Isoleucine,20.17,0.21,1
Valine,88.5,2.18,1
Aspartate,20.87,0.55,1
Homoserine,2.43,0.48,
Threonine,2.59,0.3,2
Methionine,0.55,0.01,0.35
Lysine,0,0,
Tryptophane,0.25,0.01,0.18
Tyrosine,29.8,0.9,1
Phenylalanine,28,0.56,1
Glutamate,0,0,
Glutamine,0,0,
Proline,0.54,0.13,0.4
Serine,0.87,0.52,0.5
Glycine,1.23,0.52,0.4
Arginine,9.61,0.91,
Histidine,6.84,0.01,
Others,,,
Acetate,12949,851,
Ethanol,0,0,
Orotate,1100,27,250
Uracil,1443,30,
dihydroxyacetone,,,
Acetaldehyde,,,
