,Metabolite name,Metabolite id,Status
0,"'(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran'","'(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran'",Mixed
1,"'(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one'","'(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one'",Mixed
2,"'1,6-anhydrous-N-Acetylmuramate'","'1,6-anhydrous-N-Acetylmuramate'",Produced
3,"'1,6-anhydrous-N-Acetylmuramyl-tripeptide'","'1,6-anhydrous-N-Acetylmuramyl-tripeptide'",Mixed
4,'1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)','C018126',Consumed
5,'3-Aminoacrylate','3-Aminoacrylate',Mixed
6,"'(R)-2,3-Dihydroxy-3-methylbutanoate'",'C04272',Mixed
7,'2-Dehydro-L-gulonate','C06473',Mixed
8,'ATP','C00002',Mixed
9,'ADP','C00008',Mixed
10,'Phosphate','C00009',Mixed
11,'Diphosphate','C00013',Mixed
12,'Pyridoxal 5''-phosphate','C00018',Mixed
13,'3''-AMP','C01367',Consumed
14,'S-Adenosyl-L-homocysteine','C00021',Consumed
15,'Malonate semialdehyde','C00222',Consumed
16,'D-Glutamate','C00217',Mixed
17,'2-Oxoglutarate','C00026',Produced
18,"'UDP-D-galacto-1,4-furanose'",'C03733',Mixed
19,'D-Allose','C01487',Consumed
20,'Acetate','C00033',Mixed
21,'Glycine','C00037',Mixed
22,'D-Alanine','C00133',Mixed
23,'Succinate','C00042',Mixed
24,'L-Lysine','C00047',Consumed
25,'Glyoxylate','C00048',Consumed
26,'L-Aspartate','C00049',Mixed
27,'Reduced glutathione','C00051',Mixed
28,"'UDP-D-galacto-1,4-furanose'",'C03733',Mixed
29,'ADP','C00008',Mixed
30,'3''-cmp','C05822',Mixed
31,'Sulfate','C00059',Mixed
32,'FMN','C00061',Produced
33,'L-Arginine','C00062',Mixed
34,'L-Glutamine','C00064',Mixed
35,'D-Serine','C00740',Mixed
36,'L-Ascorbate','C00072',Mixed
37,'D-Methionine','C00855',Mixed
38,'Phosphoenolpyruvate','C00074',Produced
39,'L-Tryptophan','C00078',Mixed
40,'L-Phenylalanine','C00079',Consumed
41,'ITP','C00081',Mixed
42,'L-Tyrosine','C00082',Mixed
43,'1D-myo-Inositol 1-phosphate','C01177',Produced
44,'Lactose','C00243',Mixed
45,'1D-myo-Inositol 1-phosphate','C01177',Produced
46,'Glycerol 2-phosphate','C02979',Mixed
47,'Sulfite','C00094',Mixed
48,'Sulfite','C00094',Consumed
49,'D-Allose','C01487',Consumed
50,'D-Cysteine','C00793',Consumed
51,'D-Alanine','C00133',Mixed
52,'1D-myo-Inositol 1-phosphate','C01177',Produced
53,'3''-UMP','C01368',Consumed
54,'Uracil','C00106',Mixed
55,'4-Aminobenzoate','C00568',Produced
56,'2-Oxobutanoate','C00109',Mixed
57,'Dihydroxyacetone phosphate','C00111',Mixed
58,'D-Arabinose 5-phosphate','C01112',Produced
59,"'(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran'","'(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran'",Mixed
60,'Fumarate','C00122',Mixed
61,'L-Isoleucine','C00407',Mixed
62,'D-Allose','C01487',Consumed
63,'Oxidized glutathione','C00127',Mixed
64,'D-Alanine','C00133',Mixed
65,'L-Histidine','C00135',Mixed
66,'D-Allose','C01487',Consumed
67,'N-Acetyl-D-galactosamine','C01132',Mixed
68,'3-Methyl-2-oxobutanoate','C00141',Mixed
69,'3''-GMP','C06193',Consumed
70,'4-Hydroxy-L-threonine','C06056',Mixed
71,'L-Proline','C00148',Mixed
72,'D-Malate','C00497',Mixed
73,'L-Asparagine','C00152',Consumed
74,'L-Homocysteine','C00155',Mixed
75,'butanesulfonate','C06840',Mixed
76,"'2,3-Dioxo-L-gulonate'",'C04575',Mixed
