Ionization Mode,Ion Index,m/z,"Annotations (Compound Name, Modification, Sum-Formula, KEGG Code, HMDB Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,1,56.996,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,2,57.035,2-Oxobutanoate -CO2-H(+) C4H6O3 C00109 HMDB00005,Acetoacetate -CO2-H(+) C4H6O3 C00164 HMDB00060,Acetone -H(+) C3H6O C00207 HMDB01659,Succinate semialdehyde -CO2-H(+) C4H6O3 C00232 HMDB01259,Propanal -H(+) C3H6O C00479 HMDB03366,(S)-Methylmalonate semialdehyde -CO2-H(+) C4H6O3 C06002 HMDB02217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,3,57.056,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,4,58.038,Acetone [+1]-H(+) C3H6O C00207 HMDB01659,Propanal [+1]-H(+) C3H6O C00479 HMDB03366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,5,59.014,Acetate -H(+) C2H4O2 C00033 HMDB00042,Glycolaldehyde -H(+) C2H4O2 C00266 HMDB03344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,6,59.050,4-Hydroxybutanoic acid -CO2-H(+) C4H8O3 C00989 HMDB00710,(R)-3-Hydroxybutanoate -CO2-H(+) C4H8O3 C01089 HMDB00011,Propan-2-ol -H(+) C3H8O C01845 n.a.,Propane-1-ol -H(+) C3H8O C05979 HMDB00820,2-Hydroxybutanoic acid -CO2-H(+) C4H8O3 C05984 HMDB00008,(S)-3-Hydroxyisobutyrate -CO2-H(+) C4H8O3 C06001 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,7,59.071,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,8,59.105,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,9,59.146,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,10,59.986,HCO3- -H(+) HCO3 C00288 HMDB00595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,11,60.017,Acetate [+1]-H(+) C2H4O2 C00033 HMDB00042,Glycolaldehyde [+1]-H(+) C2H4O2 C00266 HMDB03344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,12,60.054,Propan-2-ol [+1]-H(+) C3H8O C01845 n.a.,Propane-1-ol [+1]-H(+) C3H8O C05979 HMDB00820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,13,60.993,CO2 +OH(-) CO2 C00011 HMDB01967,Carbonic acid -H(+) H2CO3 C01353 HMDB03538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,14,61.015,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,15,61.054,Propan-2-ol [+2]-H(+) C3H8O C01845 n.a.,Propane-1-ol [+2]-H(+) C3H8O C05979 HMDB00820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,16,61.091,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,17,61.989,Nitrate -H(+) HNO3 C00244 HMDB02878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,18,61.997,CO2 [+1]+OH(-) CO2 C00011 HMDB01967,Carbonic acid [+1]-H(+) H2CO3 C01353 HMDB03538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,19,62.998,Carbonic acid [+2]-H(+) H2CO3 C01353 HMDB03538,Chloroethane -H(+) C2H5Cl C18248 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,20,68.996,Propynoate -H(+) C3H2O2 C00804 HMDB06804,Acetylenedicarboxylate -CO2-H(+) C4H2O4 C03248 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,21,69.035,Butanoic acid -H2O-H(+) C4H8O2 C00246 HMDB00039,(R)-Acetoin -H2O-H(+) C4H8O2 C00810 n.a.,(S)-Acetoin -H2O-H(+) C4H8O2 C01769 n.a.,3-Butyn-1-ol -H(+) C4H6O C06146 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,22,70.029,L-Alanine -H2O-H(+) C3H7NO2 C00041 HMDB00161,beta-Alanine -H2O-H(+) C3H7NO2 C00099 HMDB00056,D-Alanine -H2O-H(+) C3H7NO2 C00133 HMDB01310,Sarcosine -H2O-H(+) C3H7NO2 C00213 HMDB00271,Alanine -H2O-H(+) C3H7NO2 C01401 n.a.,Maleamate -CO2-H(+) C4H5NO3 C01596 n.a.,Acrylamide -H(+) C3H5NO C01659 HMDB04296,Acrylonitrile +OH(-) C3H3N C01998 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,23,71.013,L-Alanine -NH3-H(+) C3H7NO2 C00041 HMDB00161,beta-Alanine -NH3-H(+) C3H7NO2 C00099 HMDB00056,D-Alanine -NH3-H(+) C3H7NO2 C00133 HMDB01310,Glycerone -H2O-H(+) C3H6O3 C00184 HMDB01882,(S)-Lactate -H2O-H(+) C3H6O3 C00186 HMDB00190,Sarcosine -NH3-H(+) C3H7NO2 C00213 HMDB00271,(R)-Lactate -H2O-H(+) C3H6O3 C00256 HMDB01311,Propenoate -H(+) C3H4O2 C00511 n.a.,Methylglyoxal -H(+) C3H4O2 C00546 HMDB01167,D-Glyceraldehyde -H2O-H(+) C3H6O3 C00577 n.a.,3-Hydroxypropanoate -H2O-H(+) C3H6O3 C01013 HMDB00700,Alanine -NH3-H(+) C3H7NO2 C01401 n.a.,2-Propynal +OH(-) C3H2O C05985 HMDB06803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,24,71.050,3-Methyl-2-oxobutanoic acid -CO2-H(+) C5H8O3 C00141 HMDB00019,Butanal -H(+) C4H8O C01412 HMDB03543,5-Oxopentanoate -CO2-H(+) C5H8O3 C03273 HMDB12233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,25,71.982,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,26,72.045,L-Aspartate 4-semialdehyde -CO2-H(+) C4H7NO3 C00441 HMDB12249,Aminoacetone -H(+) C3H7NO C01888 HMDB02134,L-2-Amino-3-oxobutanoic acid -CO2-H(+) C4H7NO3 C03508 HMDB06454,3-Aminopropanal -H(+) C3H7NO C05665 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,27,72.969,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,28,73.029,Succinate -CO2-H(+) C4H6O4 C00042 HMDB00254,Glycerol -H2O-H(+) C3H8O3 C00116 HMDB00131,Propanoate -H(+) C3H6O2 C00163 HMDB00237,(S)-Lactaldehyde -H(+) C3H6O2 C00424 HMDB03052,(R)-Lactaldehyde -H(+) C3H6O2 C00937 HMDB06458,3-Hydroxypropanal -H(+) C3H6O2 C00969 HMDB03453,Methylmalonate -CO2-H(+) C4H6O4 C02170 HMDB00202,Hydroxyacetone -H(+) C3H6O2 C05235 HMDB06961,2-Propyn-1-ol +OH(-) C3H4O C05986 n.a.,Lactaldehyde -H(+) C3H6O2 C05999 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,29,74.024,Glycine -H(+) C2H5NO2 C00037 HMDB00123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,30,74.967,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,31,74.993,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,32,76.969,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,33,77.039,Benzoate -CO2-H(+) C7H6O2 C00180 HMDB01870,4-Hydroxybenzaldehyde -CO2-H(+) C7H6O2 C00633 HMDB11718,Benzene -H(+) C6H6 C01407 HMDB01505,3-Hydroxybenzaldehyde -CO2-H(+) C7H6O2 C03067 n.a.,Salicylaldehyde -CO2-H(+) C7H6O2 C06202 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,34,78.959,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,35,79.957,HSO3- -H(+) HSO3 C11481 HMDB01033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,36,81.034,"1,2,3-Trihydroxybenzene -CO2-H(+) C6H6O3 C01108 n.a.",Phloroglucinol -CO2-H(+) C6H6O3 C02183 n.a.,"Benzene-1,2,4-triol -CO2-H(+) C6H6O3 C02814 n.a.",Maltol -CO2-H(+) C6H6O3 C11918 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,37,82.974,Carbonic acid .H/Na-H(+) H2CO3 C01353 HMDB03538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,38,83.012,Ethylene glycol .H/Na-H(+) C2H6O2 C01380 n.a.,3-Butynoate -H(+) C4H4O2 C06144 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,39,83.048,Dihydrophloroglucinol -CO2-H(+) C6H8O3 C06719 n.a.,3-Methylbutanoic acid -H2O-H(+) C5H10O2 C08262 HMDB00718,"2-Hydroxy-cis-hex-2,4-dienoate -CO2-H(+) C6H8O3 C11354 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,40,84.991,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,41,85.028,4-Aminobutanoate -NH3-H(+) C4H9NO2 C00334 HMDB00112,"2,5-Dioxopentanoate -CO2-H(+) C5H6O4 C00433 n.a.",Itaconate -CO2-H(+) C5H6O4 C00490 HMDB02092,Diacetyl -H(+) C4H6O2 C00741 HMDB03407,4-Hydroxybutanoic acid -H2O-H(+) C4H8O3 C00989 HMDB00710,"N,N-Dimethylglycine -NH3-H(+) C4H9NO2 C01026 HMDB00092",(R)-3-Hydroxybutanoate -H2O-H(+) C4H8O3 C01089 HMDB00011,Mesaconate -CO2-H(+) C5H6O4 C01732 HMDB00749,2-Methylmaleate -CO2-H(+) C5H6O4 C02226 HMDB00634,"4,5-Dioxopentanoate -CO2-H(+) C5H6O4 C02800 n.a.",L-3-Amino-isobutanoate -NH3-H(+) C4H9NO2 C03284 HMDB02166,3-Aminoisobutyric acid -NH3-H(+) C4H9NO2 C05145 HMDB03911,2-Hydroxybutanoic acid -H2O-H(+) C4H8O3 C05984 HMDB00008,(S)-3-Hydroxyisobutyrate -H2O-H(+) C4H8O3 C06001 n.a.,3-Butyn-1-al +OH(-) C4H4O C06145 HMDB06853,Cyclopropanecarboxylate -H(+) C4H6O2 C16267 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,42,85.065,4-Methyl-2-oxopentanoate -CO2-H(+) C6H10O3 C00233 n.a.,(S)-3-Methyl-2-oxopentanoic acid -CO2-H(+) C6H10O3 C00671 HMDB00491,beta-Ketoisocaproate -CO2-H(+) C6H10O3 C03467 n.a.,Adipate semialdehyde -CO2-H(+) C6H10O3 C06102 HMDB12882,1-Oxa-2-oxo-3-hydroxycycloheptane -CO2-H(+) C6H10O3 C12314 n.a.,Isoprene +OH(-) C5H8 C16521 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,43,87.008,Pyruvate -H(+) C3H4O3 C00022 HMDB00243,3-Oxopropanoate -H(+) C3H4O3 C00222 HMDB11111,D-Glycerate -H2O-H(+) C3H6O4 C00258 HMDB00139,Propynoate +OH(-) C3H2O2 C00804 HMDB06804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,44,87.045,Butanoic acid -H(+) C4H8O2 C00246 HMDB00039,(R)-Acetoin -H(+) C4H8O2 C00810 n.a.,(S)-Acetoin -H(+) C4H8O2 C01769 n.a.,3-Butyn-1-ol +OH(-) C4H6O C06146 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,45,88.040,L-Alanine -H(+) C3H7NO2 C00041 HMDB00161,L-Aspartate -CO2-H(+) C4H7NO4 C00049 HMDB00191,beta-Alanine -H(+) C3H7NO2 C00099 HMDB00056,D-Alanine -H(+) C3H7NO2 C00133 HMDB01310,Sarcosine -H(+) C3H7NO2 C00213 HMDB00271,D-Aspartate -CO2-H(+) C4H7NO4 C00402 HMDB06483,Alanine -H(+) C3H7NO2 C01401 n.a.,Acrylamide +OH(-) C3H5NO C01659 HMDB04296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,46,88.971,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,47,89.024,Glycerone phosphate -HPO3-H(+) C3H7O6P C00111 HMDB01473,D-Glyceraldehyde 3-phosphate -HPO3-H(+) C3H7O6P C00118 n.a.,(S)-Malate -CO2-H(+) C4H6O5 C00149 HMDB00156,Glycerone -H(+) C3H6O3 C00184 HMDB01882,(S)-Lactate -H(+) C3H6O3 C00186 HMDB00190,(R)-Lactate -H(+) C3H6O3 C00256 HMDB01311,(R)-Malate -CO2-H(+) C4H6O5 C00497 n.a.,Propenoate +OH(-) C3H4O2 C00511 n.a.,Methylglyoxal +OH(-) C3H4O2 C00546 HMDB01167,D-Glyceraldehyde -H(+) C3H6O3 C00577 n.a.,3-Hydroxypropanoate -H(+) C3H6O3 C01013 HMDB00700,3-Dehydro-L-threonate -CO2-H(+) C4H6O5 C03064 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,48,89.141,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,49,90.027,Glycerone [+1]-H(+) C3H6O3 C00184 HMDB01882,(S)-Lactate [+1]-H(+) C3H6O3 C00186 HMDB00190,(R)-Lactate [+1]-H(+) C3H6O3 C00256 HMDB01311,Propenoate [+1]+OH(-) C3H4O2 C00511 n.a.,Methylglyoxal [+1]+OH(-) C3H4O2 C00546 HMDB01167,D-Glyceraldehyde [+1]-H(+) C3H6O3 C00577 n.a.,3-Hydroxypropanoate [+1]-H(+) C3H6O3 C01013 HMDB00700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,50,90.970,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,51,91.021,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,52,91.038,Glycerol -H(+) C3H8O3 C00116 HMDB00131,Propanoate +OH(-) C3H6O2 C00163 HMDB00237,(S)-Lactaldehyde +OH(-) C3H6O2 C00424 HMDB03052,(R)-Lactaldehyde +OH(-) C3H6O2 C00937 HMDB06458,3-Hydroxypropanal +OH(-) C3H6O2 C00969 HMDB03453,Threonate -CO2-H(+) C4H8O5 C01620 HMDB00943,Hydroxyacetone +OH(-) C3H6O2 C05235 HMDB06961,Lactaldehyde +OH(-) C3H6O2 C05999 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,53,91.054,Toluate -CO2-H(+) C8H8O2 C01454 n.a.,Toluene -H(+) C7H8 C01455 n.a.,4-Hydroxyphenylacetaldehyde -CO2-H(+) C8H8O2 C03765 HMDB03767,3-Vinylcatechol -CO2-H(+) C8H8O2 C07085 n.a.,Phenylacetic acid -CO2-H(+) C8H8O2 C07086 HMDB00209,2-Hydroxyacetophenone -CO2-H(+) C8H8O2 C07189 n.a.,m-Methylbenzoate -CO2-H(+) C8H8O2 C07211 n.a.,o-Toluate -CO2-H(+) C8H8O2 C07215 n.a.,4'-Hydroxyacetophenone -CO2-H(+) C8H8O2 C10700 n.a.,3-Methylsalicylaldehyde -CO2-H(+) C8H8O2 C14087 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,54,92.023,Cytosine -H2O-H(+) C4H5N3O C00380 HMDB00630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,55,92.042,Glycerol [+1]-H(+) C3H8O3 C00116 HMDB00131,Propanoate [+1]+OH(-) C3H6O2 C00163 HMDB00237,(S)-Lactaldehyde [+1]+OH(-) C3H6O2 C00424 HMDB03052,(R)-Lactaldehyde [+1]+OH(-) C3H6O2 C00937 HMDB06458,3-Hydroxypropanal [+1]+OH(-) C3H6O2 C00969 HMDB03453,Hydroxyacetone [+1]+OH(-) C3H6O2 C05235 HMDB06961,Lactaldehyde [+1]+OH(-) C3H6O2 C05999 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,56,93.001,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,57,93.034,Phenol -H(+) C6H6O C00146 HMDB00228,4-Hydroxybenzoate -CO2-H(+) C7H6O3 C00156 HMDB00500,3-Hydroxybenzoate -CO2-H(+) C7H6O3 C00587 HMDB02466,Salicylate -CO2-H(+) C7H6O3 C00805 HMDB01895,Butanal .H/Na-H(+) C4H8O C01412 HMDB03543,Gentisate aldehyde -CO2-H(+) C7H6O3 C05585 HMDB04062,2-Hydroxy-5-methylquinone -CO2-H(+) C7H6O3 C18316 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,58,94.979,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,59,95.012,Propanoate .H/Na-H(+) C3H6O2 C00163 HMDB00237,(S)-Lactaldehyde .H/Na-H(+) C3H6O2 C00424 HMDB03052,(R)-Lactaldehyde .H/Na-H(+) C3H6O2 C00937 HMDB06458,3-Hydroxypropanal .H/Na-H(+) C3H6O2 C00969 HMDB03453,1-Pyrroline-2-carboxylate -NH3-H(+) C5H7NO2 C03564 HMDB06875,(S)-1-Pyrroline-5-carboxylate -NH3-H(+) C5H7NO2 C03912 n.a.,cis-4-Carboxymethylenebut-2-en-4-olide -CO2-H(+) C6H4O4 C04431 n.a.,Hydroxyacetone .H/Na-H(+) C3H6O2 C05235 HMDB06961,Lactaldehyde .H/Na-H(+) C3H6O2 C05999 n.a.,Protoanemonin -H(+) C5H4O2 C07090 n.a.,trans-4-Carboxymethylenebut-2-en-4-olide -CO2-H(+) C6H4O4 C12838 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
