Abbreviation,Metabolite name,Ecoli metabolite,Yeast metabolite
G6P,Glucose-6-phosphate,g6p,s_0568
F6P,Fructose-6-phosphate,f6p,s_0557
FBP,"Fructose-1,6-bisphosphate",fdp,s_0555
DHAP,Dihydroxyacetonephosphate,dhap,s_0629
GA3P,Glyceraldehyde-3-phosphate,g3p,s_0764
23PG,2/3-phosphoglycerate,"2pg, 3pg","s_0188, s_0260"
PEP,Phosphoenolpyruvate,pep,s_1360
R5P,Ribose-5-phosphate,r5p,s_1408
RU5P+X5P,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L","s_0577, s_0581"
E4P,Erythrose-4-phosphate,e4p,s_0551
CIT,Citrate,cit,s_0522
ACN,Cis-aconitate,acon_C,s_0516
ICIT,Isocitrate,icit,s_0940
AKG MS,,,
SUC,Succinate,succ,s_1458
FUM MS,,,
OAS,Oxaloacetate,oaa,s_1271
GLU,Glutamate,glu__L,s_0991
SER,L-serine,ser__L,s_1039
ASP,Aspartate,asp__L,s_0973
THR,Threonine,thr__L,s_1045
HOM,Homoserine,hom__L,s_1014
TYR,Tyrosine,tyr__L,s_1051
GLY,Glycine,gly,s_1003
PRO,Proline,pro__L,s_1035
ALA,Alanine,ala__L,s_0955
MET,Methionine,met__L,s_1029
VAL,Valine,val__L,s_1056
LEU+ILEU,Leucine/Isoleucine,"leu__L, ile__L","s_1021, s_1016"
PHE,Phenylalanine,phe__L,s_1032
ILEU,Isoleucine,ile__L,s_1016
LEU,Leucine,leu__L,s_1021
TRP,Tryptophane,trp__L,s_1048
HIS,Histidine,his__L,s_1006
ARG,Arginine,arg__L,s_0965
PYR,Pyruvate,pyr,s_1399
ORO,Orotate,orot,s_1269
FUM,Fumarate,fum,s_0725
URA,Uracil,ura,s_1550
AKG,α-Ketoglutarate,akg,s_0180
ACT,Acetate,ac,s_0362
LYS,Lysine,lys__L,s_1025
GLN,Glutamine,gln__L,s_0999
ETH,Ethanol,etoh,s_0680
ASN,Asparagine,asn__L,s_0969
SHI,Shikimate,skm,s_1429
"PYR MS			",,,
PHE,Phenylalanine,phe__L,s_1032
