Medium number,Medium component IDs,Medium component name,Medium class
,akg_e,2-Oxoglutarate,
,asp__L_e,L-Aspartate,Amino acid
,pro__L_e,L-Proline,Amino acid
,ala__L_e,L-Alanine,Amino acid
,ser__L_e,L-Serine,Amino acid
,glu__L_e,L-Glutamate,Amino acid
,asn__L_e,L-Asparagine,Amino acid
,gln__L_e,L-Glutamine,Amino acid
,thr__L_e,L-Threonine,Amino acid
,mal__L_e,L-Malate,Organic acid
,ac_e,Acetate,Organic acid
,arg__L_e,L-Arginine,Amino acid
,cit_e,Citrate,Organic acid
,for_e,Formate,
,glc__D_e,D-Glucose,
,gly_e,Glycine,
,ile__L_e,L-Isoleucine,
,lac__L_e,L-Lactate,
,leu__L_e,L-Leucine,
,lys__L_e,L-Lysine,
,orn_e,Ornithine,
,ptrc_e,Putrescine,
,pyr_e,Pyruvate,
,ser__L_e,L-Serine,
,succ_e,Succinate,
,trp__L_e,L-Tryptophan,
,tyr__L_e,L-Tyrosine,
,4abut_e,4-Aminobutanoate,
,acgam_e,N-Acetyl-D-glucosamine,
,ala__D_e,D-Alanine,
,ala__L_e,L-Alanine,
,cys__L_e,L-Cysteine,
,etha_e,Ethanolamine,
,etoh_e,Ethanol,
,glcn_e,D-Gluconate,
,glyc_e,Glycerol,
,his__L_e,L-Histidine,
,met__L_e,L-Methionine,
,phe__L_e,L-Phenylalanine,
,ppa_e,Propionate (n-C3:0),
,pro__L_e,L-Proline,
,rib__D_e,D-Ribose,
,thm_e,Thiamin,
,thr__L_e,L-Threonine,
,ura_e,Uracil,
,uri_e,Uridine,
,val__L_e,L-Valine,
,adn_e,Adenosine,
,asn__L_e,L-Asparagine,
,fru_e,D-Fructose,
,hxan_e,Hypoxanthine,
,ins_e,Inosine,
,lac__D_e,D-Lactate,
,man_e,D-Mannose,
,ser__D_e,D-Serine,
,skm_e,Shikimate,
,spmd_e,Spermidine,
,sucr_e,Sucrose C12H22O11,
,taur_e,Taurine C2H7NO3S,
,thymd_e,Thymidine C10H14N2O5,
,tre_e,Trehalose,
,urea_e,Urea CH4N2O,
,xan_e,Xanthine,
,xyl__D_e,D-Xylose,
,ade_e,Adenine,
,arab__L_e,L-Arabinose,
,aso3_e,Arsenite,
,chol_e,Choline C5H14NO,
,csn_e,Cytosine,
,cytd_e,Cytidine,
,dad_2_e,Deoxyadenosine,
,dcyt_e,Deoxycytidine,
,gal_e,D-Galactose,
,glcr_e,D-Glucarate,
,glcur_e,D-Glucuronate,
,gly_cys__L_e,Cys Gly C5H10N2O3S,
,glyb_e,Glycine betaine,
,glyc3p_e,Glycerol 3-phosphate,
,glyclt_e,Glycolate C2H3O3,
,gua_e,Guanine,
,h2s_e,Hydrogen sulfide,
,inost_e,Myo-Inositol,
,malt_e,Maltose C12H22O11,
,mnl_e,D-Mannitol,
,mobd_e,Molybdate,
,nac_e,Nicotinate,
,progly_e,L-Prolinylglycine,
,sbt__D_e,D-Sorbitol,
,2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,
,acac_e,Acetoacetate,
,ala_B_e,Beta-Alanine,
,alltn_e,Allantoin,
,butso3_e,Butanesulfonate,
,crn_e,L-Carnitine,
,dha_e,Dihydroxyacetone,
,duri_e,Deoxyuridine,
,ethso3_e,Ethanesulfonate,
,galctn__D_e,D-Galactonate,
,galur_e,D-Galacturonate,
,gam_e,D-Glucosamine,
,glyald_e,D-Glyceraldehyde,
,glyc__R_e,(R)-Glycerate,
,gsn_e,Guanosine,
,indole_e,Indole,
,met__D_e,D-Methionine,
,mso3_e,Methanesulfonate,
,ocdca_e,Octadecanoate (n-C18:0),
,orot_e,Orotate C5H3N2O4,
,pheme_e,Protoheme C34H30FeN4O4,
,pnto__R_e,(R)-Pantothenate,
,sulfac_e,Sulfoacetate,
,ttdca_e,Tetradecanoate (n-C14:0),
,ump_e,UMP C9H11N2O9P,
,26dap__M_e,"Meso-2,6-Diaminoheptanedioate",
,3amp_e,3  AMP C10H12N5O7P,
,3cmp_e,3  CMP C9H12N3O8P,
,3gmp_e,Guanosine 3  phosphate C10H12N5O8P,
,3ump_e,3  UMP C9H11N2O9P,
,acald_e,Acetaldehyde,
,acmana_e,N-Acetyl-D-mannosamine,
,acser_e,O-Acetyl-L-serine,
,adocbl_e,Adenosylcobalamin,
,alaala_e,D-Alanyl-D-alanine,
,amp_e,AMP C10H12N5O7P,
,cmp_e,CMP C9H12N3O8P,
,dca_e,Decanoate (n-C10:0),
,dgsn_e,Deoxyguanosine,
,din_e,Deoxyinosine,
,dtmp_e,DTMP C10H13N2O8P,
,f6p_e,D-Fructose 6-phosphate,
,fald_e,Formaldehyde,
,g6p_e,D-Glucose 6-phosphate,
,galt_e,Galactitol,
,gmp_e,GMP C10H12N5O8P,
,gthrd_e,Reduced glutathione,
,hom__L_e,L-Homoserine,
,isetac_e,Isethionic acid,
,lcts_e,Lactose C12H22O11,
,mal__D_e,D-Malate,
,malttr_e,Maltotriose C18H32O16,
,melib_e,Melibiose C12H22O11,
,pacald_e,Phenylacetaldehyde,
