Metabolite,Mass,Metabolite id,Charge,Phosphate,Topological Polar Surface Area [],Intracellular concentration [M],log P,Compound class,Ref,Comment
2-phosphoglycerate,183.033421,2pg,-3,1,124,0.000322,-2.6,Other,Park et al,
3-phosphoglycerate,183.033421,3pg,-3,1,124,0.00154,-2.6,Other,"Bennet et al, glucose",
Acetate,59.04402,ac,-1,0,40.1,0.000658,0.4,Carboxylic acid,https://ecmdb.ca/compounds/M2MDB000012,"LB, stationary phase overnight"
Alanine,89.09318,ala__L,0,0,63.3,0.00255,-3,Amino acid,"Bennet et al, glucose",
Alpha-aminoadipate,161.156,,0,0,101,,-3.1,Other,,
Alpha-aminobutyrate,103.12,,-1,0,66.2,,-1.9,Other,,
Alpha-ketoglutarate,144.08226,akg,-2,0,91.7,0.000443,-0.9,Other,"Bennet et al, glucose",
Arginine,175.2089,arg__L,1,0,128,0.000569,-4.2,Amino acid,"Bennet et al, glucose",
Asparagine,132.11792,asn__L,0,0,106,5.11E-04,-3.82,Amino acid,"Bennet et al, glucose",
Aspartate,132.09474,asp__L,-1,0,101,0.00423,-2.8,Amino acid,"Bennet et al, glucose",
Beta-alanine,89.09318,ala_B,0,0,63.3,0.000012,-3.05,Amino acid,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000019
Cis-aconitate,171.08442,acon_C,-3,0,112,1.61E-05,-1,Carboxylic acid,"Bennet et al, glucose",
Citrate,189.0997,cit,-3,0,141,0.00196,0.2,Carboxylic acid,"Bennet et al, glucose",
Creatine,131.135,,0,0,90.4,,-1.2,Other,,
Dihydroxyacetone phosphate,168.041961,dhap,-2,1,104,0.000374,-2.5,Phosphorylated sugar,"Bennet et al, glucose",
Erythrose-4-phosphate,198.067941,e4p,-2,1,124,5.64E-05,-3.3,Phosphorylated sugar,Park et al,
Ethanol,46.06844,etoh,0,0,20.2,,-0.1,Other,,
"Fructose-1,6-bisphosphate",336.083922,fdp,-4,2,215,0.0152,-5.9,Phosphorylated sugar,"Bennet et al, glucose",
Fructose-6-phosphate,258.119901,f6p,-2,1,165,0.002916667,-4.3,Phosphorylated sugar,"Bennet et al, glucose",
Fumarate,114.05628,fum,-2,0,80.3,0.000115,-0.041,Carboxylic acid,"Bennet et al, glucose",
Gamma-aminobutyrate,103.11976,,0,0,67.8,0.000044,-3.17,Other,Ishii et al.,https://ecmdb.ca/compounds/M2MDB000561
Glucose-6-phosphate,258.119901,g6p,-2,1,165,0.002916667,-4.5,Phosphorylated sugar,"Bennet et al, glucose",
Glutamate,146.12132,glu__L,-1,0,101,0.096,-3.7,Amino acid,"Bennet et al, glucose",
Glutamine,146.1445,gln__L,0,0,106,0.00381,-3.1,Amino acid,"Bennet et al, glucose",
Glutarate,132.12,glutar,-2,0,74.6,,-0.29,Carboxylic acid,,"Charge from ECMDB, not in iML1515"
