Single or pair,Metabolite name,Class,Formula,C atoms,Molecular weight,Concentration (mM),Bigg ID
Single,Acetate,Organic acid,NaC2H3O2,2,82.0343,45,ac
Single,D-Glucose,Simple sugar,C6H12O6,6,180.15588,15,glc__D
Single,Citrate,Organic acid,C6H8O7,6,192.124,15,cit
Single,Glutarate,Organic acid,C5H8O4,5,132.11,18,glutar
Single,Glycerol,Alcohol,C3H8O3,3,92.09382,30,glyc
Single,Inosine,Nucleoside,C10H12N4O5,10,268.22608,9,ins
Single,L-alanine,Amino acid,C3H7NO2,3,89.09318,30,ala__L
Single,L-glutamate,Amino acid,NaC5H8NO4,5,169.11,18,glu__L
Single,L-histidine,Amino acid,C6H9N3O2,6,155.15456,15,his__L
Single,L-isoleucine,Amino acid,C6H13NO2,6,131.17292,15,ile__L
Single,Malate,Organic acid,C4H6O5,4,134.09,22.5,mal__L
Single,Mannitol,Alcohol,C6H14O6,6,182.17176,15,mnl
Single,Mannose,Simple sugar,C6H12O6,6,180.15588,15,man
Single,myo-inositol,Other,C6H12O6,6,180.15588,15,inost
Single,D-Xylose,Simple sugar,C5H10O5,5,150.13,18,xyl__D
Single,Ribose,Simple sugar,C5H10O5,5,150.1299,18,rib__D
Pair,Citrate and D-glucose,OA + SS,,,,,
Pair,Glycerol + L-isoleucine,A + AA,,,,,
Pair,Glutarate + Inosine,OA + N,,,,,
Pair,Malate + Citrate,OA + OA,,,,,
Pair,Acetate + L-alanine,OA + AA,,,,,
Pair,L-glutamate + Mannose,AA + SS,,,,,
Pair,L-histidine + Mannose,AA + SS,,,,,
Pair,Mannitol + Acetate,A + OA,,,,,
Pair,Myo-inositol + L-glutamate,O+AA,,,,,
Pair,Ribose + Glutarate,SS+OA,,,,,
Pair,D-xylose + L-histidine,SS+AA,,,,,
Pair,Glycerol + Inosine,A+N,,,,,
Pair,L-alanine + D-glucose,AA+SS,,,,,
Pair,Malate + L-isoleucine,OA+AA,,,,,
Pair,Mannitol + myo-inositol,AA + A,,,,,
