,Unnamed: 0,M id,Metabolite names
0,0,M_2pg_e,D-Glycerate 2-phosphate
1,1,M_3pg_e,3-Phospho-D-glycerate
2,2,M_4hba_e,
3,3,M_5drib_e,5'-deoxyribose
4,4,M_ac_e,Acetate
5,5,M_acald_e,Acetaldehyde
6,6,M_akg_e,2-Oxoglutarate
7,7,M_ala__L_e,L-Alanine
8,8,M_alaala_e,D-Alanyl-D-alanine
9,9,M_amob_c,S-Adenosyl-4-methylthio-2-oxobutanoate
10,10,M_arg__L_e,L-Arginine
11,11,M_asn__L_e,L-Asparagine
12,12,M_asp__L_e,L-Aspartate
13,13,M_btn_e,Biotin
14,14,M_ch4s_e,
15,15,M_cit_e,Citrate
16,16,M_cys__L_e,L-Cysteine
17,17,M_dhap_e,Dihydroxyacetone phosphate
18,18,M_e4p_e,D-Erythrose 4-phosphate
19,19,M_f6p_e,D-Fructose 6-phosphate
20,20,M_fdp_e,"D-Fructose 1,6-bisphosphate"
21,21,M_fum_e,Fumarate
22,22,M_g3p_e,Glyceraldehyde 3-phosphate
23,23,M_g6p_e,D-Glucose 6-phosphate
24,24,M_gln__L_e,L-Glutamine
25,25,M_glu__L_e,L-Glutamate
26,26,M_gly_e,Glycine
27,27,M_his__L_e,L-Histidine
28,28,M_hom__L_e,L-Homoserine
29,29,M_icit_e,Isocitrate
30,30,M_ile__L_e,L-Isoleucine
31,31,M_ind3ac_e,
32,32,M_leu__L_e,L-Leucine
33,33,M_lys__L_e,L-Lysine
34,34,M_met__L_e,L-Methionine
35,35,M_nh4_e,Ammonium
36,36,M_oaa_e,Oxaloacetate
37,37,M_orot_e,Orotate C5H3N2O4
38,38,M_pep_e,Phosphoenolpyruvate
39,39,M_phe__L_e,L-Phenylalanine
40,40,M_pheme_e,Protoheme C34H30FeN4O4
41,41,M_pi_e,Phosphate
42,42,M_ppap_e,Propanoyl phosphate
43,43,M_pro__L_e,L-Proline
44,44,M_pyr_e,Pyruvate
45,45,M_r5p_e,Alpha-D-Ribose 5-phosphate
46,46,M_ru5p__D_e,D-Ribulose 5-phosphate
47,47,M_ser__L_e,L-Serine
48,48,M_skm_e,Shikimate
49,49,M_so4_e,Sulfate
50,50,M_succ_e,Succinate
51,51,M_thm_e,Thiamin
52,52,M_thr__L_e,L-Threonine
53,53,M_trp__L_e,L-Tryptophan
54,54,M_tyr__L_e,L-Tyrosine
55,55,M_urea_e,Urea CH4N2O
56,56,M_val__L_e,L-Valine
57,57,M_xu5p__D_e,D-Xylulose 5-phosphate
