,Species,Carbon source,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag,Binary growth evaluation,Yield
0,At,Acetate,Model(BaranyiRoberts),0.342541699,0.028558282,-2950.63744,-2974.878968,0.11836731,0.528149506,0.05221787,1.020732745,0.132840143,0.733051619,0.0001,0.805843328,TRUE,FALSE,0.102861715,6.585279724,19.87949374,1,0.943733333
1,At,Adenosine,Model(LogisticLag2),0.009154006,0.004495277,-4866.104011,-4886.683471,0.42883423,0.550660871,0.048881388,0.206117461,0.019478372,1,0.034240917,0.405796188,TRUE,FALSE,0.013901283,56.89793961,14.39990459,1,0.0611
2,At,Cysteine,Model(BaranyiRoberts),0.554284958,0.052125648,-1173.363336,-1193.272056,0.00030748,0.024762138,0.034964245,0.493507524,0.623142594,1.200788904,17897772.82,43357695.47,FALSE,FALSE,0.57070843,1.190704593,1.302379856,1,0.510566667
3,At,D-Arabinose,Model(BaranyiRoberts),0.612285607,0.043471489,-1997.216721,-2019.901182,0.048000209,0.255067273,0.049512928,1.384247179,0.207414487,0.560823785,0.0001,1.024618563,TRUE,TRUE,0.145818031,4.485332555,16.19764433,1,1.2653
4,At,D-Glucose,Model(BaranyiRoberts),0.460481107,0.040846172,-1731.541666,-1753.264072,0.003405841,0.090030568,0.020835288,1.385030018,1.069021094,0.1,2.91622E+11,2.10565E+11,FALSE,TRUE,0.239356984,2.025414303,5.542732148,1,1.321533333
5,At,D-Xylose,Model(BaranyiRoberts),0.514576041,0.040226405,-2009.043028,-2031.615336,0.002968835,0.090030593,0.019595626,1.355156311,1.081639308,0.1,2.76426E+11,1.99885E+11,FALSE,TRUE,0.242512819,2.01548771,5.568367182,1,1.330333333
6,At,Formate,Model(BaranyiRoberts),0.01406308,0.005571744,-4665.487445,-4690.182798,0.867784693,0.980912657,0.047146348,0.187516062,1.189670601,0.100000002,0.0001,0.378671466,TRUE,TRUE,0.077808041,9.974140807,23.17122896,1,0.141966667
7,At,Fumarate,Model(BaranyiRoberts),0.024695694,0.012346763,-1393.247502,-1411.77308,0.005690615,0.090030573,0.02686432,0.735547615,0.618025924,0.397541285,1.72781E+11,1.26058E+11,FALSE,TRUE,0.366247898,1.620787454,2.58911964,1,0.677633333
8,At,Glutarate,Model(BaranyiRoberts),0.164494795,0.019055791,-3551.412766,-3576.108119,0.002104006,0.09003055,0.022092196,0.611677743,0.604889899,0.100000001,7207127100,5214989002,FALSE,TRUE,0.12911974,4.458138694,6.157932384,1,0.553
9,At,Glycerol,Model(BaranyiRoberts),0.732077419,0.044723724,-2239.092056,-2262.507856,0.002589794,0.090030578,0.015164479,1.316791203,0.850463638,0.1,1.22239E+11,88279609787,FALSE,TRUE,0.191788334,2.441886331,7.751114095,1,1.2713
10,At,Glycine,,,,,,,,,,,,,,,,,,,0,0
11,At,Inosine,Model(BaranyiRoberts),0.052874454,0.010803733,-4065.549023,-4090.244376,0.04592196,0.273714822,0.047964479,0.325868504,0.045919262,1.278050503,0.008069258,0.149117788,TRUE,TRUE,0.033668494,21.45951507,40.27333833,1,0.152733333
12,At,L-Alanine,Model(BaranyiRoberts),0.178892453,0.021583924,-2910.195548,-2933.899403,1.27E-12,9.16E-12,0.018770682,0.853743354,0.196551219,0.515061827,1.72898E+11,1.24994E+11,TRUE,TRUE,0.134886997,4.227310644,10.22155335,1,0.8133
13,At,L-Arginine,Model(BaranyiRoberts),0.077934668,0.015654954,-2609.259266,-2631.831575,0.216813636,0.928842446,0.048414378,1.008572369,0.161569173,0.782727522,0.000100001,2.560142838,FALSE,TRUE,0.128747409,5.038719275,10.84352722,1,0.924733333
14,At,L-Aspartate,Model(BaranyiRoberts),0.067804901,0.019092996,-1441.182869,-1460.537349,0.004917553,0.101536068,0.049557138,0.831033504,0.194438124,1.392419625,0.000100583,10.55666817,FALSE,TRUE,0.179717416,3.69103826,6.183872373,1,0.780433333
15,At,L-Glutamate,Model(BaranyiRoberts),0.192614678,0.029455622,-1532.626428,-1553.042492,0.985978139,0.999529982,0.052010005,1.167758637,0.467626062,0.300290583,0.0001,1.586825248,TRUE,TRUE,0.227984319,2.96185074,9.17811268,1,1.038866667
16,At,L-Glutamine,Model(BaranyiRoberts),0.08096246,0.018844058,-1778.454219,-1799.030292,0.004096688,0.090030584,0.021991259,1.090519021,1.376141929,0.1,3.86204E+11,2.79265E+11,FALSE,TRUE,0.304983061,1.673061951,3.762648615,1,1.029933333
17,At,L-Histidine,Model(BaranyiRoberts),0.118485242,0.020497815,-2158.663008,-2180.51445,0.005930231,0.149795915,0.048166753,0.92499685,0.100765614,2.369356654,0.000100001,3.903923986,FALSE,TRUE,0.098979396,6.913872206,15.14728692,1,0.875433333
18,At,L-Isoleucine,,,,,,,,,,,,,,,,,,,0,0.0099
19,At,L-Lactate,Model(BaranyiRoberts),0.147982347,0.025147628,-1690.90819,-1711.640117,0.111273513,0.438467243,0.049296517,1.065754188,1.209093638,0.1,0.0001,2.919163927,TRUE,TRUE,0.251954751,2.614684129,5.720848752,1,0.981933333
