,Metabolite,Carbon source,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],Species,Dataset,Metabolite id,Charge,Phosphate,Compound class,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id,Formula,Molecular weight [g/mol],ECMDB name,ECMDB ID,Park et al. name,Thorfinnsdottir et al. abbrv,Intracellular concentration [uM],log10(Rate [mmol/gDW/h]),log10(Metabolite value [gDW/mmol]),Rate [mmol C/gDW/h],Rate [g/gDW/h],Metabolite value [gDW/mmol C],Metabolite value [gDW/g],log10(Rate [mmol C/gDW/h]),log10(Rate [g/gDW/h]),log10(Metabolite value [gDW/mmol C]),log10(Metabolite value [gDW/g]),log10(Turnover [mmol/gDW/h]),Species - Carbon source,Intracellular concentration [M]
0,"1,3-diaminopropane",Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
1,"1,3-diaminopropane",L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
2,"1,3-diaminopropane",L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
3,"2,5-dihydroxybenzoate",Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
4,"2,5-dihydroxybenzoate",L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
5,"2,5-dihydroxybenzoate",L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
6,2-aminoisobutyrate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
7,2-aminoisobutyrate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
8,2-aminoisobutyrate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
9,2-hydroxybutyrate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
10,2-hydroxybutyrate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
11,2-hydroxybutyrate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
12,2-hydroxyglutaric acid,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
13,2-hydroxyglutaric acid,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
14,2-hydroxyglutaric acid,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
15,2-phosphoglycerate,Glucose,0.0003232301996616,1.5433750699483736e-05,0.0231979198267562,3.0,183.033421,12.2191177424204,E. coli,Paczia-12,2pg,-3.0,1.0,Other,,4.0,7.0,4.0,124.0,0.0,-2.6,59.0,C3H7O7P,186.06,2-Phospho-D-glyceric acid,ECMDB04129,2-phosphoglycerate[c]*,,91.8,-3.4904880695135683,-1.6345509568446421,0.0009696905989848,5.916192921457569e-05,0.007732639942252067,0.12674144262842685,-3.0133668147939057,-4.2279576725117956,-2.1116722115643047,-0.8970813538464151,1.087039849651973,E. coli - Glucose,9.18e-05
16,2-phosphoglycerate,Glucose,0.0001933156093422,7.873344323204262e-06,0.0416446882480159,3.0,183.033421,4.609244110501908,C. glutamicum,Paczia-12,2pg,-3.0,1.0,Other,,4.0,7.0,4.0,124.0,0.0,-2.6,59.0,C3H7O7P,186.06,2-Phospho-D-glyceric acid,ECMDB04129,2-phosphoglycerate[c]*,,,-3.7137330772829436,-1.3804403846939088,0.0005799468280266,3.5383217310602425e-05,0.013881562749338633,0.22752504990886827,-3.2366118225632814,-4.45120268028117,-1.8575616394135714,-0.6429707816956819,0.6636297094342508,C. glutamicum - Glucose,
17,2-phosphoglycerate,Glucose,0.0009226827811686,8.478450738945099e-05,0.0343581145013927,3.0,184.041361,4.417085275972373,B. licheniformis,Paczia-12,2pg,-3.0,1.0,Other,,4.0,7.0,4.0,124.0,0.0,-2.6,59.0,C3H7O7P,186.06,2-Phospho-D-glyceric acid,ECMDB04129,2-phosphoglycerate[c]*,,,-3.0349475839875204,-1.4639706773235965,0.0027680483435058,0.00016981179481753432,0.011452704833797567,0.18668691817266392,-2.557826329267858,-3.7700321477418366,-1.941091932043259,-0.7288861135692802,0.6451357838014615,B. licheniformis - Glucose,
18,3-(4-hydroxyphenyl)pyruvate,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
19,3-(4-hydroxyphenyl)pyruvate,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
20,3-(4-hydroxyphenyl)pyruvate,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
