https://onlinelibrary.wiley.com/doi/epdf/10.1002/%28SICI%291097-0290%2819981020%2960%3A2%3C230%3A%3AAID-BIT10%3E3.0.CO%3B2-Q
ala, 9.6, 11.4, 10.8, 10.8, 10.9, 10.7, 11.0, 10.8, 10.8, 10.7, 10.7
arg, 5.5, 5.0, 4.8, 4.9, 5.0, 5.0, 4.9, 4.9, 5.0, 5.0, 5.1
asp, 4.5, 5.0, 5.1, 5.2, 5.3, 5.1, 5.1, 5.2, 5.2, 5.1, 5.1
asn, 4.5, 5.0, 5.1, 5.2, 5.3, 5.1, 5.1, 5.2, 5.2, 5.1, 5.1
cys, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7
glu, 4.9, 5.6, 5.8, 5.8, 5.9, 5.8, 5.8, 5.9, 5.8, 5.9, 5.8
gln, 4.9, 5.6, 5.8, 5.8, 5.9, 5.8, 5.8, 5.9, 5.8, 5.9, 5.8
gly, 4.9, 8.6, 8.4, 8.3, 8.4, 8.4, 8.5, 8.5, 8.4, 8.4, 8.5
his, 1.8, 1.7, 1.7, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8
ile, 5.4, 4.6, 4.7, 4.8, 4.9, 4.8, 4.9, 4.8, 4.8, 4.9, 4.9
leu, 8.4, 9.1, 5.3, 4.5, 2.6, 4.6, 9.0, 9.0, 9.0, 9.5, 9.4
lys, 6.4, 5.6, 5.8, 5.9, 6.0, 5.9, 5.7, 5.9, 6.0, 5.9, 6.0
met, 2.9, 2.4, 2.5, 2.5, 2.6, 2.5, 2.5, 2.5, 2.5, 2.5, 2.4
phe, 3.5, 3.4, 3.4, 3.4, 3.4, 3.3, 3.5, 3.4, 3.4, 3.4, 3.3
pro, 4.1, 4.2, 4.1, 4.0, 4.0, 3.8, 4.2, 4.3, 4.0, 4.0, 3.8
ser, 4.0, 4.9, 4.8, 4.8, 4.9, 4.8, 4.9, 4.8, 4.9, 4.8, 4.9
thr, 4.7, 5.3, 5.2, 5.3, 5.3, 5.2, 5.4, 5.3, 5.3, 5.3, 5.3
trp, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1
tyr, 2.6, 2.8, 2.8, 2.8, 2.9, 2.7, 2.9, 2.8, 2.8, 2.8, 2.9
val, 7.9, 7.2, 7.2, 7.2, 7.4, 7.3, 7.0, 7.3, 7.3, 7.4, 7.4
