Time,G6P,F6P,FBP,DHAP,GA3P,23PG,PEP,PYR MS,R5P,RU5P+X5P,E4P,CIT,ACN,ICIT,AKG MS,FUM MS,ASN,GLU,SER,ASP,GLN,HOM,TYR,GLY,PRO,ALA,MET,VAL,PHE,LEU+ILEU,TRP,HIS,LYS,ARG,PYR,ORO,FUM,URA,AKG,SHI,ACT
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.734666667,0.432133333,NaN,0.956,0.276933333,1.852,0.729333333,119.6,0.325066667,0.189733333,0.03792,0.214666667,0.408,0.130533333,6.24,5.173333333,NaN,4.786666667,NaN,0.206133333,0.1908,1.418666667,0.244533333,0.688,1.177333333,27.89333333,0.1044,5.106666667,0.3016,1.793333333,0.231066667,4.049333333,0,5.586666667,83,2,1.75,10,0,2,1694.5
2,1.701333333,1.481333333,2.533333333,1.828,0.379466667,4.68,1.917333333,287.2,1.025333333,0.449333333,0.042466667,3.788,0.806666667,0.993333333,13.93333333,6.333333333,0.1432,3.877333333,NaN,0.2584,0.618666667,1.774666667,0.238933333,2.258666667,3.145333333,34.50666667,0.130666667,5.84,0.326666667,1.605333333,0.222266667,4.048,0,6.08,135.5,1.25,2.25,16,0,1.5,3134.25
3,2.758666667,1.704,2.08,2.710666667,0.606666667,7.453333333,2.970666667,420,1.650666667,0.704,0.0516,3.524,1.037333333,1.117333333,21.65333333,17.28,0.216,7.973333333,NaN,0.316666667,1.776,2.097333333,0.257866667,4.586666667,3.661333333,110.1333333,0.172533333,3.370666667,0.468,1.265333333,0.220933333,3.344,0,4.454666667,244.25,1.25,3.5,7.25,0,2.25,5075.5
4,3.622666667,2.468,1,4.186666667,0.838666667,12.24,4.613333333,646.6666667,2.668,1.122666667,0.088666667,7.226666667,1.368,1.341333333,34.44,14.62666667,0.434666667,21.97333333,NaN,0.3312,3.672,2.578666667,0.232666667,6.84,4.666666667,126.8,0.2252,3.858666667,0.653333333,1.310666667,0.211866667,2.954666667,0,3.205333333,238.75,0.5,2.5,23.5,0,2.25,7828.5
5,5.32,3.506666667,1.32,5.32,1.426666667,16.33333333,5.946666667,881.3333333,4.613333333,1.714666667,0.106133333,13.92,2.018666667,1.801333333,43.2,18.25333333,0.689333333,28.18666667,NaN,0.3956,5.32,2.734666667,0.226133333,3.832,3.310666667,135.2,0.2904,4.88,0.809333333,1.488,0.2084,2.572,0,3.465333333,673.75,1.75,7.75,10.5,22.25,5.25,14462.25
6,9.253333333,5.613333333,1.413333333,7.72,2.238666667,22.98666667,7.773333333,1380,7.133333333,2.646666667,0.183866667,26.92,3.724,3.558666667,56.26666667,36.73333333,1.136,48.93333333,0.232266667,0.552,7.066666667,3.745333333,0.278933333,2.384,7.186666667,104.1333333,0.372,6.68,1.284,1.858666667,0.220133333,2.357333333,0,2.970666667,968.5,0,14,23,46.5,5.5,20311.5
7,18.77333333,9.386666667,1.08,10.14666667,2.549333333,29.14666667,10.21333333,2108,10.18666667,4.186666667,0.256666667,46,5.106666667,6.48,68.53333333,75.46666667,1.232,50.13333333,0.292666667,0.665333333,7.6,4.986666667,0.262666667,1.306666667,6.6,109.6,0.468,9.746666667,1.785333333,2.509333333,0.213466667,1.784,0,2.918666667,1521.5,2,41.5,25.5,111,7,27291
8,23.64,11.68,0.72,13.04,2.666666667,34.69333333,13.28,2553.333333,14.36,6.08,0.388533333,70.26666667,7.933333333,12.29333333,75.73333333,120.8,1.488,55.2,0.258,0.858666667,7.426666667,5.32,0.4056,1.253333333,3.057333333,138,0.574666667,11.6,2.225333333,2.68,0.2164,1.470666667,0,2.944,1877.5,4,76.5,62,145,7,34019
9,36.36,15.6,1.96,19.74666667,2.525333333,50.4,19.17333333,1954.666667,23.02666667,9.626666667,0.484,104.1333333,12.26666667,18.28,45.46666667,109.4666667,1.828,50.13333333,0.096,1.013333333,9.906666667,9.146666667,0.445333333,0.752666667,1.914666667,74,0.712,13.08,2.954666667,2.957333333,0.228133333,1.289333333,0,2.876,1374,6.5,54.5,108.5,41.5,9.5,36642.5
10,34.93333333,15,0.76,14.94666667,2.225333333,48.13333333,19.05333333,317.4666667,22.21333333,10.65333333,0.498666667,98,10.81333333,17.84,0,11.14666667,1.993333333,18.09333333,0.140933333,1.109333333,6.546666667,1.662666667,0.517333333,1.322666667,7.173333333,8.72,9.546666667,9.68,7.826666667,3.634666667,0.246133333,0.949333333,0,2.758666667,220.5,14.5,0,713,13,15.5,36656.5
11,44.13333333,17,2.026666667,14.25333333,2.589333333,48.93333333,21.06666667,3.952,18.25333333,12.72,0.578666667,85.2,10.69333333,14.42666667,0.354266667,6.253333333,2.396,23.17333333,0.400666667,1.397333333,6.693333333,1.313333333,0.904,1.641333333,20.70666667,8.866666667,18.10666667,11.41333333,16.56,4.072,0.248933333,1.154666667,0,2.969333333,0,16.5,0,936,0,11,34242.5
12,76.8,17.49333333,7.586666667,13.65333333,2.321333333,50.66666667,21.76,2.754666667,17.90666667,11.93333333,0.805333333,22.2,2.514666667,3.797333333,1.373333333,6.526666667,2.994666667,30.86666667,0.762666667,2.054666667,8.88,1.185333333,3.590666667,2.268,13.36,15.46666667,25.88,17.52,25.77333333,6.133333333,0.293866667,2.325333333,3.405333333,3.076,0,19,0,1066,0,25.5,32791
13,50.84,17.93333333,8.12,10.21333333,1.7,63.33333333,19.22666667,1.796,14.10666667,7.853333333,1.062666667,0,0.133333333,0,1.228,10.37333333,3.993333333,37.70666667,1.337333333,3.009333333,14.36,1.902666667,10.09333333,4.050666667,8.013333333,18.09333333,37.97333333,31.66666667,52.26666667,11.22666667,0.330933333,8.813333333,38.02666667,4.188,0,23.5,0,1312,0,42.5,26976.5
14,67.38666667,19.01333333,9.413333333,8.973333333,1.818666667,62.4,18.73333333,2.181333333,15.97333333,8.08,1.409333333,0,0.1148,0,1.8,9.066666667,4.533333333,39.2,1.613333333,3.633333333,14.78666667,1.977333333,16.89333333,4.44,7.88,18.82666667,48.53333333,28.04,74.93333333,11.05333333,0.3996,16,83.2,4.149333333,0,25,0,1429,0,41,18668.5
15,79.2,19.25333333,4.266666667,8.12,1.810666667,66.26666667,19.10666667,2.361333333,14.28,8.08,1.973333333,0,0.099866667,0,2.185333333,8.605333333,5.506666667,41.86666667,1.696,3.685333333,16.54666667,2.306666667,21.69333333,4.853333333,7.293333333,21.50666667,54.8,24.49333333,91.46666667,9.746666667,0.4184,21.54666667,130.8,4.52,0,23,0,1543.5,0,30,8950
16,74.53333333,18.62666667,0.626666667,7.84,1.582666667,59.46666667,19.38666667,1.558666667,15.41333333,7.373333333,1.646666667,0,0.039466667,0,1.333333333,4.408,5.4,39.08,1.733333333,4.013333333,17.64,2.772,23.48,4.585333333,4.786666667,17.69333333,58.93333333,24.41333333,101.7333333,9.466666667,0.409466667,24.17333333,147.2,4.384,0,20.5,0,1566.5,0,24.5,2127
17,77.2,15.38666667,1.893333333,7.813333333,1.757333333,59.06666667,16.98666667,1.721333333,12.04,6.546666667,2.036,0,0,0,1.448,5.274666667,5.013333333,37.33333333,1.592,3.594666667,16.74666667,2.848,25.29333333,4.533333333,4.346666667,14.70666667,60,21.12,109.7333333,8.76,0.411466667,26.37333333,158.8,4.173333333,0,20,0,1696.5,0,18.5,1950
26,88.53333333,13,0,7.08,1.574666667,61.46666667,15.52,0.836,5.453333333,4.24,1.905333333,0,0,0,1.876,5.946666667,5.14,39.46666667,1.537333333,3.294666667,17.44,4.573333333,67.2,5.293333333,1.905333333,28.30666667,123.7333333,22.52,206.4,10.24,9.146666667,58.53333333,150.8,4.76,0,18,0,2098.5,0,9,709
