Time,G6P,F6P,FBP,DHAP,GA3P,23PG,PEP,PYR MS,R5P,RU5P+X5P,E4P,CIT,ACN,ICIT,AKG MS,FUM MS,ASN,GLU,SER,ASP,GLN,HOM,TYR,GLY,PRO,ALA,MET,VAL,PHE,LEU+ILEU,TRP,HIS,LYS,ARG,PYR,ORO,FUM,URA,AKG,SHI,ACT
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.304219219,0.068070943,0.243310501,0.146369396,0.019735585,0.065848311,0.198245639,1.6,0.027946616,0.013006665,0.002574956,0.027603864,0.010583005,0.025626028,0.855102333,0.477214138,NaN,0.571780844,NaN,0.028639367,0.033487908,0.14368484,0.018907494,0.054990908,0.033545988,2.708603576,0.005230679,0.323316151,0.042172977,0.213703845,0.005937452,0.204130677,0,0.878483542,11.3137085,5.656854249,0.707106781,14.14213562,0,0,72.12489168
2,0.037072002,0.024419937,0.028867513,0.009539392,0.004760602,0.043588989,0.051286775,1.808314132,0.018770544,0.002516611,0.000671441,0.078172885,0.011547005,0.012583057,0.106926766,0.175023808,NaN,0.050500825,NaN,0.003637307,0.019553346,0.07825812,0.011460512,0.046198846,0.099886602,0.781024968,0.001484363,0.205182845,0.011991803,0.04355839,0.003007214,0.160586425,0,0.193132079,21.21320344,3.535533906,0.707106781,21.21320344,0,0,74.24621202
3,0.358046552,0.08029944,0.222710575,0.04424176,0.034486712,0.061101009,0.145400596,10.58300524,0.037806525,0.02884441,0.007031358,0.210409125,0.006110101,0.050013332,1.044094504,1.655536167,0.180197225,0.537152989,NaN,0.051262982,0.07299315,0.246976382,0.034430994,0.438786205,0.243189912,8.336266151,0.009652633,0.037166293,0.044542115,0.084126888,0.008210562,0.2147743,0,0.741029914,65.76093065,3.535533906,1.414213562,2.121320344,0,0.707106781,1243.093721
4,0.573080564,0.042142615,0.38574603,0.161658075,0.020132892,0.288444102,0.340196022,12.22020185,0.159549365,0.016165808,0.010735611,0.780085465,0.042142615,0.132322838,0.672904154,0.578734251,0.029484459,2.840093895,NaN,0.032870656,0.299225667,0.328130056,0.012265942,1.10923397,0.37166293,4.214261501,0.026764155,0.480205512,0.080133222,0.117189306,0.009602777,0.327764143,0,0.444024023,287.7924599,1.414213562,2.828427125,41.01219331,0,2.121320344,831.5575747
5,0.355527777,0.053715299,0.04,0.144222051,0.079027421,0.08326664,0.402657837,34.48671242,0.046188022,0.036073998,0.004201587,0.73430239,0.129388304,0.054601587,2.116601049,1.280208316,0.386829851,1.826179984,NaN,0.050344414,0.183303028,0.278577338,0.00612318,2.09214531,0.243650022,8.845337755,0.033602381,0.366606056,0.066252044,0.162529997,0.009406381,0.285741142,0,0.517321306,89.80256121,4.949747468,2.121320344,4.242640687,2.121320344,0.707106781,1648.265907
6,1.897507137,0.115470054,0.423949683,0.445421149,0.152437966,0.362950869,0.60044428,73.430239,0.197315314,0.058286648,0.010524891,1.104898185,0.114332847,0.03494758,0.923760431,0.62268237,0.078689262,2.013289183,0.034050159,0.056,0.37166293,0.401603453,0.032205176,0.479399625,0.244404037,6.057502236,0.016632498,0.28,0.079699435,0.078213383,0.003208323,0.295034461,0,0.120288542,40.30508653,0,0,1.414213562,7.778174593,0.707106781,316.0767312
7,4.494678335,0.266333125,0.207846097,0.234378611,0.107057617,0.184752086,0.201328918,30.19933774,0.384360941,0.023094011,0.015254289,0.8,0.305505046,0.211660105,1.6653328,2.893671255,0.048,0.611010093,0.050934206,0.074009008,0.491528229,0.929802846,0.024180433,0.388439613,0.405955663,7.6,0.028,0.522047252,0.072147996,0.168396358,0.006110101,0.072773622,0,0.133286658,95.45941546,2.828427125,0.707106781,2.121320344,9.899494937,1.414213562,625.0823946
8,4.900122447,0.28,0.04,0.346410162,0.053266625,1.271429642,0.42142615,25.40341184,0.484974226,0.243310501,0.005460159,1.006644591,0.12858201,0.280950767,1.616580754,2.62297541,0.357077023,1.385640646,0.024517749,0.025716402,0.980068025,0.766289762,0.035660623,0.373959,0.137190865,2.433105012,0.040265784,0.658483105,0.056897569,0.154350251,0.009699485,0.141779171,0,0.404514524,111.0157646,5.656854249,0.707106781,9.899494937,8.485281374,1.414213562,509.1168825
9,1.703173508,0.697423831,0.32,0.140475383,0.073792502,3.464101615,0.468757222,34.94757979,0.725901738,0.254034118,0.034176015,3.62950869,0.151437556,0.381575681,1.847520861,5.22047252,0.042142615,2.663331247,0.035464912,0.098657657,0.400666112,0.86286345,0.037166293,0.383720384,0.106307729,7.868926229,0.018330303,0.12,0.016653328,0.091243265,0.006625204,0.346925544,0,0.169328084,101.8233765,0.707106781,3.535533906,6.363961031,0.707106781,0.707106781,852.0636713
