Time,OD mean,OD std
0,0.291,NaN
11,2.46,0.04
12,3.366666667,0.070945989
13,4.123333333,0.075718778
14,5.316666667,0.049328829
15,8.813333333,0.147422296
16,14,0.2
17,15.86666667,0.2081666
18,19.53333333,0.503322296
19,22.76666667,0.2081666
20,22.26666667,0.152752523
21,22.56666667,0.057735027
22,23,0.793725393
23,21.8,0.4
24,22.13333333,0.152752523
25,21.56666667,0.230940108
26,21.53333333,0.305505046
27,21.5,0.1
28,21.36666667,0.152752523
29,21.43333333,0.057735027
30,21.6,0.1
31,21.1,0.264575131
32,21.6,0.2
34,20.33333333,0.4163332
36,19.7,0.1
38,19.33333333,0.305505046
40,19.56666667,0.251661148
42,19.5,0.264575131
44,20.3,0.264575131
46,20.46666667,0.351188458
48,20.43333333,0.305505046
50,20.03333333,0.723417814
52,20.3,0.1
56,20.13333333,0.152752523
60,19.9,0.1
64,19.7,0.2
68,19.03333333,0.404145188
72,18.5,0.173205081
76,18.53333333,0.251661148
80,18.13333333,0.404145188
86,18.03333333,0.115470054
92,17.63333333,0.513160144
98,17.7,0.360555128
104,17.76666667,0.115470054
110,17.6,0.264575131
116,17.3,0.1
128,17.03333333,0.321455025
140,16.5,0.519615242
152,16.33333333,0.2081666
164,16.03333333,0.723417814
182,15.7,62.8
227,14.53333333,58.13333333
229,14.2,56.8
