Time,G6P,F6P,FBP,DHAP,GA3P,23PG,R5P,RU5P+X5P,S7P,E4P,ASN,GLU,SER,THR,GLN,HOM,TYR,GLY,PRO,ALA,MET,VAL,ARG,LYS
0,0.016646922,0.055343292,NaN,0.007969944,0.018949758,0.140138356,0.019000351,0.005158811,0.00128582,0.020132892,0.068408046,1.572429119,NaN,NaN,0.031269154,0.021678868,NaN,0.457261413,0.013006665,NaN,NaN,NaN,0.055588949,0.139484766
11,0.054680161,0.025428593,0.09854948,0.047721414,0.011344308,0.146403825,0.012901679,0.004738495,0.005542563,0.052,0.03959798,18.88593127,NaN,NaN,0.217035051,0.622706523,NaN,19.35010918,0.079195959,0.707106781,NaN,NaN,NaN,7.353910524
12,0.056047599,0.015143756,0.351120112,0.0612318,0.014422205,0.081616992,0.042172977,0.004,0.008428523,0.109860518,0.175362482,1.404753834,0.308343445,0.106903149,0.060044428,0.042332021,NaN,2.411085509,0.274197009,0.08,NaN,NaN,NaN,21.19748413
13,0.05281414,0.046360903,0.135371095,0.091243265,0.012858201,0.259733196,0.036065126,0.006928203,0.003885014,0.14655147,0.097734334,5.984691582,NaN,NaN,0.060177515,0.156614176,NaN,8.013322241,0.210497823,0.317490157,NaN,NaN,NaN,22.27105745
14,0.054454874,0.012858201,0.024979992,0.094063808,0.015143756,0.367020435,0.032216766,0.065767266,0.007529498,0.091243265,0.16984699,2.809507667,NaN,NaN,0.02,0.200013333,NaN,11.08512517,0.25716402,0.151437556,NaN,NaN,NaN,26.02562839
15,0.05768882,0.048387326,0.032578111,0.115470054,0.011547005,0.174218254,0.044147631,0.008326664,0.015503978,0.151947359,0.2,5.2,NaN,NaN,0.010583005,0.183317575,NaN,36.53163013,0.32,0.826559133,NaN,NaN,NaN,54.60158728
16,0.093836738,0.016653328,0.039259818,0.201328918,0.018330303,0.436220128,0.067091977,0.006110101,0.020132892,0.117234807,0.339411255,7.233256528,NaN,0.07184242,0.064373908,0.45254834,NaN,32.63699333,0.48,0.977616148,NaN,NaN,NaN,121.2600511
17,0.018903263,0.027227437,0.127895791,0.366606056,0.014422205,0.174355958,0.06885734,0.017435596,0.032741411,0.368789009,0.509116882,0.848528137,NaN,0.109568852,0.381575681,0.810267446,NaN,31.22136021,1.74737899,1.878864906,NaN,NaN,NaN,20
18,0.370664269,0.042332021,0.177643838,0.100664459,0.010583005,0.893532316,0.010583005,0.008,0.008,1.142686892,0.757187779,3.716629297,NaN,0.009899495,0.024979992,0.113137085,NaN,30.02487857,0.538144962,0.234378611,NaN,NaN,NaN,46.18802154
19,0.115470054,0.04613025,0.058286648,0.100664459,0.016,0.820081297,0.03494758,0.004618802,0.02,0.135823415,0.55569776,3.208322511,NaN,NaN,0.03122136,NaN,NaN,11.28775147,0.013348338,0.362950869,NaN,NaN,NaN,105.8300524
20,0.205264058,0.04201587,0.093552125,0.092376043,0.016,0.566156633,0.02884441,0.016165808,0.02433105,0.395420451,0.471593045,3.62950869,0.864012346,0.280950767,0.0052,0.189032625,0.107902178,28.02379941,0.014064253,0.700856619,NaN,NaN,NaN,46.18802154
21,0.061101009,0.024,0.064373908,0.205264058,0.022271057,0.977343338,0.030287511,0.034486712,0.018475209,0.08637901,0.280950767,3.607399802,0.158509726,0.056,0.046057935,0.605750224,0.094769897,20.03596766,NaN,1.058300524,NaN,NaN,NaN,161.6580754
22,0.074009008,0.076315136,0.09586101,0.234378611,0.036,0.288444102,0.047384948,0.025403412,0.020526406,0.26835797,0.266333125,2.013289183,0.364867099,0.110489819,0.010042576,0.362950869,0.026025628,7.6,0.046633384,0.8326664,NaN,NaN,NaN,105.8300524
23,0.143796152,0.039395431,0.256135381,0.30022214,0.019731531,0.205264058,0.015143756,0.020526406,0.020132892,0.169705627,NaN,2.893671255,0.223445743,0.021437662,0.026630309,0.612318,0.08759178,19.66655367,0.005670979,2.571640203,NaN,NaN,NaN,61.10100927
24,0.170473849,0.018903263,0.148647233,0.243310501,0.031069814,0.138564065,0.008326664,0.006110101,0.022271057,0.350724963,0.404639757,2.663331247,0.387494516,0.013010765,0.016642115,0.12,0.033755197,48.48422424,0.052777268,2.602562839,0.024,0.154211975,NaN,23.09401077
25,0.206572021,0.031240999,0.219429563,0.105830052,0.016653328,0.16653328,0.032,0.004618802,0.018330303,0.098994949,0.989949494,1.285820101,0.056426944,0.106214123,0.020306977,0.816169917,0.020091789,3.417601498,0.049065399,1.514375559,0.082977909,0.637959246,NaN,80
26,0.645195578,0.150890689,0.118050837,0.30022214,0.024979992,0.183303028,0.031069814,0.011547005,0.009237604,NaN,0.174355958,2.602562839,0.296872588,0.043557778,0.026835797,0.787908624,0.00512687,59.08231546,0.044239952,2.203028219,0.112641023,0.012858201,NaN,122.2020185
27,0.197315314,0.056047599,0.198164914,0.174355958,0.010066446,0.12,0.004,0.008,0.02884441,0.305470129,0.349475798,2.366544598,0.236992264,0.08326664,0.010630773,0.765593452,0,14.64422526,0.025632271,2.013289183,0.348918329,0.38574603,0.313800021,379.1006902
28,0.423175299,0.025455844,0.145986301,0.183303028,0.008485281,0.115470054,0.030287511,0.008485281,0.090891877,0.165618034,0.72700298,2.206294027,0.376255233,0.045254834,0.01836954,0.244404037,0.01489698,48.00888807,0.019552323,2.837839554,0.342235786,0.061101009,0.173988659,NaN
29,0.234378611,0.070465121,0.105248911,0.046188022,0.002309401,0.061101009,0.006928203,0.012220202,0.02116601,0.053740115,0.32,2.252465316,0.446431779,0.05939697,0.031512114,0.36073998,0.043382488,95.2470472,0.024970382,1.514375559,0.12858201,0.620107518,NaN,72.14799605
