Metabolite,Value,Uncertainty
Glucose-6-phosphate,10.16,0.74
Fructose-6-phosphate,3.84,0.22
"Fructose-1,6-bisphosphate",3.36,0.07
Dihydroxyacetonephosphate,8.67,0.1
Glyceraldehyde-3-phosphate,0.56,0.01
2/3-phosphoglycerate,12.17,1.07
Phosphoenolpyruvate,0,0
Pyruvate,0,0
6-Phosphogluconate,0,0
Ribose-5-phosphate,0.61,0.03
Ribu-/Xylulose-5-phosphate,0.58,0.05
Erythrose-4-phosphate,2.47,1.14
Sedoheptulose-7-phosphate,0,0
Acetyl-CoA,0,0
Citrate,0,0
Cis-aconitate,0,0
Isocitrate,0,0
α-Ketoglutarate,0,0
Fumarate,0,0
Malate,0,0
Glyoxylate,0,0
Cometabolites,,
AXP,0,0
NAD(H),,
NADP(H),0,0
Aminoacids,,
Alanine,64.8,4.21
Leucine/Isoleucine,0,0
Valine,56,6.66
Aspartate,28.73,0.32
Homoserine,46.61,0.8
Threonine,0,0
Methionine,26.67,0.75
Lysine,5957,80
Tryptophane,0,0
Tyrosine,8.21,0.36
Phenylalanine,0,0
Glutamate,180.1,0.9
Glutamine,0,0
Proline,34.69,1.75
Serine,24.27,1.22
Glycine,698.4,60.2
Arginine,35.47,1.43
Histidine,0,0
Others,,
Acetate,0,0
Ethanol,0,0
Orotate,0,0
Uracil,0,0
