Time,G6P,F6P,FBP,DHAP,GA3P,23PG,PEP,R5P,RU5P+X5P,E4P,CIT,ACN,ICIT,AKG MS,FUM MS,OAS,GLU,SER,ASP,THR,HOM,TYR,GLY,PRO,ALA,MET,VAL,PHE,ILEU,LEU,TRP,HIS,ARG,PYR,ORO,FUM,URA,AKG,ACT
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.009586101,0.012858201,0,0.002893671,0.030954306,0.0031241,0,0.000789788,0,0,0.0612318,0.010583005,0.004214262,0,0.772807867,0.032162297,0.896288644,0.011015141,0.006872409,0,0.024870531,0.005507571,0.11747482,0.01114286,0.127080027,0.001,0.018193405,0.009209415,0.015176737,0.015888465,0.003538832,NaN,0.177081488,19.44543648,3.181980515,0.353553391,0.353553391,0,107.4802307
2,0.002950141,0.00450925,0,0.004163332,0.003231478,0.002157159,0,0.002051154,0,0,0.085049005,0.004041452,0.016822604,0,0.026457513,0.019655364,1.536565434,0.035275109,0.008660254,0.008140639,0.057975023,0.00305505,0.079387237,0,0.067039789,0,0.017387735,0.0035,0.011119502,0.006792888,0.001517674,0.398036849,0.318633018,44.90128061,15.90990258,1.060660172,18.03122292,0,290.9744405
3,0.029672883,0.022030282,0,0.038157568,0.001454923,0.006017752,0,0.005011986,0,0,0.234378611,0.102137163,0.04163332,0,0.388439613,0.03318132,1.468684218,0.047159304,0.009865766,0.027740043,0.092878056,0.003,0.066902915,0.013755847,0.070465121,0.002081666,0.012701706,0.002084067,0.005293707,0.003711244,0.001795364,0.236431808,0.307300071,28.63782464,7.424621202,0,2.474873734,0,210.010714
4,0.031240999,0.006110101,0,0.036073998,0.002309401,0.00128582,0.025171794,0.002411086,0.00560476,0,0.061101009,0.088754343,0.018330303,0,0.144222051,0.114744644,1.779335082,0.016623277,0.003511885,0.052476693,0.039310728,0.002516611,0.150540139,0.012422694,0.062516664,0.001154701,0.023007245,0.002050203,0.010969655,0.007607891,0.006297883,0.276103845,0.678257572,73.18555185,13.78858223,0,0.353553391,0,299.8132752
5,0.05745723,0.018036999,0,0.162595613,0.00922605,0.026633312,0.038971443,0.008600775,0.003106981,0,0.624819974,0.030550505,0.030199338,0,0.04,0.089673482,0.126622799,0.019655364,0.031,0.091876729,0.104996825,0.003464102,0.216381607,0.006506407,0.056559703,0.004163332,0.029737743,0.001732051,0.017387735,0.017349352,0.003150132,0.391535439,0.506589906,213.1926945,54.44722215,0,23.68807717,0,1532.300395
6,0.082655913,0.04,0,0.544548743,0.018903263,0.096027774,0.052306787,0.027227437,0.023290628,0,0.244404037,0.668131724,0.042394968,0,0.601775152,0.028867513,0.32624122,0.021501938,0.015631165,0.095007017,0.107503488,0.007371115,0.231525405,0.010263203,0.196237101,0.004163332,0.040286474,0.005773503,0.013228757,0.010016653,0.005456189,0.307300071,0.625006667,277.1858582,28.28427125,0.707106781,0.707106781,0,393.8584771
7,0.2,0.302875112,0,0.493693562,0.099384774,0.081682311,0.071143048,0.013856406,0.017435596,0.022916661,3.233161507,0.302875112,0.381575681,0,0.954428276,0.07,0.550757055,0.010115994,0.038734137,0.070738957,0.097274526,0.004725816,0.243278304,0.026764404,0.105987421,0.001732051,0.02227854,0.013747727,0.003464102,0.008386497,0.00470567,0.200333056,0.912432646,456.7909806,14.14213562,0,7.071067812,7.778174593,960.9581156
8,0.24,0.571780844,0.234378611,0.993847742,0.245351449,0.400666112,0.097077289,0.063287703,0.059194594,0.093657247,2.540341184,0.37806525,0.384360941,0,1.187490351,0.049328829,0.31374087,0.040595566,0.012220202,0.299388265,0.118462371,0.006244998,0.19885757,0.027061658,0.147309199,0.008144528,0.013892444,0.015567059,0.031069814,0.008621678,0.007767453,0.01,0.539660387,509.1168825,6.363961031,0,7.778174593,17.67766953,850.6494578
9,0.532666249,0.958610105,0.174355958,0.801332224,0.340196022,0.234378611,0.05096404,0.030022214,0.033545988,0.022030282,3.585154576,0.305505046,0.312409987,0,1.916802894,0.185831465,0.470319041,0.008144528,0.046872167,0.267644042,0.13114877,0.015143756,0.179217745,0.02055075,0.192180471,0.005507571,0.045825757,0.016,0.037859389,0.060500689,0.005507571,0.375410886,0.27784888,224.1528496,26.87005769,0,7.071067812,8.485281374,1400.071427
