,Metabolite abbrv.,Model ID,Metabolite,Metabolite value [gDW/mmol],MV min,MV max,Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],R2,p-value,Species,Carbon source,Dataset
0,ACT,ac,Acetate,0.02253336926746896,0.02056548847126638,0.02253336926746896,2.981847173106002,2,59.04402,2.0035338561122833,0.1457603252297597,0.9692206671140594,9.219453237819723e-06,B. licheniformis,Glucose,Paczia-13
1,PYR,pyr,Pyruvate,0.031239420944023655,0.029033287632643234,0.031239420944023655,9.06987505974618,3,87.05412,0.11427170169215882,0.007646682814349382,0.9738359004137608,5.652950669680524e-06,B. licheniformis,Glucose,Paczia-13
2,ALA,ala__L,Alanine,0.03522501778402409,0.03522501778402409,0.03767651900044022,2.1092284180532967,3,89.09318,0.02498722443768896,0.0070172641273473805,0.8086667484254714,0.037798043631882744,B. licheniformis,Glucose,Paczia-13
3,AKG,akg,Alpha-ketoglutarate,0.05184562603008924,0.04959620512988705,0.05184562603008924,4.61482496552619,5,144.08226000000002,0.010329141401545663,0.001548982023258577,0.9569584989116129,0.021757443722870477,B. licheniformis,Glucose,Paczia-13
4,GLU,glu__L,Glutamate,0.055831242451531704,0.05578418515882477,0.055831242451531704,3.324242148626263,5,146.12132,0.0063696477366819325,0.0006172392323568358,0.9637988304763861,0.0004975008223531717,B. licheniformis,Glucose,Paczia-13
5,FUM,fum,Fumarate,0.04215922937990668,0.03991079722080182,0.04215922937990668,1.8641648971763443,4,114.05628,0.004399905787923422,0.0004972925595441809,0.9288105620914601,0.00011588996756159611,B. licheniformis,Glucose,Paczia-13
6,CIT,cit,Citrate,0.05669387409814042,0.05669387409814042,0.05910407760766623,2.0234312851452043,6,189.09969999999998,0.004238417905478435,0.00010081876467865585,0.9960549136410701,1.1240801041993746e-09,B. licheniformis,Glucose,Paczia-13
7,URA,ura,Uracil,0.06345826722761183,0.060777253396299136,0.06345826722761183,0.006365956532815021,4,112.08676,0.0036798891375843966,0.0004793349050625817,0.8938387859363586,0.00011846596186122539,B. licheniformis,Glucose,Paczia-13
8,GLY,gly,Glycine,0.020467332301871144,0.020467332301871144,0.023204081937971965,1.7436035438384965,2,75.0666,0.002088025857421709,7.855043349325111e-05,0.9971775392540381,0.0014122275663305264,B. licheniformis,Glucose,Paczia-13
9,23PG,2pg,2-phosphoglycerate,0.0343581145013927,0.0343581145013927,0.03752775005165798,4.417085275972373,3,184.041361,0.0009226827811686518,8.478450738945099e-05,0.9712956537505276,1.1793864776241414e-06,B. licheniformis,Glucose,Paczia-13
10,23PG,3pg,3-phosphoglycerate,0.03435811450139825,0.03435811450139825,0.03752775005165798,6.276565925624458,3,184.041361,0.0009226827811686518,8.478450738945099e-05,0.9712956537505276,1.1793864776241414e-06,B. licheniformis,Glucose,Paczia-13
11,G6P,g6p_A,Glucose-6-phosphate,0.08101745450271869,0.08101745450271869,0.08367552915393706,3.5450432070450515,6,259.127841,0.0014401086268171644,5.4956641212903724e-05,0.9899087937540421,3.01609091984857e-08,B. licheniformis,Glucose,Paczia-13
12,GLN,gln__L,Glutamine,0.06264252947858484,0.06061400019046481,0.06264252947858484,0.435833691890717,5,146.1445,0.0009993146558027817,7.41820501973652e-05,0.9784332674692595,0.00017569081613456888,B. licheniformis,Glucose,Paczia-13
13,R5P,r5p,Ribose-5-phosphate,0.06842572875582209,0.06842572875582209,0.07206939517530042,0.1325145193880692,5,229.101861,0.0008845978992681702,1.9282741308932167e-05,0.9966848617486889,6.112916984830818e-10,B. licheniformis,Glucose,Paczia-13
14,ICIT,icit,Isocitrate,0.056700318962005225,0.056654515869392075,0.056700318962005225,1.99656662800035,6,189.09969999999998,0.0007276343322760263,3.83312511699273e-05,0.9809444245245355,2.800616478438642e-07,B. licheniformis,Glucose,Paczia-13
15,DHAP,dhap,Dihydroxyacetonephosphate,0.043233429090439035,0.043233429090439035,0.04639389080517142,21.885495955268674,3,169.049901,0.0007184216633692677,2.4841762867505208e-05,0.9916998816339356,1.521016021894506e-08,B. licheniformis,Glucose,Paczia-13
16,PEP,pep,Phosphoenolpyruvate,0.034410622567282445,0.034410622567282445,0.03757412380249736,4.417085275972373,3,166.026081,0.0006976171342890236,3.07174881463392e-05,0.9866099970469746,8.127157533578784e-08,B. licheniformis,Glucose,Paczia-13
17,PRO,pro__L,Proline,0.06236827786796906,0.06236827786796906,0.06473228796019526,0.04962904971718379,5,114.12252,0.000633559508185581,0.0001861106008580886,0.743402946130863,0.027171780286263887,B. licheniformis,Glucose,Paczia-13
18,F6P,f6p_B,Fructose-6-phosphate,0.08101856587705014,0.08101856587705014,0.08490414387949674,3.477137992827937,6,259.127841,0.0006174576957397367,2.9820274420759305e-05,0.9839352702372155,1.5389364991298747e-07,B. licheniformis,Glucose,Paczia-13
19,ACN,acon,Cis-aconitate,0.05669709653007837,0.05665166990146686,0.05669709653007837,1.99656662800035,6,171.08442,0.00046872841783042745,1.1889877652165731e-05,0.9955160731520702,1.7599308529615107e-09,B. licheniformis,Glucose,Paczia-13
20,VAL,val__L,Valine,0.07050098549095107,0.07050098549095107,0.07283994864491494,0.0947699937493134,5,117.14634,0.00038762246236649173,5.2566359468515634e-05,0.8859476985332312,0.00015277283450358277,B. licheniformis,Glucose,Paczia-13
21,RU5P+X5P,ru5p__D,Ribulose-5-phosphate,0.0684255125008415,0.0684255125008415,0.07206920418450224,0.11598896493133745,5,229.101861,0.0001854704983630163,4.885236751423599e-06,0.9975776532568628,2.037833403976269e-10,B. licheniformis,Glucose,Paczia-13
22,RU5P+X5P,xu5p__D,Xylulose-5-phosphate,0.06842494496961948,0.06842494496961948,0.07206870295576873,0.11598896493133745,5,229.101861,0.0001854704983630163,4.885236751423599e-06,0.9975776532568628,2.037833403976269e-10,B. licheniformis,Glucose,Paczia-13
23,SHI,skm,Shikimate,0.09717656788726381,0.09717248495207942,0.09717656788726381,0.10542366593577167,7,173.14336,0.00031217486096579656,4.370552939945406e-05,0.8793477041305657,0.00018654923276521963,B. licheniformis,Glucose,Paczia-13
24,HOM,hom__L,Homoserine,0.0558731385645328,0.0558731385645328,0.056946217378275876,0.03500632624517095,4,119.11916,0.0002823637756480462,1.90964313667917e-05,0.9689760179684141,1.5494678352694054e-06,B. licheniformis,Glucose,Paczia-13
25,GA3P,g3p,Glyceraldehyde-3-phosphate,0.043233527100511315,0.043233527100511315,0.0463941242178495,6.4040762177641355,3,169.049901,0.00027420618316739747,1.7223988822322072e-05,0.9844628166257591,9.09995080644606e-05,B. licheniformis,Glucose,Paczia-13
26,ORO,orot,Orotate,0.05700281828712184,0.05435647426257906,0.05700281828712184,0.03402940434658103,5,155.08832,0.00019700531361475273,3.369284301318787e-05,0.85070371051881,0.00110395846767684,B. licheniformis,Glucose,Paczia-13
27,ASN,asn__L,Asparagine,0.05608264657099293,0.05300483500656761,0.05608264657099293,0.04571221871692639,4,132.11792,0.00015728982222207115,7.135800604156927e-06,0.9938633395361691,0.0002044035529736793,B. licheniformis,Glucose,Paczia-13
28,PHE,phe__L,Phenylalanine,0.1412946140738669,0.1412946140738669,0.14529891938485917,0.05432919078635194,9,165.18913999999998,0.00010947563977659851,5.099001628213043e-06,0.9850415054439047,1.1983454300453737e-07,B. licheniformis,Glucose,Paczia-13
29,LEU+ILEU,leu__L,Leucine,0.08802187247172744,0.08802187247172744,0.08892968539597756,0.10697725390778973,6,131.17291999999998,3.8654107896087585e-05,1.2988076271695094e-05,0.7469914328118574,0.00563017198416409,B. licheniformis,Glucose,Paczia-13
30,LEU+ILEU,ile__L,Isoleucine,0.09081034109834074,0.09081034109834074,0.09334626696877735,0.08334604365974779,6,131.17291999999998,3.8654107896087585e-05,1.2988076271695094e-05,0.7469914328118574,0.00563017198416409,B. licheniformis,Glucose,Paczia-13
31,ASP,asp__L,Aspartate,0.04005368222020911,0.04005368222020911,0.041227541279137414,0.45797919477027094,4,132.09474,3.284380709455606e-05,1.9233770703275567e-06,0.976556771585616,5.794178346993836e-07,B. licheniformis,Glucose,Paczia-13
32,MET,met__L,Methionine,0.11871953838018534,0.11871953838018534,0.12066735141781082,0.03504610085222709,5,149.21134,2.4342369910879253e-05,1.659446739378222e-06,0.9684938154565165,1.635724480649842e-06,B. licheniformis,Glucose,Paczia-13
33,E4P,e4p,Erythrose-4-phosphate,0.055827220682347356,0.055827220682347356,0.05922963166576645,0.11070631543355457,4,199.075881,1.898956666035116e-05,7.977251828068957e-07,0.9877976764572913,5.868842210251894e-08,B. licheniformis,Glucose,Paczia-13
34,TYR,tyr__L,Tyrosine,0.1351541398493028,0.1351541398493028,0.13792870922982037,0.03422287584840838,9,181.18854,8.745244420612227e-06,1.3306466134502832e-06,0.8605397227751802,0.00031229379164849784,B. licheniformis,Glucose,Paczia-13
35,TRP,trp__L,Tryptophan,0.1768098486084002,0.1768098486084002,0.18019288146697565,0.01677689632544331,11,204.22518,9.147558975286247e-08,3.297378578219866e-07,0.010874917892802665,0.7894725164549187,B. licheniformis,Glucose,Paczia-13
36,SER,ser__L,L-serine,0.035032742854573806,0.035032742854573806,0.03669039429239074,1.8946066016888767,3,105.09258,-8.56036560327e-06,4.984959469999559e-06,0.5958705199496032,0.22807350094092296,B. licheniformis,Glucose,Paczia-13
