,Metabolite abbrv.,Model ID,Metabolite,Metabolite value [gDW/mmol],MV min,MV max,Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],R2,p-value,Species,Carbon source,Dataset
0,23PG,2pg,2-phosphoglycerate,0.041644688248015926,0.04164468824782164,0.041644688248015926,4.609244110501908,3,183.033421,0.0001933156093422421,7.873344323204262e-06,0.9950483483769935,3.8010917064386924e-08,C. glutamicum,Glucose,Paczia-12
1,23PG,3pg,3-phosphoglycerate,0.0416446882478938,0.0416446882478716,0.0416446882478938,4.929669133333596,3,183.033421,0.0001933156093422421,7.873344323204262e-06,0.9950483483769935,3.8010917064386924e-08,C. glutamicum,Glucose,Paczia-12
2,ALA,ala__L,Alanine,0.04455013161405175,0.044550131613996236,0.04455013161405175,0.2695942539104767,3,89.09318,0.0013987545202311404,0.00010097456487472397,0.9746054902747946,3.5213430609253695e-05,C. glutamicum,Glucose,Paczia-12
3,ASN,asn__L,Asparagine,0.05326646171250893,0.05326646171242566,0.05326646171250893,0.059868240553914875,4,132.11792,0.0007082290734895387,4.984518620934106e-05,0.9711376953955793,7.596271560530623e-06,C. glutamicum,Glucose,Paczia-12
4,DHAP,dhap,Dihydroxyacetonephosphate,0.05132949946854981,0.05132949946833332,0.05132949946854981,2.3474693358252874,3,168.041961,0.0004702520547761108,3.468545445997185e-05,0.9683892651864641,9.99011106175144e-06,C. glutamicum,Glucose,Paczia-12
5,E4P,e4p,Erythrose-4-phosphate,0.06682519742111093,0.06682519742106097,0.0668251974212053,0.31801207073115545,4,198.067941,0.00013818093576095238,1.196099563097648e-05,0.9569779039652052,2.5296407223127916e-05,C. glutamicum,Glucose,Paczia-12
6,FBP,fdp,"Fructose-1,6-bisphosphate",0.10265899893681651,0.10265899893664998,0.10265899893681651,2.347469335825287,6,336.083922,0.00011004926721774419,2.2836793796909023e-05,0.7946769084665845,0.002943237943668625,C. glutamicum,Glucose,Paczia-12
7,F6P,f6p,Fructose-6-phosphate,0.09781659332658288,0.09781659332649961,0.09781659332664949,2.387863981864832,6,258.119901,8.691028489264957e-05,8.185166677002655e-06,0.9494704521386119,4.110477134716122e-05,C. glutamicum,Glucose,Paczia-12
8,G6P,g6p,Glucose-6-phosphate,0.09781659332657733,0.09781659332650516,0.09781659332657733,3.0206545764424018,6,258.119901,0.00019548932366988722,1.780848281349671e-05,0.9525697107533211,3.395449458548984e-05,C. glutamicum,Glucose,Paczia-12
9,GLU,glu__L,Glutamate,0.07069912190942329,0.07069912190926231,0.07069912190942329,2.1875696226403725,5,146.12132,0.012072955201313358,0.0012767608168621784,0.9470420482146723,0.00022340992498548303,C. glutamicum,Glucose,Paczia-12
10,GLN,gln__L,Glutamine,0.07457304639744144,0.07457304639739148,0.07457304639753026,0.358547470806741,5,146.1445,0.0007986335711291559,0.00014356448320468403,0.8609015215658551,0.0025827430724084006,C. glutamicum,Glucose,Paczia-12
11,GA3P,g3p,Glyceraldehyde-3-phosphate,0.051329499468416584,0.051329499468372175,0.051329499468416584,5.247960238437518,3,168.041961,2.55806211109012e-05,8.802962792766778e-07,0.9929447582425321,1.1003683726641564e-07,C. glutamicum,Glucose,Paczia-12
12,GLY,gly,Glycine,0.09975355557076404,0.09975355557059751,0.09975355557076404,0.19871560072059358,2,75.0666,0.019432470602868086,0.002071541512575367,0.9361682981599417,8.32988933543881e-05,C. glutamicum,Glucose,Paczia-12
13,HOM,hom__L,Homoserine,0.06779367854327645,0.06779367854312657,0.06779367854327645,0.16628274979945304,4,119.11916,0.0004965436009519205,1.0369313911874815e-05,0.9978242483408428,7.50308605014426e-08,C. glutamicum,Glucose,Paczia-12
14,LYS,lys__L,Lysine,0.11137532903517933,0.11137532903514047,0.11137532903521818,0.05777717296296833,6,147.1955,0.23143090727887475,0.004824523914262114,0.9973993223208296,5.502165064294127e-09,C. glutamicum,Glucose,Paczia-12
15,PRO,pro__L,Proline,0.08910026322815345,0.08910026322806464,0.08910026322817566,0.04925744422142957,5,115.13046,0.002722528040482434,0.0002892334542860683,0.9465828210335934,0.00022832387533509776,C. glutamicum,Glucose,Paczia-12
16,R5P,r5p,Ribose-5-phosphate,0.08232089537381637,0.08232089537376641,0.08232089537383858,0.6486898926108527,5,228.093921,3.3490186736417656e-05,2.4061949838477098e-06,0.9699578769506042,8.570304716381602e-06,C. glutamicum,Glucose,Paczia-12
17,RU5P+X5P,ru5p__D,Ribulose-5-phosphate,0.08232089537384968,0.08232089537379972,0.08232089537387743,1.1671869408687303,5,228.093921,8.423814289771244e-06,1.0944010895509192e-06,0.9518047129403426,3.563472242464425e-05,C. glutamicum,Glucose,Paczia-12
18,RU5P+X5P,xu5p__D,Xylulose-5-phosphate,0.08232089537384968,0.08232089537376086,0.08232089537384968,0.5637664287819784,5,228.093921,8.423814289771244e-06,1.0944010895509192e-06,0.9518047129403426,3.563472242464425e-05,C. glutamicum,Glucose,Paczia-12
19,S7P,s7p,Sedoheptulose 7-phosphate,0.11331229127933828,0.11331229127921616,0.11331229127933828,0.31801207073115545,7,288.14588100000003,2.3049547797835965e-05,1.5391210218695815e-06,0.973944104466547,5.582873887567284e-06,C. glutamicum,Glucose,Paczia-12
20,THR,thr__L,Threonine,0.07166760303140007,0.07166760303134734,0.07166760303140007,0.1428174778988607,4,119.11916,7.9141758312562e-05,5.465914558354732e-05,0.6770501303527257,0.3847871582350184,C. glutamicum,Glucose,Paczia-12
