,Metabolite abbrv.,Model ID,Metabolite,Metabolite value [gDW/mmol],MV min,MV max,Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],R2,Species,Carbon source,Dataset
0,23PG,2pg,2-phosphoglycerate,0.02319791982675623,0.01652675965909678,0.037229596281596056,12.219117742420401,3,183.033421,0.00032323019966163204,1.5433750699483736e-05,0.9909627474149802,E. coli,Glucose,Paczia-13
1,23PG,3pg,3-phosphoglycerate,0.023129673576816057,0.016431209127154567,0.037206604889428174,12.219117742420401,3,183.033421,0.00032323019966163204,1.5433750699483736e-05,0.9909627474149802,E. coli,Glucose,Paczia-13
2,ACT,ac,Acetate,0.009873399715987219,0.0043519219031895595,0.021499564451099573,0.364498185381089,2,59.04402,1.544754107109071,0.18801949338340426,0.9183689329769711,E. coli,Glucose,Paczia-13
3,ALA,ala__L,Alanine,0.02376516761483094,0.016822445452169266,0.03897067160637535,0.6296224139120967,3,89.09318,9.975274134111495e-05,1.1566108023206015e-05,0.9139872222121269,E. coli,Glucose,Paczia-13
4,AKG,akg,Alpha-ketoglutarate,0.03626288821768631,0.026842675538818472,0.056432087432456424,10.666347188874829,5,144.08226000000002,0.004122977209501769,0.0014549530569801716,0.8892599245274707,E. coli,Glucose,Paczia-13
5,ARG,arg__L,Arginine,0.11522413911480012,0.1113234003081165,0.1189502764715078,0.18506709382165265,6,175.2089,0.0019029966397408249,0.00020199017579751094,0.9466721520984734,E. coli,Glucose,Paczia-13
6,ASP,asp__L,Aspartate,0.030119602104061727,0.023226646201868206,0.04495203487561161,2.8725886410294645,4,132.09474,5.305955540511345e-05,2.580828915557572e-06,0.9814246012347266,E. coli,Glucose,Paczia-13
7,ACN,acon_C,Cis-aconitate,0.04136837001138538,0.030501218399270336,0.06421544359123121,6.022707403576503,6,171.08442,0.000631843532429395,5.215580232814383e-05,0.9483077473676137,E. coli,Glucose,Paczia-13
8,CIT,cit,Citrate,0.04084919910481988,0.02977433515236605,0.06404054076712962,6.022707403576503,6,189.09969999999998,0.0063218848988221416,0.00046329481454193797,0.9588052292128844,E. coli,Glucose,Paczia-13
9,DHAP,dhap,Dihydroxyacetonephosphate,0.02999944996301407,0.022559913866948555,0.04624870537257575,6.136868580671108,3,168.041961,0.0017999966338154774,6.091112532875142e-05,0.9909222249513965,E. coli,Glucose,Paczia-13
10,E4P,e4p,Erythrose-4-phosphate,0.035541559959151314,0.025334245714536685,0.0588549752154055,0.23859284798823718,4,198.067941,4.188499356045229e-05,5.6048719531770575e-06,0.9654249360283189,E. coli,Glucose,Paczia-13
11,FBP,fdp,"Fructose-1,6-bisphosphate",0.05865359174301865,0.043236282319825126,0.09156744078714363,0.0,6,336.083922,0.00254784285884818,0.0004919118764800507,0.9640635636755656,E. coli,Glucose,Paczia-13
12,F6P,f6p,Fructose-6-phosphate,0.05185014664033094,0.03620342867470816,0.08591156170638659,6.195986540474953,6,258.119901,0.0016153662214265763,0.00010089145109952673,0.969737086635964,E. coli,Glucose,Paczia-13
13,FUM,fum,Fumarate,0.02766380918997058,0.020785346420093553,0.04344352924805506,6.002886920043574,4,114.05628,0.00046457768020172365,6.642699763370193e-05,0.9422113998550917,E. coli,Glucose,Paczia-13
14,G6P,g6p,Glucose-6-phosphate,0.05179800641101906,0.036130427937952625,0.08589399625144045,7.0435835942413485,6,258.119901,0.0008679562459956038,6.511208903732151e-05,0.9569183372100787,E. coli,Glucose,Paczia-13
