,Metabolite abbrv.,Model ID,Metabolite,Metabolite value [gDW/mmol],MV min,MV max,Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],R2,p-value,Species,Carbon source,Dataset
0,ACT,s_0362,Acetate,0.00011892427465021171,0.0001189242744614738,0.0007508587294202673,3.513848461258508,2,59.04402,0.2850471928293728,0.03763620129024265,0.9502996059188151,0.004774541904700724,S. cerevisiae,Glucose,Paczia-12
1,ALA,s_0955,Alanine,0.0036603714274663357,0.003384515731569282,0.0036644966777632515,0.20346205552713773,3,89.09318,0.0001557233170833784,0.00014760092057679625,0.21769375309610733,0.35092046170807095,S. cerevisiae,Glucose,Paczia-12
2,AKG,s_0180,Alpha-ketoglutarate,0.009295625935923368,0.00866106065928185,0.009295687636989847,2.2957486072222815,5,144.08226000000002,0.0019668952775509963,0.0007547354060725605,0.6293418377197072,0.059665778586644055,S. cerevisiae,Glucose,Paczia-12
3,ARG,s_0965,Arginine,0.10421659379583059,0.10148173351390843,0.10421659379594717,0.07126499662940267,6,175.2089,-0.0008810102983082742,0.002919254741647784,0.04355595622925876,0.7912993621733303,S. cerevisiae,Glucose,Paczia-12
4,ASN,s_0969,Asparagine,0.05609533952606882,0.054955528079053684,0.05609737133046577,0.04510056621182254,4,132.11792,6.403278513890365e-05,1.3847262085808291e-05,0.842416758643496,0.009849836670789815,S. cerevisiae,Glucose,Paczia-12
5,ASP,s_0973,Aspartate,0.009768665969533963,0.009766852231757328,0.009863202453197495,0.5641094885330198,4,132.09474,1.1412906472226069e-05,3.5963026203382897e-06,0.7157308782550027,0.03374411842802879,S. cerevisiae,Glucose,Paczia-12
6,CIT,s_0522,Citrate,0.010609692599711229,0.009874532274473102,0.010609754300777707,0.11938620220165835,6,189.09969999999998,0.0006104505454393601,0.00014908076290938684,0.9437161706428651,0.15248695273165522,S. cerevisiae,Glucose,Paczia-12
7,DHAP,s_0629,Dihydroxyacetonephosphate,0.0065369444792351405,0.006536944479079709,0.008743286793966298,7.4646962178140726,3,168.041961,3.096248243093225e-05,2.993362524672916e-06,0.9639614950536026,0.0004930124536056225,S. cerevisiae,Glucose,Paczia-12
8,ETH,s_0680,Ethanol,0.0005868780254103534,0.0005850957935427115,0.001046377872010451,4.220738246536802,2,46.06844,8.00292975321067,0.34052810237225406,0.9928099153399155,1.9433146366900254e-05,S. cerevisiae,Glucose,Paczia-12
9,FBP,s_0555,"Fructose-1,6-bisphosphate",0.012644861698252186,0.012644861698196674,0.01708938873595245,0.0,6,340.115682,0.00046726365422985436,0.00015803861373783534,0.686070981201619,0.041693217164934744,S. cerevisiae,Glucose,Paczia-12
