Time,G6P,F6P,FBP,DHAP,23PG,PEP,PYR MS,RU5P+X5P,CIT,ACN,ICIT,AKG MS,SUC,FUM MS,ASN,GLU,SER,ASP,GLN,TYR,PRO,ALA,MET,VAL,PHE,LEU+ILEU,HIS,LYS,ARG,PYR,ORO,FUM,URA,AKG,SHI,ACT,ETH
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0.001,1.129,0,0,0,2.498,0,0,0,0,0.184,0.106,0,0.116,0.409,0.38,0.038,0.008,0.077,0.114,0.595,0.025,0.177,0.017,0.046,0.039,0.116,0,38.891,5.657,0,56.569,13.435,0,0,613.941
2,0,0.001,0.125,0,0,0,1.682,0,0,0,0,0.035,0.091,0,0.023,0.145,0.045,0.014,0.06,0.002,0.075,0.109,0.006,0.034,0.005,0.015,0,0.062,0,3.536,0.707,0,0,0.707,0,21.92,460.456
3,0,0.002,0.083,0.003,0,0,4.454,0,0,0,0,0.174,0.061,0,0.083,0.241,0.277,0.096,0.117,0.066,0.187,0.447,0.024,0.028,0.061,0.069,0,0.069,5.459,4.243,2.121,0,2.828,4.95,0,45.962,306.971
4,0.001,0.003,0.162,0.002,0,0,1.405,0,0.07,0,0,0.14,0.122,0,0.078,1.423,0.198,0.045,0.129,0.044,0.428,0.262,0.011,0.058,0.045,0.142,0,0.19,0,8.485,1.414,1.414,8.485,6.364,0,3.536,306.971
5,0.002,0.001,0.205,0.003,0,0,4,0,0.015,0,0,0.514,0.529,0,0.043,0.026,0.181,0.058,0.118,0.037,0.28,0.119,0.019,0.168,0.023,0.124,0,0.087,0,55.079,12.728,2.121,25.456,25.456,0,309.076,1534.853
6,0.002,0.001,0.38,0.005,0.017,0,8.327,0,0.061,0.008,0,0.061,0.312,0,0.135,0.489,0.168,0.041,0.179,0.013,0.583,0.715,0.011,0.081,0.033,0.023,0,0.079,0,33.234,0.707,0,2.121,0.707,0,178.191,2302.28
7,0.005,0.005,0.289,0.002,0.005,0,6.11,0,0.04,0.003,0,0,0.295,0,0.088,0.611,0.026,0.036,0.106,0.035,0.054,0.398,0.003,0.046,0.027,0.054,0,0.138,0,11.314,0.707,0,1.414,3.536,0,345.068,767.427
8,0.003,0.011,0.25,0.003,0.006,0,0.061,0.002,0.234,0.033,0.005,0.234,0.311,0,0.066,1.184,0.081,0.032,0.255,0.015,0.012,0.209,0.017,0.073,0.035,0.133,0,0.264,0,0,0.707,0.707,0.707,10.607,0,165.463,767.427
9,0.001,0.047,0.227,0.001,0.007,0.003,0.024,0.002,0.32,0.015,0.015,0.167,0.122,0,0.268,0.792,0.412,0.297,0.15,0.19,0.459,0.031,0,0.863,0,0,0,1.516,0,0,0.707,0,2.828,0.707,0.707,151.321,3069.706
10,0.002,0.005,0.243,0.004,0.009,0.003,0.162,0.002,0.311,0,0.014,0.462,0.129,0,0.072,0.106,0.158,0.076,0.071,0.079,0.028,0.416,0,0.025,0.152,0.424,4.541,0.038,0,0,0,0.707,1.414,6.364,0,118.794,767.427
11,0.029,0.051,0.069,0.002,0.013,0.003,0.101,0.002,0.223,0.017,0.021,1.058,0.08,0,0.055,0.741,0.297,0.012,0,0.076,0.063,0.294,0,0.416,0.139,0.058,1.086,0.045,14.759,0,0,0.707,0.707,9.192,0,1.414,3683.647
12,0.062,0.014,0.266,0.005,0.012,0.004,0.11,0.002,0.023,0.022,0.024,1.442,0.106,0.08,0.025,0.635,0.066,0.037,0,0.058,0.063,0.635,0,0.113,0.043,0.247,1.166,0.014,7.084,0,2.121,0,2.828,6.364,0,140.714,1534.853
13,0.023,0.015,0.212,0.001,0.012,0.001,0.041,0.003,0.18,0.006,0.021,1.155,0.144,0.243,0.07,0.058,0.08,0.078,0,0.011,0.035,0.22,0,0.14,0.062,0.083,0.534,0,5.842,0,2.121,0,0,7.778,0,19.092,613.941
14,0.022,0.031,0.167,0.005,0.014,0.02,0.167,0.003,0.363,0.039,0.181,0.611,0.37,0.787,0.027,0.311,0.107,0.055,0.15,0.068,0.055,0.582,0,0.028,0.047,0.12,0.618,0,2.631,0,0,1.414,1.414,6.364,0.707,206.475,306.971
15,0.043,0.021,0.3,0.002,0.033,0.032,0.069,0.001,0.306,0.037,0.083,1.007,0.18,0.497,0.039,0.389,0.082,0.053,0,0.017,0.066,0.611,0,0.17,0.04,0.059,0.158,0,1.631,0,0,1.414,0.707,13.435,0,310.42,920.912
16,0.026,0.028,0.106,0.002,0.013,0.026,0.07,0.006,0.28,0.031,0.083,1.617,0.489,0.384,0.032,0.04,0.105,0.044,0.138,0.038,0.075,0.192,0,0.097,0.04,0.04,0.188,0.104,1.225,0,0.707,1.414,3.536,19.799,0,239.709,0
17,0.014,0.013,0.289,0.012,0.022,0.012,0.029,0.007,0.411,0.004,0.12,0.4,0.363,0.167,0.012,0.323,0.129,0.008,0,0.021,0.073,0.19,0,0.133,0.014,0.03,0.296,0,1.95,0,0.707,0.707,1.414,4.243,0,95.459,0
26,0.013,0.022,0.106,0.014,0.01,0.016,0,0.005,0.106,0.014,0.223,0.924,0.372,0.28,0.113,0.564,0.07,0.25,0.116,0.082,0.046,1.179,0,0.607,0.223,0.405,0.553,0.098,1.62,0,1.414,0.707,2.828,4.95,0.707,241.831,0
