"Metabolite concentrations, fluxes, and free energies imply efficient enzyme usage
Junyoung O. Park1,2, Sara A. Rubin3, Yi-Fan Xu1,3,4, Daniel Amador-Noguez1,5, Jing Fan1,3, Tomer Shlomi6, Joshua D. Rabinowitz1,3
1 Lewis-Sigler Institute for Integrative Genomics,
2 Department of Chemical and Biological Engineering, and
3 Department of Chemistry, Princeton University, Princeton, NJ 08544
4 Current address: DuPont Industrial Biosciences, Experimental Station, Powder Mill Rd, Wilmington, DE 19803
5 Current address: Department of Bacteriology and Great Lake Bioenergy Research Center, University of Wisconsin - Madison, Madison, WI 53706
6 Department of Computer Science, Technion – Israel Institute of Technology, Haifa 32000, Israel",,,,,,,,,,,,
"Supplementary Table 5. Comprehensive absolute cellular metabolite concentrations.
6",,,,,,,,,,,,
,,,,,,,,,,,,
Metabolite[compartment] \ Concentration(M),BiGG ID,KEGG ID,Brenda ID,Mammalian iBMK,L.B.,U.B.,Yeast,L.B.,U.B.,E. coli,L.B.,U.B.
"1,3-bisphosphoglycerate[c]*",13dpg[c],C00236,18032,2.24E-06,6.77E-07,3.28E-06,4.91E-06,3.26E-07,6.47E-05,1.65E-05,1.07E-05,2.97E-05
"2,3-bisphosphoglycerate",23dpg,C01159,18034,2.37E-04,1.76E-04,3.16E-04,3.61E-05,2.58E-05,5.07E-05,8.29E-05,6.08E-05,1.05E-04
"2,3-dihydroxybenzoic acid",23dhb,C00196,24972,-,-,-,-,-,-,1.38E-04,1.17E-04,1.64E-04
2-dehydro-D-gluconate,2dhguln,C06473,,2.77E-06,2.05E-06,3.48E-06,-,-,-,-,-,-
2-phosphoglycerate[c]*,2pg[c],C00631,17976,9.49E-06,1.37E-06,9.18E-05,2.38E-05,4.39E-06,1.60E-04,9.18E-05,3.81E-05,3.22E-04
3-phosphoglycerate,3pg,C00197,17981,3.75E-04,2.88E-04,4.63E-04,5.78E-04,3.45E-04,8.10E-04,1.54E-03,1.51E-03,1.58E-03
3-phospho-serine,pser-L,C01005,36327,4.40E-04,3.45E-04,5.35E-04,-,-,-,-,-,-
4-hydroxybenzoate,4hbz,C00156,,-,-,-,-,-,-,5.22E-05,4.43E-05,6.15E-05
6-phospho-D-gluconate,6pgc,C00345,22563,1.65E-05,1.23E-05,2.20E-05,2.43E-04,1.77E-04,3.08E-04,3.77E-03,3.69E-03,3.85E-03
acetoacetyl-CoA,aacoa,C00332,13538,-,-,-,-,-,-,2.18E-05,1.37E-05,3.47E-05
acetyl-CoA,accoa,C00024,36329,2.88E-05,2.25E-05,3.50E-05,4.36E-05,3.62E-05,5.22E-05,6.06E-04,5.29E-04,6.94E-04
acetylphosphate,actp,C00227,,-,-,-,-,-,-,1.07E-03,1.02E-03,1.13E-03
aconitate,acon-C,C00417,23413,1.10E-05,8.72E-06,1.34E-05,-,-,-,1.61E-05,1.38E-05,1.88E-05
ac-serine,acser,C00979,,5.72E-05,7.28E-06,1.07E-04,-,-,-,-,-,-
adenine,ade,C00147,20886,-,-,-,-,-,-,1.47E-06,1.26E-06,1.71E-06
adenosine,adn,C00212,850,-,-,-,-,-,-,1.31E-07,9.44E-08,1.82E-07
adenosine-phosphosulfate,aps,C00224,1024,-,-,-,-,-,-,6.63E-06,5.10E-06,8.62E-06
ADP,adp,C00008,1228,5.69E-04,4.52E-04,7.15E-04,4.88E-04,4.29E-04,5.52E-04,5.55E-04,4.37E-04,7.04E-04
ADP-glucose,adpglc,C00498,7320,-,-,-,-,-,-,4.27E-06,2.83E-06,6.44E-06
a-ketoglutarate,akg,C00026,21003,7.97E-04,7.86E-04,8.08E-04,8.48E-04,7.91E-04,9.04E-04,4.43E-04,3.12E-04,6.31E-04
alanine,ala-L,C00041,17908,6.98E-03,6.19E-03,7.77E-03,2.23E-02,1.96E-02,2.51E-02,2.55E-03,2.32E-03,2.80E-03
AMP,amp,C00020,147,4.23E-05,3.57E-05,5.02E-05,8.12E-05,6.38E-05,1.03E-04,2.81E-04,2.32E-04,3.41E-04
anthranilate,anth,C00108,,-,-,-,-,-,-,3.48E-06,3.34E-06,3.62E-06
arginine,arg-L,C00062,36213,2.55E-04,1.75E-04,3.35E-04,2.18E-02,1.76E-02,2.61E-02,5.69E-04,4.79E-04,6.75E-04
asparagine,asn-L,C00152,19609,2.15E-04,1.56E-04,2.74E-04,5.69E-03,5.23E-03,6.14E-03,5.11E-04,4.42E-04,5.92E-04
aspartate,asp-L,C00049,19556,1.49E-02,1.38E-02,1.60E-02,6.29E-03,5.79E-03,6.79E-03,4.23E-03,3.56E-03,5.04E-03
ATP,atp,C00002,1395,4.67E-03,2.40E-03,6.94E-03,1.93E-03,1.66E-03,2.21E-03,9.63E-03,8.13E-03,1.14E-02
carbamoyl-aspartate,cbasp,C00438,21131,-,-,-,-,-,-,5.90E-04,3.64E-04,9.55E-04
carbon dioxide[c]**,co2[c],C00011,28651,7.63E-03,6.37E-03,9.55E-03,8.16E-05,6.01E-05,9.01E-05,7.52E-05,5.02E-05,7.54E-05
