,Sample_id,Carbon source,Metabolite,Concentration [uM],Hours,Bioreactor,AUC [gDW*h/L],Z-score
0,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,"1,3-diaminopropane",,10.0,REL04,1.4313031841181596,0.2507995379098391
1,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,"1,3-diaminopropane",,16.0,REL07,1.224938952181199,0.7491840195431568
2,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,"1,3-diaminopropane",,12.0,REL04,2.865121839561659,0.667052234841807
3,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,"1,3-diaminopropane",,6.0,REL01,0.3027227371464714,-0.3906948590502258
4,SM_MPTA_112023_M9_Galactose_001_40,Galactose,"1,3-diaminopropane",,0.0,,0.0,-1.3977347797707294
5,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,"1,3-diaminopropane",,0.0,,0.0,0.3365788368307782
6,SM_MPTA_112023_M9_Galactose_002_41,Galactose,"1,3-diaminopropane",,0.0,,0.0,0.6274899410821314
7,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,"1,3-diaminopropane",,14.0,REL01,3.657264738592213,-0.0968204703313534
8,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,"1,3-diaminopropane",,10.0,REL07,0.3182352285057104,1.0476186761448425
9,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,"1,3-diaminopropane",,6.0,REL05,0.1847473940054876,0.9450005081957428
10,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,"1,3-diaminopropane",,12.0,REL01,2.122869171591218,-0.6084853888279051
11,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,"1,3-diaminopropane",,6.0,REL02,0.3061863840245775,-0.8688660662392226
12,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,"1,3-diaminopropane",,22.0,REL09,3.9376424130469174,1.3040728420402865
13,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,"1,3-diaminopropane",,11.0,REL05,1.4913949991123805,0.117240721721857
14,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,"1,3-diaminopropane",,12.0,REL02,2.076109938736786,-0.252109755388608
15,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,"1,3-diaminopropane",,18.0,REL08,1.718588757293409,-0.0345791425257574
16,SM_MPTA_112023_M9_L-malate_002_44,L-malate,"1,3-diaminopropane",,0.0,,0.0,-0.5480366187564876
