,Sample_id,User code,Carbon source,Timepoint-tag,Sebacoyl-l-carnitine (c10-dc),Deoxycarnitine (deoxy-c0),Glutarylcarnitine (c5-dc),Phenylalanine,Leucine,Isoleucine,Methionine,Gamma-aminobutyrate,Proline,Tyrosine,Valine,Pipecolic acid,Alpha-aminobutyrate,Beta-alanine,Alanine,Creatine,Alpha-aminoadipate,Glycine,Glutamine,Glutamate,Serine,Asparagine,Aspartate,Lysine,Pyruvate,Lactate,Hexoses,NAD,Glutarate,Succinate,Malate,Cis-aconitate,Citrate,Isocitrate,Trans-aconitate,Hours,Timepoint,Bioreactor
1,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,0.0654038722336832,0.1585500014191644,0.1679997668460794,0.0026847545742257,ND,0.1149591260568564,ND,0.61044292941447,ND,ND,ND,ND,ND,0.074758815546201,ND,0.00127867538754124,ND,ND,ND,1.015848571650646,ND,0.726806134963804,0.123115567294632,ND,ND,1.3566382152838279,46499.6584742532,0.0290744109239346,ND,ND,0.802229832945808,0.0435935048848186,1.6975609596823058,0.0629033028102866,ND,6.0,1,REL01
2,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,0.053257015315227196,ND,0.14008216650823,ND,ND,ND,ND,0.277435417484396,ND,ND,ND,0.008361103800336039,ND,0.0679315517831272,ND,0.000361217486383576,ND,ND,ND,1.0165274251218859,ND,0.638252247641862,0.21602277168067602,ND,ND,ND,40184.0471606964,ND,ND,ND,2.7955656083951803,0.001894226511773902,ND,ND,0.00135086114499977,6.0,1,REL02
3,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,0.06416678644600579,0.5587555929597541,0.19443849889209439,ND,0.057053330589366,ND,ND,ND,ND,ND,0.0435190152122324,0.00988864390818156,ND,ND,ND,ND,ND,ND,ND,0.748445648805392,ND,0.871013293232874,ND,ND,ND,1.360412020225658,32026.7834553144,0.0425221904791748,ND,ND,9.906841951506099,0.0476805792672644,ND,ND,0.00223757780408522,8.0,1,REL03
4,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,0.10129457465435901,0.6415263835229139,ND,0.0144454119813541,0.110952076634703,ND,ND,ND,0.00533842838578314,ND,ND,0.025224652536723402,ND,0.1452509473460706,ND,0.0054229670211753,0.0149337379155885,ND,ND,4.05912545245804,ND,0.604737272964774,0.37295674483752,ND,ND,1.5829951314668,31395.5486753418,ND,ND,7.9135493826097605,10.96401889475054,0.21259281239400002,ND,ND,0.01125905636493192,12.0,2,REL01
5,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,0.0501010343662258,0.747844327580834,0.18265786799205602,0.026070905651770598,0.24922505181371601,0.0710744886510182,0.0017818321268142738,ND,0.01110708815191066,ND,ND,0.014045415289760799,ND,ND,ND,0.00310608420614828,ND,ND,ND,3.30867066338942,ND,0.694018229022206,0.375448499475106,ND,5.67695657847516,0.246750421492216,21448.766387693402,0.0314436091493212,ND,4.42313438171396,3.90180612053094,0.21053466507760002,ND,0.0646426964748304,0.0084218722138774,12.0,2,REL02
6,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,0.0725700088487316,1.0058459178196801,0.1374899034034096,0.013852505070698021,0.259390088899998,0.09023624664690941,0.026225157329744196,ND,0.0426521829342762,ND,ND,0.01919861107970888,ND,0.0721005035615234,ND,0.000575429361953678,ND,ND,0.036322187222348,10.409778507756261,ND,0.314196142691316,0.49254673232226,ND,ND,1.150604028997728,26854.2414464846,0.042294365662498404,ND,51.685724481112196,1.5020971389787279,0.232510980011218,ND,ND,0.010628363210073261,14.0,2,REL03
7,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,0.103636724584858,1.073857796964008,0.413146559959816,0.051747583066795,0.573243645862326,0.0858411953267446,0.01565749961716374,ND,0.00205420908275,ND,0.0370364869688916,0.0221558061335558,ND,0.1782064737139924,1.6500794579206879,0.00638984552049148,0.0768287388338278,ND,ND,9.72733326603424,ND,0.616457305281388,0.447801498514094,ND,7.10932314715738,ND,13922.624752537802,0.09425730046242539,ND,24.211984382651,1.08678845610546,0.365661862593216,2.0197597540921803,0.287037687072196,0.023892009175461,14.0,3,REL01
8,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,0.0649198811516986,1.11680354379903,0.1288293401374676,0.01498747406232096,0.22948913960954398,0.0743232705664916,ND,0.204824536623812,0.0051437335275812,ND,ND,0.023914128983095,ND,0.1529152011310062,ND,0.00643066406801478,0.032609183199071,ND,ND,3.69670000254904,ND,0.29701604064154596,0.456968629254372,ND,3.6695155961123804,1.092390716400452,11987.60896708202,0.0299093374631062,ND,18.32942490176126,7.9125393458554,0.389310877369518,ND,0.15717043736179961,0.01865331327298364,14.0,3,REL02
9,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,0.0824954068673564,1.715663287441738,0.34274344022318604,0.0751161215376968,0.1106216994006316,ND,ND,0.427888889111224,0.01627716206105184,0.0030190088001261,0.0675050031308172,0.024554576817673,ND,ND,1.18624951611727,0.00221543582700406,0.0449500751681194,ND,ND,5.33981278606834,ND,0.055879884368770005,0.658841903498272,0.5556539102814481,ND,0.626481071867266,14764.10857886062,0.025661073105618798,ND,108.535024357568,2.1819079305759397,0.310610208292946,ND,0.0754087822534656,0.014428468395952621,16.0,3,REL03
10,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,0.0755389041918732,2.5182395197228002,ND,0.322876039619504,3.4938690965820003,5.53463106193562,ND,ND,0.00031335223146534204,0.0801351995903736,2.7109645043304202,0.230097850672604,5.975775747379361,ND,ND,0.00910185390758102,0.156540968972805,ND,ND,0.297484516775316,ND,ND,ND,68.0827880094988,2.73145081812962,1.0210471597153439,3447.8450804294,0.039853448357090995,ND,ND,1.4856512782170521,0.37371915959576196,ND,0.0968803194601198,0.0434911570071002,18.0,4,REL01
