,Glutarylcarnitine (c5-dc),Trigonelline,Nicotinamide,Methylthioadenosine,Alpha-aminoadipate,Creatine,Creatinine,Glutamine,4-imidazoleacetate,Glycine,Aspartate,S-adenosylmethionine,Tyrosine,Malonylcarnitine (c3:dc),Isovalerylcarnitine (c5/ic5),Arginine,Phenylacetaldehyde,Kynurenate,Serine,NAD,Dihydrouracil,Diethanolamine,N-acetylphenylalanine,Methionine,Pipecolic acid,Metanephrine,Guanine,Histidine,Gamma-aminobutyrate,Hexanoylcarnitine (c6),Sebacoyl-l-carnitine (c10-dc),Dethiobiotin,Adenosine,Cyclic gmp,"1,3-diaminopropane",Isoleucine,"Adenosine 3',5'-cyclic phosphate",Deoxycarnitine (deoxy-c0),N-alpha-acetyllysine,Nicotinate,Stearoylcarnitine (c18),Beta-alanine,Trimethylamine,Inosine,Citrulline,Leucine,Tyramine,Asparagine,Hexanoate,S-adenosylhomocysteine,Phenylalanine,Threonine,Glutamate,Methylguanidine,N-acetylleucine,Proline,2-aminoisobutyrate,Alpha-aminobutyrate,Lysine,Ethanolamine,Oxoproline,Hypoxanthine,Putrescine,Valine,N-acetylputrescine,4-acetamidobutanoate,Thymine,Ophthalmate,N-acetylserine,Xanthine,Alanine,Isocitrate,Trans-aconitate,Cis-aconitate,Uridine diphosphate hexose,Cdp-ethanolamine,Gluconate,Fructose-6-phosphate,Aicar,O-acetylserine,Ureidopropionate,Lactate,2-hydroxybutyrate,Thiamine monophosphate,Uridine monophosphate,3-hydroxyphenylacetate,Adipate,Methylglutarate,Malate,3-hydroxyglutaric acid,Glycerol,2-hydroxyglutaric acid,Anthranilate,Quinate,Guanidinosuccinate/n-acetylaspartate,O-succinyl-homoserine,Diaminopimelate,Hydroxyphenyllactate,cAMP,Glycerol 3-phosphate,Pyruvate,3-(4-hydroxyphenyl)pyruvate,Xanthosine,3-hydroxybutyrate,Glutarate,Pantothenate,Alpha-glucose (cl adduct),N-acetylalanine,P-hydroxyphenylacetate,N-acetylglutamate,Succinate,Homoserine,Urocanate,3-hydroxyanthranilate,Gluconolactone,Hexoses,Allantoin,Orotate,"2,5-dihydroxybenzoate",Dihydroorotate,Uracil,Salicylate,Timepoint,Hours,Carbon source,Bioreactor
SM_MPTA_112023_49_L-malate-T10_M5_19,-0.9026053253402513,-0.6504262595256436,-0.3416508030608438,0.3278563791082127,0.08192938446488009,,-0.24014678931123595,2.470447720565315,0.27386969624567375,,0.9090915076917397,0.2910827663536536,,1.207519377200956,-0.6998636023623485,-0.22699717875381448,-0.22923373693038335,0.027010874599120636,0.9198063917248697,0.008425186523244846,1.043300334043483,-0.4346796953399372,-0.3638676804539919,,-0.2178315196467461,0.7332156325621964,-0.30650128274815075,-0.22163921034617184,-0.4531723028367188,-0.4620910534668267,0.07986918878948099,0.342499002820195,-0.400815827891618,-0.4102001087084406,0.25079953790983917,-0.5268977262424348,-0.05395865501168317,-0.5778515699645969,-0.36866179793319914,-0.2503948030109836,-0.32725725601362293,0.395092562639881,-1.1279884378224179,-0.17365767160451362,1.0242659563224208,,-0.3156871389718345,-0.43920482104863784,1.276658756187324,1.3354617522203973,,0.8965780004708467,2.069420312592245,-0.41409214233475644,-0.08116413745667561,-0.5035069218305637,-0.8413432748125277,,-0.2680076806022729,0.0009953946535759895,1.056104488744912,0.03268003747447745,-0.05173575782500141,,0.1451993890033906,-0.06475075035847289,-0.6202687297246998,-0.4814688781355789,0.38089999513309303,-0.15650914166861454,-0.9561161411075425,-0.4510239423975565,-0.6937680719247622,0.13877573815692273,-1.2750018488816166,-1.4865078980431938,,0.4085263166277431,0.2542115942474865,-0.5493539025147741,,-0.2605995998767909,0.4625437429191646,-1.6352880187445296,1.8030415287933566,-0.4346425464196922,4.091476056192502,1.8351776530915231,0.46373623238220774,-0.39896647445925315,-1.56009607127065,0.5341285767214936,0.7779776285491183,0.8977850941706702,0.5989398410288753,1.4469094483034772,1.7123109692137268,0.1938611645275572,-0.2636308881466738,0.09392659087740635,-0.09522396974556784,1.1892377003394135,2.0588335051486277,-0.6029366363263305,0.01139704774665457,1.1125058090227402,,-0.5630494584297279,0.25697210342964577,1.6115373545421345,-0.4310087567615091,-0.6004046629061311,0.7544112512076052,0.7407179071519128,,,0.5707523976506007,1.1209553277154067,1.3286032399351522,0.38137831324231797,-0.4725930180198507,0.5647313459662499,3,10.0,L-malate,REL04
SM_MPTA_112023_79_L-alanine-T16_M9_28,-0.9240957404564069,-0.77297882078341,-0.35944892785299687,0.5509108893041481,-0.1229348053845545,1.270699283529861,,-0.3362088896756801,0.21942290615758211,0.6842854549441876,-0.4675911551385759,0.844345507139811,,-0.2948295097149265,-0.6039718534982084,-0.23214185073486304,-0.5496423693963031,-0.5800290917530464,1.7680357578048245,0.8810111217616263,-0.3691743843773465,-0.9596962623879988,0.36771971166799466,,-0.4509280157129267,0.9645717329644451,-0.35415367851755525,-0.2485711706908389,1.9602760188594472,-0.11258327188378113,0.7908514901615883,-0.7274472586680489,-0.21824074545059546,-0.5849691027540818,0.7491840195431568,-0.4413511404823902,-0.3148438314792002,-0.7808602229140083,3.2030375977466385,-0.3733398628980223,-0.4568054890533517,0.05687434139840781,0.8370705975207351,-0.3330177545797592,-0.6668408127476168,-0.38638765243550766,1.7141052895221853,2.5502479476452296,0.06481147582303497,1.701580952547225,-0.3734482960425145,0.46649915461544694,-0.34934476587623375,0.21282091642596346,-0.4454899811637847,0.980272635433143,0.6401422114953064,0.5787744235597988,0.06655735407682149,-0.3143878853591207,-0.40868435067610237,-0.6628226305911179,2.980587533745125,0.29936239438961826,1.7506021068709756,0.6130721996867945,-0.011333050754580189,2.464615348673798,0.9391906901673263,-0.9012964629484786,0.5673281517107422,-1.0228947904146541,-1.2596565450596153,-0.10345170914166528,-0.3018049140509242,-0.7200830255737225,,-0.06968227416024705,0.7996043677648879,0.775703743876531,2.8940028202485775,-0.8579667092613154,2.773470074964662,-1.644451992391803,0.5231551234699292,1.1372284994022541,0.6046097194365918,1.150036835153889,-0.5862570677169477,1.018654458141402,-0.5116024842706245,0.47214450135955155,-0.13887811587231025,-0.505741848989767,1.6318794439640387,-0.2352820835580816,-0.0921883322088182,-0.6919474979157111,0.269767852234185,-0.4684391506540693,-0.7967912587304871,-0.47881133333306064,0.6652728715500069,0.8508690089939812,,-1.0528768051032469,,1.356549887725032,-0.7214615051740365,0.14655782422867372,-0.840723526148164,2.361902455965269,0.30240718189309246,-0.19698454683341166,-0.8078927856587699,,-0.6443949092458257,-0.546999553509532,-0.09113634240542684,-0.7360414538467642,-0.6699593358614234,-0.10849886716444997,2,16.0,L-alanine,REL07
SM_MPTA_112023_58_L-malate-T12_M5_22,-1.0753693032181215,0.45337165903981896,-0.20589847396112373,0.9301661505416429,-1.1106796527558984,-0.5109904465623545,-0.14265483278136226,-0.4570647600810962,-0.4562609244587075,,-0.4891012383439141,1.3824428056914762,-0.4496968804957385,-0.7376535203631364,1.7978910912688824,0.017370203052844566,1.1543817576810127,1.7101688527949226,0.7589367590665156,-1.0945335067243671,0.8207094419454867,-0.13807945919810646,-0.054663191307530744,-0.30619943806535377,-0.08739411845320698,0.37487426382970457,-0.287102096217669,-0.07322056420833004,,1.2392328094117437,0.11210931618130963,0.4787449724784634,0.5349288496915356,-0.1858892238022557,0.667052234841807,0.1925747238664378,0.08459024726088722,0.7370196260997887,-0.436524422434476,-0.4282189106863466,0.3226884682196455,,-0.7892751109069713,-0.33895257790322153,0.13556518392114433,0.015846706823851704,0.21099392323136237,-0.6137370988037613,1.042136964796509,0.2454451292920181,-0.2192685887832135,-0.886558639690619,-0.6869003279100767,0.21963800632445993,0.49150417333871166,-0.4350462632190938,,,-0.2820233214398395,0.6387515232619503,0.4073040099458125,-0.08569477008015816,-0.8709481069222199,-0.449930475317592,0.1884097282851802,-0.027828693331323612,0.08749528199106515,-0.4854175293130791,-0.16305575980408402,0.5977587713320982,,-0.4195807763110939,0.041713477131583666,0.2452371190843504,-0.0752390486987521,-1.1397965010336077,,0.9962517871967276,,-0.556828836460661,,0.3750621723295156,-0.7065445144789653,-1.5401232686638993,1.143333320722965,-0.12448317297897431,0.4353010603767027,2.2347140735704176,-0.5380774687211854,-0.38188488077041044,-1.762340786931703,0.7546591678380962,1.5801070391128789,1.4201312362263065,1.1191722194643166,1.7717297488064507,1.820638346781036,0.6776953322579559,-0.10828082298763378,0.8022654371569999,,1.952944852997163,1.5961742399985692,-0.1342290207800938,1.520781101057729,1.1754347001799836,,-0.5543217072415496,1.6280264534805864,1.7304680104312324,,-0.6283097067946846,0.874810850970212,1.2922360435936133,,,0.7254338111554319,1.1365180948612303,1.6585012143267839,0.677889016103746,0.899326913773508,1.9429754703224726,4,12.0,L-malate,REL04
SM_MPTA_112023_28_Galactose-T6_M1_1,-1.0800985967171575,0.2815444919070602,-0.31082371079164856,-1.434182246456054,,-0.7922034106583481,-0.17331637913497952,-0.7100265534742203,-0.05133117478275605,,-0.562417591892394,-1.1315521886659035,,-0.7756917000701133,-0.1482908698566211,-0.34081829466813524,-0.32273313143092425,-0.8901423802884897,-0.47846820037916404,-0.6369022543801205,0.2958138897461208,0.6451814596264596,-1.0984821885846703,,,-0.977226308281426,,-0.2980570286894792,-0.5799189116525766,-0.4024984358720457,-0.8789490756810613,-1.0889835081640193,-1.0231758047760222,-0.6365222397247796,-0.3906948590502258,-0.5363638984536078,-0.6911658176205951,-0.7632836875419657,-0.4992964470000063,,-0.5010646456751083,-0.9248796305331122,0.42171783312644995,-0.35165567694189115,-0.7596342729789565,,,-0.45524742104287136,0.4446130800217702,-0.9313227206442746,-0.38126541271616987,-1.016538411061099,-0.6335856149165339,-0.49054028954674067,-0.7447369621408991,-0.6005788243932298,,,,-0.7786023599159163,-0.8099276276049645,-0.8616364029147606,-0.9962344281326586,,-0.8637525945104053,-0.7693462955266381,-0.9225160122531972,-0.4800134260260947,-1.2330819285700088,,,-0.5967953829941994,,-0.9762475052499512,0.872975184231333,0.8035000485202548,0.17729801075373383,-0.8863611969059387,-0.6354415449487093,1.848965029698302,-0.6351221539014997,-0.12943513530585904,-0.7756488213160416,,-0.7059327056306123,-1.0886041558176451,2.54672411069024,1.1488885599013559,-0.590671680908808,-0.8511905104626067,-0.39846069092238373,-0.8398387385084319,-1.0414978488561901,-1.1145467223329504,-0.7447924345779882,,-1.0937165605308112,-0.9092667600818026,-1.2517413840511524,-0.8182629553227417,,-1.215840170231319,-1.2558505776245468,-1.0429924613688084,,-1.149327331095716,0.7635148458082804,-0.588517918175146,,-0.9340731744142403,,,-0.7365804216617499,-1.3483381734480897,-0.6394875588684327,1.0396851238460458,-1.1406074660238974,-1.3702147331244205,-1.1097935085265638,-1.2686366713468797,,-1.029553320784878,1,6.0,Galactose,REL01
SM_MPTA_112023_M9_Galactose_001_40,-1.1903175227911988,1.3816131050346396,-0.2621645850112998,,,-0.8508302925976758,-0.2650314187912634,-0.7241711065588223,-0.021052823862737352,,-0.5654618785227471,,,-0.778388017949571,0.34136962889683004,-0.3533957342251623,-0.025652948826570793,-0.6383067721312345,-0.966427854011423,,-0.08952503120572355,1.8871172231879985,,-0.3556016176665402,,-0.8909267542910095,,-0.26939629561863265,,-0.9799531920866364,-1.115974342403845,,-1.2059971982523454,,-1.3977347797707294,-0.5344844987960614,,,,,-1.1689836278619292,,-0.46270871119992807,-0.4029340171890533,-0.800960719473309,,,,1.35646850574592,,-0.37950587554841925,-0.8567005226474298,-0.7581374055746516,,,-0.538269181497129,,,,-0.9454760196065912,,-0.8751192174083183,,,-1.0757469649094378,,,-0.5013422813006176,,,,-0.7138829650862559,,,0.505541321052226,-1.3216414898012214,-0.8100808092598768,-1.2349267327583084,,,,0.2310321893359283,-1.0085276689652072,,,,1.192198697981076,1.3153742550593588,-0.5918136921112676,,1.553143579156294,,,,-0.8974300185096065,,,,,-1.230273107988913,,,-1.3608865168936597,,,,0.7568188128357896,,,-1.1046680263505995,,,-1.5115693729084352,,,1.3396721959960531,,,,,,-1.0104775946213342,0,0.0,Galactose,
SM_MPTA_112023_M9_L-alanine_001_37,-1.032361526852079,-0.8504458545586887,-0.36333118578825246,,,1.7148679130849476,-0.31514045386496886,-0.7700660373951762,,,-0.4993073509502834,,,-0.4027396220046417,-0.9285391443952187,-0.47498174516858405,-0.6515125664687085,,-0.9910961448003026,,-1.1778555021486867,-0.4957841992596015,,-0.3547933870337622,,,,-0.4252194675741782,,-0.3095355310674836,-0.3267170642639147,,-1.2630031733480087,,0.3365788368307782,,,,-0.5035455044441928,,-0.6700317607883334,,-0.43122714414885394,-0.40459349725082056,-0.9445031782090718,,,,0.3950229758176267,,-0.3836405909069921,1.2255551869102892,-0.7419905717229494,,,-0.6136095364732803,-0.8392156306018421,-0.8885336576109802,,-0.9483262470037348,,-0.8759872555687447,,-1.144462707916906,-1.076667921691846,,,-0.5000797884248284,,,1.3734938833631092,-0.759851836795191,,,0.5998926074101554,0.28899743582180865,,-1.1527288219613874,,,,-0.7922509276995384,,,,,0.5530678801925416,-0.918185001293771,-0.5925508704396533,,0.7823973748772987,,,,-0.8977301791364586,,,,,,,,,,,,,-0.5753032710514923,,,,,-1.4747483340695091,,,,,,,,,-1.1355066935884646,0,0.0,L-alanine,
SM_MPTA_112023_M9_Galactose_002_41,-1.3997577627502262,-0.18838535735307788,-0.13295372300867797,,,-0.6426970594449875,-0.20935272599302276,-0.7661534867444978,-0.371753189805726,,-0.5635690988121079,,,-0.8788977902814157,1.1008359138090054,-0.26635722751811763,0.24939063672286818,,-0.826936768728779,,1.7732054385225198,-0.40292264868316224,,,,-0.8316093755524615,,-0.22856693683894783,-0.7263063899044088,0.3375992227195139,1.341723606328628,,-1.0715227511492795,,0.6274899410821314,,,,,,-0.30909801354997024,,0.7654115964713997,-0.40109107579466197,-0.5691073511582845,,,,0.9384890294155486,,-0.37773375618740535,-0.9881934042261158,-0.7514076425900816,,,-0.4872207133356529,,,,-0.9349267952860494,,-0.8756431508164226,,,-1.0758282988680243,,,-0.4989014194907983,,,-0.9556927913690292,-0.7656932543676181,,,0.8884230992978965,-1.1584564902687144,-0.8135892617718823,-1.2500852634632877,,0.17853171595135528,,0.7044002486704293,,,,,0.755311961444777,-1.2303347331131809,-0.5929440346950997,,2.3534556787131122,,,,-0.896224524861726,,,,,,,,,,,,1.3186900650965978,,,,,,-1.522103651285596,,,1.2448745928103728,,,,,,-0.745121406710325,0,0.0,Galactose,
SM_MPTA_112023_64_Galactose-T14_M1_7,-0.43533761651610176,-0.3937694438349721,-0.33258410687008244,0.3491498347240059,-0.7846513390118368,-0.3969270737760697,0.13001524881388546,-0.46660081116509555,0.4345824082343623,,-0.4640935666021093,0.40679207814110646,,-0.8020842393395706,0.6420865102010527,-0.15657951129093647,-0.5544961752211983,0.12481123153185428,-0.8154288914980997,0.38494055564701635,0.2511934925166316,-0.7328177627386345,-0.12251990325560419,-0.3498540575757682,-0.2561887733371449,-0.8816389064726172,-0.26308269619537816,-0.29122989018490064,,1.5737071532276345,1.6135914272815082,1.793965447851099,0.3891401436768576,1.251642047711498,-0.09682047033135344,-0.5228271594504857,0.9115014184021837,0.29850657503830785,-0.4746814059361902,-0.6860403843625293,0.03798689024734545,-0.6442759492421979,-1.6391613500238085,5.953322915166473,-0.7641751282737012,-0.508793187066728,-0.5224848412065325,-0.467323022713378,0.48243768121797165,-1.0043929877079465,-0.3499280946643637,-1.0000828151254264,0.4839445435521596,-0.5092504200349165,0.5378860477944293,-0.590593474862289,,,-0.28016628642439634,1.14294666723393,-0.35374917693509833,1.6075117201196298,2.3880338183229637,-1.2189505140159576,-0.05951613017901639,-0.547191676851754,-0.16698659151091508,-0.48769983031501113,-0.6235076137943414,-0.35125874911513216,-0.9560189691077299,-0.35370224192381033,-0.21337216251597094,-0.3838273582569873,-0.24506313866877633,-2.005865556104297,1.0202750018599307,0.8024959657368139,0.9595070794716827,0.7398953976886103,-0.709851042198036,-0.5702165346152841,1.1408817614654811,0.5870508461626667,0.5360468604553487,0.2979348795025808,-0.47376374355447415,0.582369888248541,-0.5890781297058666,0.23658141800240837,-1.4579307828259331,3.2510095376775974,0.7362426712208895,-0.34972922073328744,-0.564087957832143,-0.6709859508858728,0.310268801691928,-0.2610806555105464,0.33252603674642417,1.156598647963136,-0.7454458476328705,0.691534566612878,0.10419382582667239,-0.04233178799000722,,1.1066051415828522,-1.214266755421164,-0.5793848152661141,-0.661322653471758,0.16366148650778595,-0.8108816369762537,,0.5390242399096321,-0.18506828948778312,1.4486647056921282,-0.8232019554677062,1.3566934787048726,0.7146588831011303,-0.25089624726208387,1.1275357007589648,-0.19983505685538183,0.09803723332071362,3,14.0,Galactose,REL01
SM_MPTA_112023_52_L-alanine-T10_M9_25,-1.2113216254855417,-0.7288649515053096,-0.3548340100427561,-0.9828923423140168,-1.2432424308111156,1.6025544608897968,-0.2021186894730196,-0.4630243136221154,-0.27630167561104896,-1.0383421096927217,-0.5201874766456933,-0.7021172615043207,,-0.4004712859554261,-0.6587191980977795,-0.4370835399585252,-0.4995726744370075,-1.1054168641281463,-0.08828217335578906,1.6959680474182715,-1.71793333335662,-0.8405391423645023,-0.9422274172961771,-0.34350118606958147,-0.49990982799922073,-0.7784215183657059,,-0.4098239206284097,-0.0059541203315446375,-1.059693679701428,-1.2380245492898092,-1.0903005608542988,-0.8473350281860297,,1.0476186761448425,-0.5114562752864885,-1.20497423127257,,0.058222305459502376,-0.6975474658975857,-0.9812005847105946,,0.4355739454038507,-0.2588992540284139,-0.7933998270365755,-0.4331098184244679,-0.04250707226758618,1.4736932401479947,0.12760468639695347,-0.3966767873700619,-0.38079754850375663,0.9220765025179811,-0.38265910965622785,-0.24908099081430005,-0.7525134989994935,0.4832007242282582,-0.3521647179038928,-0.4054499034259845,0.3484448613978035,-0.7508680459358402,-0.7846979302905905,-0.8523746875310438,-0.12068340572523668,1.193139933747474,-0.03967568746683242,-0.5889133427732544,-0.7650475882684808,0.05139199138288282,-1.0132638603355224,,1.2061374759714696,-0.6213107290427863,-1.0949596801734063,-0.8117995530655099,0.06578366095737061,0.7366872978674147,,-0.7308261467652144,-1.0026336289618376,,1.1220530900270043,-0.5710230787572682,0.9140486253249359,,-0.70728654929672,-0.6405901570885106,0.0786051902329316,0.14779075728017538,-0.5925273301919217,-0.531220210131334,-0.5226706470064142,-0.6925957147290127,-0.5943683156281107,,-0.2507652016815185,-0.6965527282184413,-1.0998203937536932,-0.9485027354568167,-1.0647260378816519,-1.0284046144593049,-0.8020784988970857,-0.8819805818340269,-0.9609833026155779,-0.6512646285724887,,-1.1800161937159597,,0.04216506525167904,-0.9922576684133069,-0.9047354493633532,,0.3264463365807703,-0.7936886410877028,-1.1822681538381674,,,-1.3971278180994908,-1.6798056636361036,-0.7974334780669226,-1.4225063837343888,-0.8013193017017635,-0.9402280565540108,1,10.0,L-alanine,REL07
SM_MPTA_112023_32_L-malate-T6_M6_14,0.15482954143656721,-0.7056337426120683,-0.35598558899693894,-1.4689035054646165,,-0.6881043463867548,,0.15515169932300002,-0.5685378287305085,,2.110670848683116,-1.2067885891000008,,2.090835407140736,-1.0006706946973254,-0.4828079581074481,-0.582228438773909,-0.8723912939342966,-0.521585503671744,-0.22844254346151674,-1.3937079197046656,0.0111008259668272,-0.9098204812812332,-0.3453896318693304,,-0.12413442105848994,,-0.4152946361159262,-0.6458465272609354,0.07131051792773062,0.6900806293848177,-1.0284729597586728,1.4040052659816475,0.4427741177107276,0.9450005081957428,,-1.3629135414356837,,-0.4751910389162244,-0.7248948311965416,-0.6296843166087718,-0.6920266024525901,-0.02303030413623518,-0.31635761891037023,0.5666396940743555,,-0.7567522914892096,-0.4268863893680498,-0.10682435485284487,-0.6113034398287313,-0.38415438206147856,1.79582178068539,1.223141806855725,-0.40541274633577956,-0.7838258404467752,-0.6317523080324896,,,,-0.8011506063673318,0.1361014908079321,-0.8691461770246761,-0.41120175587216756,,-0.811739791645821,-0.7778556572633498,-0.9711692705226237,-0.4723265256574569,-0.9665596032806862,,-0.9559906643264114,-0.8716540307967208,,-0.9471203485782287,-1.35759684675851,1.0200367194030533,,-1.048437831811926,-1.38573624992182,-1.1421987709912111,-0.6608848161025249,-0.24424077096661367,-0.6121018407146347,,0.4913557671468669,-1.2428949823385562,-0.009039134945572146,-0.5158612286819121,1.8338521283916411,-0.8708050236084213,-0.19030512733544483,-0.7739839720783412,-1.5801796038269118,-0.9643770494808838,-0.6257974398472976,-0.36549903589844857,-0.938532130620165,-0.7899919790040689,-1.2867974873855046,-0.9922978952795812,0.15265758138064559,-0.8084351451735974,-1.170721752793254,-1.1253158666818956,-1.2168760316329812,-1.049223299157233,,-0.583120209953356,,-0.7224617715211602,1.4427715179464706,-0.7113973067295877,-0.756055599200419,-1.2565551653638427,,,-1.359010828555197,-1.316864123395347,-0.8669732460155612,-1.3416163189516985,,-0.6980856092969023,1,6.0,L-malate,REL05
SM_MPTA_112023_55_Galactose-T12_M1_4,,-0.7158764628504262,-0.35764003932161254,-0.5275130630840923,-1.2254072679379657,-0.5004838081476912,,-0.6374521777147955,-0.18929212616484967,,-0.5054652461203594,-0.5023804712094516,,-0.7221110100133857,-0.2804543607304882,-0.3653031709638199,-0.3004514031810763,-0.2879701033114175,-0.8940237920385028,0.3394603277058844,-0.5369584777268095,-0.19337484507632371,-0.698820103941753,,-0.24467282834338114,-0.8755763108780854,-0.3478705366285926,-0.3474965364364659,,-1.2362556030420764,1.0070020860829245,0.06925820683271044,-0.16979939626814908,-0.023693906492630725,-0.6084853888279051,,1.5536672357251897,-0.2113636243948943,-0.4868683744590141,-0.6845178762591405,-0.4378262758014736,-0.6813049881344335,-0.7928664190113736,0.33003058838358196,-0.7710110133811914,-0.6667268336900537,-0.8157542849255413,-0.49774573036869285,1.4487190340904208,-0.5865278526660382,-0.3744866078605232,-0.9941497265748589,-0.3098749465281969,-0.4991901216503742,-0.2712832161364344,-0.5705400851625734,,,,0.19148733660005746,-0.6668240956979543,0.6144876498509259,-0.34274106631499196,,-0.4701477515999152,-0.6781659691703474,-0.5239333206672129,-0.4882481259843249,-0.7130149576940504,-0.6753817584779448,,-0.5930172275928892,-0.7314128423214641,-0.6691323612028836,0.6115023194234912,-1.2534568829104602,1.8963676292659164,-0.04082578585198522,1.6357202459619118,2.096323205091877,-0.6724663138057282,-0.08443549299396093,-0.5468199856191855,0.5729746592224133,0.16094182512925115,-0.3326161057556095,-0.2969629385098088,-0.34086824287487344,-0.5617373003411379,-0.6562786411212849,-0.3180395519668187,-0.35990289805082076,-0.7997821194474934,-0.5387952233470117,-0.6621814952240402,-0.7901440120069765,-0.5167717491382974,-0.5455537342943095,-0.2045087747615931,0.3682356791898674,,-0.2713034150201443,-0.6394062853844756,-0.3600198711121958,,0.32603357042786135,-0.4784913130724369,,-0.7995611213001567,-0.5022254404444638,-0.8440640941775033,,0.3124403535508076,-0.8132811671889362,0.42721234830769755,-0.07945659676725604,1.4269383653746295,0.052608726794200526,-0.32624662062828225,0.9737972942381203,-0.6308071997697047,-0.5522179521848845,2,12.0,Galactose,REL01
