,#,Carbon source,Bioreactor,REL,Hours,Sample ID,Galactose concentration [mM],Integrated biomass
0,1,Galactose,1,,0,REL-F-U37-23 #1: Galactose-T0 M1,23.412566400000003,0.0
1,2,Galactose,2,,0,REL-F-U37-23 #2: Galactose-T0 M2,22.464595200000005,0.0
2,3,Galactose,3,,0,REL-F-U37-23 #3: Galactose-T0 M3,22.9486656,0.0
3,10,Galactose,1,REL01,2,REL-F-U37-23 #10: Galactose-T2 M1,21.388883200000002,0.0469
4,11,Galactose,2,REL02,2,REL-F-U37-23 #11: Galactose-T2 M2,24.757206400000005,0.0469
5,12,Galactose,3,REL03,2,REL-F-U37-23 #12: Galactose-T2 M3,24.562233600000003,0.02975
6,19,Galactose,1,REL01,4,REL-F-U37-23 #19: Galactose-T4 M1,24.5824032,0.1339333333333333
7,20,Galactose,2,REL02,4,REL-F-U37-23 #20: Galactose-T4 M2,23.768896,0.1339333333333333
8,21,Galactose,3,REL03,4,REL-F-U37-23 #21: Galactose-T4 M3,21.422499200000004,0.0968333333333333
9,28,Galactose,1,REL01,6,REL-F-U37-23 #28: Galactose-T6 M1,23.0495136,0.2984333333333333
10,29,Galactose,2,REL02,6,REL-F-U37-23 #29: Galactose-T6 M2,21.314928000000002,0.3013499999999999
11,30,Galactose,3,REL03,6,REL-F-U37-23 #30: Galactose-T6 M3,19.109718400000002,0.2070833333333333
12,37,Galactose,1,REL01,8,REL-F-U37-23 #37: Galactose-T8 M1,20.407296000000002,0.5982666666666666
13,38,Galactose,2,REL02,8,REL-F-U37-23 #38: Galactose-T8 M2,21.214080000000003,0.6075999999999999
14,39,Galactose,3,REL03,8,REL-F-U37-23 #39: Galactose-T8 M3,19.519833600000002,0.4164999999999999
15,46,Galactose,1,REL01,10,REL-F-U37-23 #46: Galactose-T10 M1,17.4356416,1.18335
16,47,Galactose,2,REL02,10,REL-F-U37-23 #47: Galactose-T10 M2,15.882582400000002,1.1629333333333332
17,48,Galactose,3,REL03,10,REL-F-U37-23 #48: Galactose-T10 M3,18.491184,0.8044166666666666
18,130,Galactose,1,REL01,11,REL-F-U37-23 #130: Galactose-T11 M1,15.9968768,1.6482666666666663
19,131,Galactose,2,REL02,11,REL-F-U37-23 #131: Galactose-T11 M2,15.6069312,1.57885
20,132,Galactose,3,REL03,11,REL-F-U37-23 #132: Galactose-T11 M3,19.708083200000004,1.0465
21,55,Galactose,1,REL01,12,REL-F-U37-23 #55: Galactose-T12 M1,13.630310399999999,2.1467249999999996
22,56,Galactose,2,REL02,12,REL-F-U37-23 #56: Galactose-T12 M2,15.546422399999999,2.078183333333333
23,57,Galactose,3,REL03,12,REL-F-U37-23 #57: Galactose-T12 M3,15.9161984,1.3512916666666666
24,139,Galactose,1,REL01,13,REL-F-U37-23 #139: Galactose-T13 M1,9.457556319999998,2.8090999999999995
25,140,Galactose,2,REL02,13,REL-F-U37-23 #140: Galactose-T13 M2,9.886496479999998,2.707016666666666
26,141,Galactose,3,REL03,13,REL-F-U37-23 #141: Galactose-T13 M3,11.922617599999999,1.7177999999999998
27,64,Galactose,1,REL01,14,REL-F-U37-23 #64: Galactose-T14 M1,3.8188084800000004,3.6893499999999992
28,65,Galactose,2,REL02,14,REL-F-U37-23 #65: Galactose-T14 M2,,3.512016666666666
29,66,Galactose,3,REL03,14,REL-F-U37-23 #66: Galactose-T14 M3,11.12961615,2.1743166666666665
30,73,Galactose,1,REL01,16,REL-F-U37-23 #73: Galactose-T16 M1,0.03600000000000002,5.847799999999999
31,74,Galactose,2,REL02,16,REL-F-U37-23 #74: Galactose-T16 M2,0.06,5.749129166666666
32,75,Galactose,3,REL03,16,REL-F-U37-23 #75: Galactose-T16 M3,6.60086864,3.3914999999999997
33,82,Galactose,1,REL01,18,REL-F-U37-23 #82: Galactose-T18 M1,0.07163296,7.866599999999999
34,83,Galactose,2,REL02,18,REL-F-U37-23 #83: Galactose-T18 M2,0.12541855999999987,8.3019125
35,84,Galactose,3,REL03,18,REL-F-U37-23 #84: Galactose-T18 M3,0.8185804799999996,5.162383333333333
36,91,Galactose,1,REL01,20,REL-F-U37-23 #91: Galactose-T20 M1,0.5604095999999992,10.037533333333332
37,92,Galactose,2,REL02,20,REL-F-U37-23 #92: Galactose-T20 M2,0.2108031999999994,10.639562499999998
38,93,Galactose,3,REL03,20,REL-F-U37-23 #93: Galactose-T20 M3,0.13684800000000008,7.449633333333332
39,100,Galactose,1,REL01,22,REL-F-U37-23 #100: Galactose-T22 M1,0.31837439999999967,12.478783333333332
40,101,Galactose,2,REL02,22,REL-F-U37-23 #101: Galactose-T22 M2,0.0,13.228979166666663
41,102,Galactose,3,REL03,22,REL-F-U37-23 #102: Galactose-T22 M3,0.0,10.056549999999998
42,109,Galactose,1,REL01,26,REL-F-U37-23 #109: Galactose-T26 M1,0.23769600000000018,16.348033333333333
43,110,Galactose,2,REL02,26,REL-F-U37-23 #110: Galactose-T26 M2,0.0,18.2310625
44,111,Galactose,3,REL03,26,REL-F-U37-23 #111: Galactose-T26 M3,0.13012480000000082,15.062133333333332
