,M,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h]
0,M1,Acetate,Galactose,0.1062160070397591,0.041288024669309094
1,M1,Propionate,Galactose,0.011163125747070783,inf
4,M1,Formate,Galactose,0.23021265826179996,0.09937876924740556
5,M2,Acetate,Galactose,0.04565039665692172,0.03458937913052341
8,M2,Formate,Galactose,0.15953032004964485,0.06689509828718207
9,M3,Acetate,Galactose,0.4144851530017146,0.17724998823554425
12,M3,Formate,Galactose,0.6107342989381452,0.1287343537561443
13,M11,Acetate,L-alanine,2.5593899049391906,1.0971737343062782
14,M11,Propionate,L-alanine,0.12147541394919886,0.0432891395446838
17,M11,Formate,L-alanine,0.04478972375539022,0.017727414555207023
18,M10,Acetate,L-alanine,2.649972553796234,1.3101916055852771
19,M10,Propionate,L-alanine,0.09793344516517856,0.016185360643070485
22,M9,Acetate,L-alanine,2.507911048088005,1.0181357582798276
23,M9,Propionate,L-alanine,0.12489733117355593,0.03206979108060179
25,M9,Formate,L-alanine,0.08618822296308434,0.009261197135451992
26,M7,Acetate,L-malate,1.25335849510552,0.24937284357255557
27,M7,Propionate,L-malate,0.10015629027488299,0.011124290994943208
30,M7,Formate,L-malate,0.2958336968633546,inf
31,M6,Acetate,L-malate,0.14380621928421977,0.03932685534380319
32,M6,Propionate,L-malate,0.06200364666267461,inf
35,M6,Formate,L-malate,0.1505385166096574,0.09817249042420678
36,M5,Acetate,L-malate,0.9918480058179265,0.06870701929784716
37,M5,Propionate,L-malate,0.10630204904201879,0.01362958030805094
40,M5,Formate,L-malate,0.013821547140698807,inf
