,Sample_id,Carbon source,Bioreactor,Hours,Timepoint,Acetate,Propanoate,Formate,Pyruvate
0,Sample_28,Galactose,REL01,6.0,1.0,9.684814832768353,,,
2,Sample_55,Galactose,REL01,12.0,2.0,143.55581668571858,23.686757444565814,320.5612657301382,
4,Sample_65,Galactose,REL02,14.0,3.0,323.584399331742,,730.8433643169682,
6,Sample_29,Galactose,REL02,6.0,1.0,128.43846022417864,,93.4915360990318,
8,Sample_56,Galactose,REL02,12.0,2.0,75.3699959874495,,155.44447193917665,133.07974291673585
9,Sample_M9-Gal,Galactose,,0.0,0.0,127.74999155365953,,130.57690478408665,
10,Sample_66,Galactose,REL03,14.0,2.0,567.0484607678329,,1128.8348991291457,
12,Sample_39,Galactose,REL03,8.0,1.0,,,,
14,Sample_64,Galactose,REL01,14.0,3.0,490.02836451234134,10.810753712770563,1007.023164359884,138.01891169359274
15,Sample_75,Galactose,REL03,16.0,3.0,1635.2693415906006,,2275.813159900005,137.26696316239241
16,Sample_90,L-alanine,REL09,18.0,3.0,2815.566763442389,178.31909750652227,231.98788404387062,
17,Sample_89,L-alanine,REL08,18.0,3.0,2694.8451455228324,158.12435410710063,,
18,Sample_88,L-alanine,REL07,18.0,3.0,2603.326303507082,215.88485728858154,320.11893054580264,
19,Sample_81,L-alanine,REL09,16.0,2.0,3233.879040792504,165.2465904894443,178.48261188789496,137.22576050314856
20,Sample_80,L-alanine,REL08,16.0,2.0,3299.7083806073892,117.31717186338719,,133.59477615728403
21,Sample_M9_Mal,L-malate,,0.0,0.0,44.4468143938505,,20.589034776604052,
23,Sample_79,L-alanine,REL07,16.0,2.0,3489.4377227448713,175.84391189382634,243.47213679028522,
24,Sample_54,L-alanine,REL09,10.0,1.0,2039.9458335767704,17.860435035932888,,
25,Sample_53,L-alanine,REL08,10.0,1.0,2325.1169410157136,22.76092465813757,,
26,Sample_52,L-alanine,REL07,10.0,1.0,2114.665365963729,19.464833974808613,,
27,Sample_51,L-malate,REL06,10.0,3.0,1188.8907059152089,84.8462636068603,146.95548851877066,
28,Sample_M9_Ala,L-alanine,,0.0,0.0,55.7497112587601,,151.42954346475926,
30,Sample_134,L-malate,REL05,11.0,3.0,280.86517876143967,83.56458352496814,265.9023333687947,168.61703651455898
31,Sample_49,L-malate,REL04,10.0,3.0,1350.2384096820365,131.2291006068268,39.79299951938299,154.608132371649
32,Sample_129,L-malate,REL06,9.25,2.0,1143.3831412701138,61.593626775692826,235.2682760119593,151.00289968781186
33,Sample_50,L-malate,REL05,10.0,2.0,242.7571969500662,52.671369914701614,54.039254395601006,157.10604358830759
34,Sample_127,L-malate,REL04,9.25,2.0,1051.3420496553867,74.08556735567586,,150.64752675183365
35,Sample_33,L-malate,REL06,6.0,1.0,138.38939090810663,2.0589256626688055,,
36,Sample_32,L-malate,REL05,6.0,1.0,156.66981204259025,,,131.68400283485036
37,Sample_31,L-malate,REL04,6.0,1.0,184.4345248822744,7.697184350194604,,
