,Bioreactor,Hours,AUC [gDW*h/L]
0,REL01,2.0,0.0464128681666214
1,REL01,4.0,0.13646768699737952
2,REL01,6.0,0.3027227371464714
3,REL01,8.0,0.6109873092979128
4,REL01,10.0,1.206734572332159
5,REL01,11.0,1.6223721977048888
6,REL01,12.0,2.122869171591218
7,REL01,13.0,2.7809620784313736
8,REL01,14.0,3.657264738592213
9,REL01,16.0,5.664794469142499
10,REL01,18.0,7.65846961218036
11,REL01,20.0,9.909840082949314
12,REL01,22.0,12.247801725670922
13,REL01,26.0,16.279486691786403
14,REL02,2.0,0.0464128681666214
15,REL02,4.0,0.13646768699737952
16,REL02,6.0,0.30618638402457754
17,REL02,8.0,0.6179146030541249
18,REL02,10.0,1.1790253973073104
19,REL02,11.0,1.579076611728563
20,REL02,12.0,2.076109938736786
21,REL02,13.0,2.6995663767958806
22,REL02,14.0,3.5031324525164917
23,REL02,16.0,5.6883472679136196
24,REL02,18.0,8.140262892924916
25,REL02,20.0,10.585597588867811
26,REL02,22.0,13.138305338031994
27,REL02,26.0,18.001265554892935
28,REL03,2.0,0.0294409984639016
29,REL03,4.0,0.095250289147917
30,REL03,6.0,0.2060869892473115
31,REL03,8.0,0.4312240363242068
32,REL03,10.0,0.8122251929158759
33,REL03,11.0,1.063339591578567
34,REL03,12.0,1.3646768699737963
35,REL03,13.0,1.7342479918677152
36,REL03,14.0,2.1848684507093163
37,REL03,16.0,3.4179267393150816
38,REL03,18.0,5.171224789012381
39,REL03,20.0,7.426058906659442
40,REL03,22.0,9.97530300894552
41,REL03,26.0,14.810554050781612
42,REL04,2.0,0.0380115666940186
43,REL04,4.0,0.1106807383149366
44,REL04,6.0,0.25881404969603883
45,REL04,8.0,0.6025951308257667
46,REL04,9.25,1.034068337324968
47,REL04,10.0,1.4313031841181596
48,REL04,11.0,2.1216603145168813
49,REL04,12.0,2.865121839561659
50,REL04,13.0,3.5596714221692802
51,REL04,14.0,4.24443861628947
52,REL04,16.0,5.648351112642822
53,REL04,18.0,6.985184373653789
54,REL04,20.0,8.363103666311966
55,REL04,22.0,9.816487098730327
56,REL04,26.0,12.471706831033103
57,REL05,2.0,0.031024146345853397
58,REL05,4.0,0.0813335728526427
59,REL05,6.0,0.1847473940054876
60,REL05,8.0,0.41393478142530615
61,REL05,9.25,0.703912725874162
62,REL05,10.0,0.9785183455570544
63,REL05,11.0,1.4913949991123803
64,REL05,12.0,2.120262830447248
65,REL05,13.0,2.7850460023716854
66,REL05,14.0,3.4805738238280495
67,REL05,16.0,4.868834498601512
68,REL05,18.0,6.159271288500661
69,REL05,20.0,7.467316377677187
70,REL05,22.0,8.864800447310227
71,REL05,26.0,11.48648056194181
72,REL06,2.0,0.0304651527180002
73,REL06,4.0,0.0919544517818539
74,REL06,6.0,0.2093431136310292
75,REL06,8.0,0.449710373607912
76,REL06,9.25,0.7606505791012634
77,REL06,10.0,1.0771807208731472
78,REL06,11.0,1.6683164823279233
79,REL06,12.0,2.385225810049673
80,REL06,13.0,3.11597023006079
81,REL06,14.0,3.8774592996038333
82,REL06,16.0,5.437051521314306
83,REL06,18.0,6.806585909554686
84,REL06,20.0,8.114630998731212
85,REL06,22.0,9.528884877199848
86,REL06,26.0,12.262363717402074
87,REL07,2.0,0.024889906140111398
88,REL07,4.0,0.0634099989759981
89,REL07,6.0,0.1197085961976787
90,REL07,8.0,0.19971186593375118
91,REL07,10.0,0.3182352285057104
92,REL07,11.0,0.39675695620963336
93,REL07,12.0,0.4900941042350513
94,REL07,14.0,0.7760317164399031
95,REL07,16.0,1.224938952181199
96,REL07,18.0,1.9627468841916458
97,REL07,20.0,3.136128173654043
98,REL07,22.0,4.508036095424472
99,REL07,26.0,7.07406689510739
100,REL07,28.0,8.368934631206045
101,REL08,2.0,0.0254825229529712
102,REL08,4.0,0.0640026157888579
103,REL08,6.0,0.1232642970748374
104,REL08,8.0,0.2062306508752088
105,REL08,10.0,0.32179092938286913
106,REL08,11.0,0.39883111505464264
107,REL08,12.0,0.490686721047911
108,REL08,14.0,0.7238814369082409
109,REL08,16.0,1.099304187854922
110,REL08,18.0,1.7185887572934093
111,REL08,20.0,2.835671449534126
112,REL08,22.0,4.314250397619318
113,REL08,26.0,7.13510642683195
114,REL08,28.0,8.53368210518107
115,REL09,2.0,0.0204452800436629
116,REL09,4.0,0.0560022888152506
117,REL09,6.0,0.10933780197263221
118,REL09,8.0,0.18637798764440572
119,REL09,10.0,0.296012098023468
120,REL09,11.0,0.371570741663092
121,REL09,12.0,0.4619448056242109
122,REL09,14.0,0.7229925116889512
123,REL09,16.0,1.1067118980156694
124,REL09,18.0,1.7064401126297835
125,REL09,20.0,2.67833168571985
126,REL09,22.0,3.9376424130469174
127,REL09,26.0,6.479968540215444
128,REL09,28.0,7.7955778647641925
