,Sample ID,#,Acetate,Propanoate,Pyruvate,Lactate,Formate,Carbon source,Bioreactor,Hours
0,Sample_28,28,9.684814832768353,,,18.961436744792316,,Galactose,M1,6.0
2,Sample_55,55,143.55581668571858,23.686757444565814,,161.14967189328885,320.5612657301382,Galactose,M1,12.0
4,Sample_65,65,323.584399331742,,,77.75665503275577,730.8433643169682,Galactose,M2,14.0
6,Sample_29,29,128.43846022417864,,,60.977455220554674,93.4915360990318,Galactose,M2,6.0
8,Sample_56,56,75.3699959874495,,133.07974291673585,11.256501221897118,155.44447193917665,Galactose,M2,12.0
9,Sample_M9-Gal,M9-Gal,127.74999155365953,,,10.082279430046903,130.57690478408665,,,
10,Sample_66,66,567.0484607678329,,,41.91246085318175,1128.8348991291457,Galactose,M3,14.0
12,Sample_39,39,,,,6.92208343384026,,Galactose,M3,8.0
14,Sample_64,64,490.02836451234134,10.810753712770563,138.01891169359274,24.599849312365762,1007.023164359884,Galactose,M1,14.0
15,Sample_75,75,1635.2693415906006,,137.26696316239241,67.87869320604021,2275.813159900005,Galactose,M3,16.0
16,Sample_90,90,2815.566763442389,178.31909750652227,,121.78191735204231,231.98788404387062,L-alanine,M11,18.0
17,Sample_89,89,2694.8451455228324,158.12435410710063,,112.25300011284321,,L-alanine,M10,18.0
18,Sample_88,88,2603.326303507082,215.88485728858154,,15.517530147963335,320.11893054580264,L-alanine,M9,18.0
19,Sample_81,81,3233.879040792504,165.2465904894443,137.22576050314856,19.682795558992986,178.48261188789496,L-alanine,M11,16.0
20,Sample_80,80,3299.7083806073892,117.31717186338719,133.59477615728403,89.88461196976971,,L-alanine,M10,16.0
21,Sample_M9_Mal,Mal,44.4468143938505,,,40.4813780443643,20.589034776604052,,,
23,Sample_79,79,3489.4377227448713,175.84391189382634,,111.76612766256385,243.47213679028522,L-alanine,M9,16.0
24,Sample_54,54,2039.9458335767704,17.860435035932888,,12.928335297488736,,L-alanine,M11,10.0
25,Sample_53,53,2325.1169410157136,22.76092465813757,,55.74089142168607,,L-alanine,M10,10.0
26,Sample_52,52,2114.665365963729,19.464833974808613,,62.18747645727838,,L-alanine,M9,10.0
27,Sample_51,51,1188.8907059152089,84.8462636068603,,57.5603982073808,146.95548851877066,L-malate,M7,10.0
28,Sample_M9_Ala,Ala,55.7497112587601,,,106.06417108033997,151.42954346475926,,,
30,Sample_134,134,280.86517876143967,83.56458352496814,168.61703651455898,98.69575033925551,265.9023333687947,L-malate,M6,11.0
31,Sample_49,49,1350.2384096820365,131.2291006068268,154.608132371649,37.342661715081746,39.79299951938299,L-malate,M5,10.0
32,Sample_129,129,1143.3831412701138,61.593626775692826,151.00289968781186,99.95320584043657,235.2682760119593,L-malate,M7,9.25
33,Sample_50,50,242.7571969500662,52.671369914701614,157.10604358830759,21.49782741407853,54.039254395601006,L-malate,M6,10.0
34,Sample_127,127,1051.3420496553867,74.08556735567586,150.64752675183365,42.54969097192973,,L-malate,M5,9.25
35,Sample_33,33,138.38939090810663,2.0589256626688055,,129.45642334679508,,L-malate,M7,6.0
36,Sample_32,32,156.66981204259025,,131.68400283485036,100.8428220455426,,L-malate,M6,6.0
37,Sample_31,31,184.4345248822744,7.697184350194604,,102.58536002475934,,L-malate,M5,6.0
