,M,Hours,Measured gDW [mg],Culture volume [mL],Dry weight [gDW/mL],OD,gDW/OD,Bioreactor,Carbon source
0,M1,13,35.89999999999998,50,0.7179999999999996,2.17,0.3308755760368662,REL01,Galactose
1,M3,13,36.200000000000045,50,0.7240000000000009,2.0,0.36200000000000043,REL02,Galactose
2,M4,13,20.600000000000023,50,0.4120000000000004,1.19,0.34621848739495836,REL03,Galactose
3,M5,14,37.19999999999993,50,0.7439999999999987,2.5,0.2975999999999995,REL04,L-malate
4,M6,14,35.5,50,0.71,2.57,0.27626459143968873,REL05,L-malate
5,M7,14,38.89999999999998,50,0.7779999999999996,2.94,0.2646258503401359,REL06,L-malate
6,M9,22,32.19999999999982,50,0.6439999999999964,2.27,0.28370044052863275,REL07,L-alanine
7,M10,22,37.59999999999991,50,0.7519999999999982,2.5,0.3007999999999993,REL08,L-alanine
8,M11,22,34.40000000000009,50,0.6880000000000018,2.26,0.3044247787610628,REL09,L-alanine
9,M1,26,91.80000000000018,100,0.9180000000000019,3.1,0.29612903225806514,REL01,Galactose
10,M3,26,104.59999999999991,100,1.0459999999999992,3.72,0.2811827956989245,REL02,Galactose
11,M4,26,102.19999999999982,100,1.0219999999999982,3.76,0.2718085106382974,REL03,Galactose
12,M5,26,70.19999999999982,100,0.7019999999999982,2.53,0.2774703557312246,REL04,L-malate
13,M6,26,66.6899999999996,100,0.6668999999999959,2.54,0.2625590551181086,REL05,L-malate
14,M7,26,88.19999999999982,100,0.8819999999999982,2.64,0.3340909090909084,REL06,L-malate
15,M9,28,64.89999999999964,100,0.6489999999999964,2.31,0.28095238095237934,REL07,L-alanine
16,M10,28,75.0,100,0.75,2.46,0.3048780487804878,REL08,L-alanine
17,M11,28,67.39999999999964,100,0.6739999999999964,2.41,0.2796680497925296,REL09,L-alanine
18,M1,18,53.5,50,1.07,2.85,0.37543859649122807,REL01,Galactose
19,M3,18,53.700000000000045,50,1.074000000000001,3.41,0.31495601173020554,REL02,Galactose
20,M4,18,56.0,50,1.12,2.91,0.3848797250859107,REL03,Galactose
