,Hours,Bioreactor,OD,Carbon source,Biomass [gDW/L]
0,0.0,REL01,0.044,Galactose,0.015240046263666764
1,2.0,REL01,0.09,Galactose,0.031172821902954746
2,4.0,REL01,0.17,Galactose,0.058881996927803416
3,6.0,REL01,0.31,Galactose,0.10737305322128858
4,8.0,REL01,0.58,Galactose,0.2008915189301528
6,10.0,REL01,1.14,Galactose,0.3948557441040934
7,11.0,REL01,1.26,Galactose,0.4364195066413665
8,12.0,REL01,1.63,Galactose,0.5645744411312915
9,13.0,REL01,2.17,Galactose,0.75161137254902
10,14.0,REL01,2.89,Galactose,1.0009939477726582
11,16.0,REL01,2.906,Galactose,1.0065357827776278
12,18.0,REL01,2.85,Galactose,0.9871393602602337
13,20.0,REL01,3.65,Galactose,1.2642311105087203
14,22.0,REL01,3.1,Galactose,1.0737305322128858
15,26.0,REL01,2.72,Galactose,0.9421119508448547
17,0.0,REL02,0.044,Galactose,0.015240046263666764
18,2.0,REL02,0.09,Galactose,0.031172821902954746
19,4.0,REL02,0.17,Galactose,0.058881996927803416
20,6.0,REL02,0.32,Galactose,0.11083670009939466
21,8.0,REL02,0.58,Galactose,0.2008915189301528
23,10.0,REL02,1.04,Galactose,0.36021927532303266
24,11.0,REL02,1.27,Galactose,0.43988315351947255
25,12.0,REL02,1.6,Galactose,0.5541835004969733
26,13.0,REL02,2,Galactose,0.6927293756212166
27,14.0,REL02,2.64,Galactose,0.914402775820006
28,16.0,REL02,3.669,Galactose,1.2708120395771219
29,18.0,REL02,3.41,Galactose,1.1811035854341745
30,20.0,REL02,3.65,Galactose,1.2642311105087203
31,22.0,REL02,3.72,Galactose,1.288476638655463
32,26.0,REL02,3.3,Galactose,1.1430034697750073
34,0.0,REL03,0.015,Galactose,0.005195470317159124
35,2.0,REL03,0.07,Galactose,0.024245528146742582
36,4.0,REL03,0.12,Galactose,0.041563762537272994
37,6.0,REL03,0.2,Galactose,0.06927293756212166
38,8.0,REL03,0.45,Galactose,0.15586410951477375
40,10.0,REL03,0.65,Galactose,0.2251370470768954
41,11.0,REL03,0.8,Galactose,0.27709175024848665
42,12.0,REL03,0.94,Galactose,0.3255828065419718
43,13.0,REL03,1.194,Galactose,0.4135594372458663
44,14.0,REL03,1.408,Galactose,0.48768148043733645
45,16.0,REL03,2.152,Galactose,0.7453768081684291
46,18.0,REL03,2.91,Galactose,1.0079212415288703
47,20.0,REL03,3.6,Galactose,1.24691287611819
48,22.0,REL03,3.76,Galactose,1.3023312261678872
49,26.0,REL03,3.22,Galactose,1.1152942947501587
51,0.0,REL04,0.046,L-malate,0.012856853440623971
52,2.0,REL04,0.09,L-malate,0.025154713253394727
53,4.0,REL04,0.17,L-malate,0.047514458367523375
54,6.0,REL04,0.36,L-malate,0.10061885301357891
55,8.0,REL04,0.87,L-malate,0.24316222811614902
56,9.25,REL04,1.6,L-malate,0.44719490228257297
57,10.0,REL04,2.19,L-malate,0.6120980224992717
58,11.0,REL04,2.75,L-malate,0.7686162382981723
59,12.0,REL04,2.57,L-malate,0.7183068117913827
60,13.0,REL04,2.4,L-malate,0.6707923534238593
61,14.0,REL04,2.5,L-malate,0.6987420348165202
62,16.0,REL04,2.523,L-malate,0.7051704615368323
63,18.0,REL04,2.26,L-malate,0.6316627994741342
64,20.0,REL04,2.67,L-malate,0.7462564931840435
65,22.0,REL04,2.53,L-malate,0.7071269392343184
66,26.0,REL04,2.22,L-malate,0.62048292691707
68,0.0,REL05,0.041,L-malate,0.011459369370990931
