,Carbon source,Metabolite,Slope,Intercept,r,p-value,Std. Err,N,T3_pval,Fitted on,Comment,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Rate [1/gDW/h],Std. Err [1/gDW/h]
0,Galactose,"1,3-diaminopropane",0.08120201735604286,-0.6980651569137202,0.21398666713532544,0.5042471906299105,0.11722008155210652,12,0.2653888597825581,Z-score,,,,0.08120201735604286,0.11722008155210652
1,L-malate,"1,3-diaminopropane",0.25357287539438816,-0.1573118382182544,0.18403190694526608,0.5669467894566073,0.42828016402154645,12,0.7680311846083003,Z-score,,,,0.25357287539438816,0.42828016402154645
2,L-alanine,"1,3-diaminopropane",0.11369605853636343,0.38919581034214035,0.11376857939050872,0.7247984684011488,0.313974318838008,12,0.8351415651202019,Z-score,,,,0.11369605853636343,0.313974318838008
3,Galactose,"2,5-dihydroxybenzoate",0.25660635108228763,-1.2128360311930906,0.9232893770775655,0.0003816707119833333,0.040348799105246594,9,0.9437666044921235,Z-score,,,,0.25660635108228763,0.040348799105246594
4,L-malate,"2,5-dihydroxybenzoate",2.072629321709802,-1.2643140995479176,0.9786621360144161,4.57637091042492e-06,0.16447546567254379,9,0.9049049923391279,Z-score,,,,2.072629321709802,0.16447546567254379
5,L-alanine,"2,5-dihydroxybenzoate",0.5529987187471733,-0.9777322985875117,0.9028791352222404,0.0008538750185271281,0.09951931099289842,9,0.8764201189796994,Z-score,,,,0.5529987187471733,0.09951931099289842
6,Galactose,2-aminoisobutyrate,,,,,,0,,,Not sufficient data,,,,
7,L-malate,2-aminoisobutyrate,,,,,,1,,,Not sufficient data,,,,
8,L-alanine,2-aminoisobutyrate,1.3568405274499105,-0.8230006532559023,0.9926365518665397,1.6839120077248898e-10,0.05235922457636786,12,0.9992974144455935,Z-score,,,,1.3568405274499105,0.05235922457636786
9,Galactose,2-hydroxybutyrate,0.6162029282228361,-1.101829483244126,0.7822701225120121,0.007489079482948148,0.1734873440353243,10,0.9100920189667142,Z-score,,,,0.6162029282228361,0.1734873440353243
10,L-malate,2-hydroxybutyrate,0.42250410500506447,-0.7328068395385579,0.6512520659462608,0.04137322190233277,0.17406014226162173,10,0.7483567747780085,Z-score,,,,0.42250410500506447,0.17406014226162173
11,L-alanine,2-hydroxybutyrate,0.28285557626012164,0.7907024026615129,0.21008735604169773,0.5874441409880475,0.49752361997758987,9,0.19014111043795476,Z-score,,,,0.28285557626012164,0.49752361997758987
12,Galactose,2-hydroxyglutaric acid,0.09304610884600652,-0.8778282258973427,0.6480428067429386,0.08224962657162671,0.0446424543435421,8,0.48654618270439165,Z-score,,,,0.09304610884600652,0.0446424543435421
13,L-malate,2-hydroxyglutaric acid,1.2483496331219468,-1.1617103721303828,0.986237771987039,2.4150938720186434e-08,0.06975789138247765,11,0.9976488270434526,Z-score,,,,1.2483496331219468,0.06975789138247765
14,L-alanine,2-hydroxyglutaric acid,0.905100386742105,-0.9689056693135171,0.9518445863687603,7.696351280480491e-05,0.11018611285253145,9,0.9553476315591239,Z-score,,,,0.905100386742105,0.11018611285253145
15,Galactose,3-(4-hydroxyphenyl)pyruvate,0.5268288949495028,-1.4646375613053157,0.9314332913454265,0.0002597893980388468,0.07779744210772466,9,0.9703120537926865,Z-score,,,,0.5268288949495028,0.07779744210772466
16,L-malate,3-(4-hydroxyphenyl)pyruvate,1.7059039576075605,-0.98570080378051,0.9444442282025091,0.00012600720387159506,0.22438384101712228,9,0.8585653520298271,Z-score,,,,1.7059039576075605,0.22438384101712228
17,L-alanine,3-(4-hydroxyphenyl)pyruvate,0.4537479689285096,-1.1081542231721262,0.8196964160886656,0.00683695863756398,0.1198434457265386,9,0.8536073047191256,Z-score,,,,0.4537479689285096,0.1198434457265386
18,Galactose,3-hydroxyanthranilate,0.3518160013685148,-1.4316797314106666,0.9795128783827283,3.972264404480186e-06,0.02733858650883046,9,0.9928551525318667,Z-score,,,,0.3518160013685148,0.02733858650883046
19,L-malate,3-hydroxyanthranilate,1.4722705759136283,-1.5122659764126165,0.9815813826929963,2.742419835507015e-06,0.10830456659109983,9,0.9560713667316292,Z-score,,,,1.4722705759136283,0.10830456659109983
20,L-alanine,3-hydroxyanthranilate,1.2837927262508995,-1.3478242467551698,0.7916154711389187,0.011018931020300859,0.3745301250358933,9,0.8603448906129336,Z-score,,,,1.2837927262508995,0.3745301250358933
21,Galactose,3-hydroxybutyrate,0.3510549177501327,-1.1348135510608486,0.9792040909528608,4.1845250386136685e-06,0.027490780274051798,9,0.9956566731445563,Z-score,,,,0.3510549177501327,0.027490780274051798
22,L-malate,3-hydroxybutyrate,0.42014405141749994,-1.1929343003826447,0.9939939434156694,5.496184944436756e-08,0.017483246787676418,9,0.9857401480021158,Z-score,,,,0.42014405141749994,0.017483246787676418
23,L-alanine,3-hydroxybutyrate,1.4678938668030939,-1.0825019782883076,0.9834659385113806,1.8830571786962584e-06,0.10216178217224968,9,0.9973292283868683,Z-score,,,,1.4678938668030939,0.10216178217224968
24,Galactose,3-hydroxyglutaric acid,0.19060060658015546,-1.002045042242314,0.7482584903486705,0.020394645951428536,0.06387101888574687,9,0.893870472143651,Z-score,,,,0.19060060658015546,0.06387101888574687
25,L-malate,3-hydroxyglutaric acid,0.3617026576105554,-0.9435338840244845,0.9422250777800053,4.5446767637824066e-05,0.045464404884044074,10,0.8394999314411433,Z-score,,,,0.3617026576105554,0.045464404884044074
26,L-alanine,3-hydroxyglutaric acid,1.494496569568529,-0.918491449078055,0.9764200531953064,6.477962588498783e-06,0.12488786714067991,9,0.9964174754094249,Z-score,,,,1.494496569568529,0.12488786714067991
27,Galactose,3-hydroxyphenylacetate,0.5006047273719464,-1.2068088297739963,0.9639015301779702,2.840576702104577e-05,0.05226578859772556,9,0.9852614320498781,Z-score,,,,0.5006047273719464,0.05226578859772556
28,L-malate,3-hydroxyphenylacetate,0.6496868077137883,-1.355497358200355,0.9895574223170915,7.007175682856208e-09,0.03154451753204848,11,0.9990574568740125,Z-score,,,,0.6496868077137883,0.03154451753204848
29,L-alanine,3-hydroxyphenylacetate,1.5168191271389893,-0.9369327584686266,0.9873018706003214,7.503301280974395e-07,0.09224367808596916,9,0.9962933600431751,Z-score,,,,1.5168191271389893,0.09224367808596916
30,Galactose,4-acetamidobutanoate,0.07125742942908266,-0.8098836772506874,0.9727737414815238,1.067683941901924e-05,0.006416554888438619,9,0.9966413989699957,Z-score,,,,0.07125742942908266,0.006416554888438619
31,L-malate,4-acetamidobutanoate,0.46068456390087054,-0.8416269962736138,0.9202581877259652,0.00043579196974205444,0.07404023935416006,9,0.939416381638222,Z-score,,,,0.46068456390087054,0.07404023935416006
32,L-alanine,4-acetamidobutanoate,1.389784842516684,-1.0300372903568247,0.9872800254114696,7.548416454078609e-07,0.08459230439991976,9,0.9992388747685513,Z-score,,,,1.389784842516684,0.08459230439991976
33,Galactose,4-imidazoleacetate,0.0888074200554808,-0.46513153069697305,0.3727545869529742,0.2327355072856505,0.06991034671221637,12,0.8443592891318026,Z-score,,,,0.0888074200554808,0.06991034671221637
34,L-malate,4-imidazoleacetate,0.3604338415606514,-0.3566566238680887,0.3709367750178276,0.26140223651507005,0.30078784060637,11,0.17992416697427766,Z-score,,,,0.3604338415606514,0.30078784060637
35,L-alanine,4-imidazoleacetate,0.7844938953025621,-1.0896506944335147,0.6783605780167462,0.044577536888882406,0.3211494764533882,9,0.7962427777994459,Z-score,,,,0.7844938953025621,0.3211494764533882
36,Galactose,Acetate,203.72456361295642,-8.770120503363614,0.5849330138126251,0.09803785197896953,106.77087309882825,9,0.8618575857251746,Concentration [uM],,0.20372456361295643,0.10677087309882825,,
