,Carbon source,Metabolite,Slope,Intercept,r,p-value,Std. Err,N,T3_pval,Fitted on,Comment,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Rate [1/gDW/h],Std. Err [1/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],Model ID,MV min,MV max,Species,Dataset
0,Galactose,"1,3-diaminopropane",0.0808890188350897,-0.6971733722969171,0.3545466540113143,0.3491689631535741,0.0806299830648051,9,0.2653888597825581,Z-score,,,,0.0808890188350897,0.0806299830648051,,,,,,,,E. coli,SINTEF-23
1,L-malate,"1,3-diaminopropane",0.2535728753943881,-0.1573118382182544,0.184031906945266,0.5669467894566073,0.4282801640215464,12,0.7680311846083003,Z-score,,,,0.2535728753943881,0.4282801640215464,,,,,,,,E. coli,SINTEF-23
2,L-alanine,"1,3-diaminopropane",0.1136960585363634,0.3891958103421403,0.1137685793905087,0.7247984684011488,0.313974318838008,12,0.8351415651202019,Z-score,,,,0.1136960585363634,0.313974318838008,,,,,,,,E. coli,SINTEF-23
3,Galactose,"2,5-dihydroxybenzoate",0.2566063510822876,-1.2128360311930906,0.9232893770775656,0.0003816707119833,0.0403487991052465,9,0.9437666044921236,Z-score,,,,0.2566063510822876,0.0403487991052465,0.10933856805703246,7.0,153.1122,0.0,23dhb,0.08566077233637115,0.1230982359657018,E. coli,SINTEF-23
4,L-malate,"2,5-dihydroxybenzoate",2.072629321709802,-1.2643140995479176,0.978662136014416,4.57637091042492e-06,0.1644754656725437,9,0.904904992339128,Z-score,,,,2.072629321709802,0.1644754656725437,0.09506818685364182,7.0,153.1122,0.0,23dhb,0.09506818685364182,0.10328970623463274,E. coli,SINTEF-23
5,L-alanine,"2,5-dihydroxybenzoate",0.5529987187471733,-0.9777322985875117,0.9028791352222404,0.0008538750185271,0.0995193109928984,9,0.8764201189796994,Z-score,,,,0.5529987187471733,0.0995193109928984,0.1284460680452959,7.0,153.1122,0.0,23dhb,0.12844606804513492,0.1284460680452959,E. coli,SINTEF-23
6,Galactose,2-aminoisobutyrate,,,,,,0,,,Not sufficient data,,,,,,,,,,,,E. coli,SINTEF-23
7,L-malate,2-aminoisobutyrate,,,,,,1,,,Not sufficient data,,,,,,,,,,,,E. coli,SINTEF-23
8,L-alanine,2-aminoisobutyrate,1.3568405274499105,-0.8230006532559023,0.9926365518665397,1.6839120077248898e-10,0.0523592245763678,12,0.9992974144455936,Z-score,,,,1.3568405274499105,0.0523592245763678,,,,,,,,E. coli,SINTEF-23
9,Galactose,2-hydroxybutyrate,0.6162029282228361,-1.101829483244126,0.7822701225120121,0.0074890794829481,0.1734873440353243,10,0.9100920189667142,Z-score,,,,0.6162029282228361,0.1734873440353243,0.06361216005548731,4.0,103.09657999999999,0.0,ghb,0.0462925844530393,0.0734152701750368,E. coli,SINTEF-23
10,L-malate,2-hydroxybutyrate,0.4225041050050644,-0.7328068395385579,0.6512520659462608,0.0413732219023327,0.1740601422616217,10,0.7483567747780085,Z-score,,,,0.4225041050050644,0.1740601422616217,0.027576900397363602,4.0,103.09657999999999,0.0,ghb,0.027576900397363602,0.04055383042573801,E. coli,SINTEF-23
11,L-alanine,2-hydroxybutyrate,0.2828555762601216,0.7907024026615129,0.2100873560416977,0.5874441409880475,0.4975236199775898,9,0.1901411104379547,Z-score,,,,0.2828555762601216,0.4975236199775898,0.05640351929918075,4.0,103.09657999999999,0.0,ghb,0.05640351929918075,0.05648436180696881,E. coli,SINTEF-23
12,Galactose,2-hydroxyglutaric acid,0.0930461088460065,-0.8778282258973427,0.6480428067429386,0.0822496265716267,0.0446424543435421,8,0.4865461827043916,Z-score,,,,0.0930461088460065,0.0446424543435421,,,,,,,,E. coli,SINTEF-23
13,L-malate,2-hydroxyglutaric acid,1.2483496331219468,-1.1617103721303828,0.986237771987039,2.4150938720186434e-08,0.0697578913824776,11,0.9976488270434526,Z-score,,,,1.2483496331219468,0.0697578913824776,,,,,,,,E. coli,SINTEF-23
14,L-alanine,2-hydroxyglutaric acid,0.905100386742105,-0.9689056693135172,0.9518445863687603,7.696351280480491e-05,0.1101861128525314,9,0.955347631559124,Z-score,,,,0.905100386742105,0.1101861128525314,,,,,,,,E. coli,SINTEF-23
