DO [%],FA [mL/h],FB [mL/h],N [rpm],pH,Hours,Bioreactor,CarbonSource
96.787,0.0,0.0,400.877,7.025,0.006111111111111111,M7,L-Malate
96.787,0.0,0.0,400.877,7.025,0.014444444444444444,M7,L-Malate
96.787,0.0,0.0,400.877,7.025,0.02277777777777778,M7,L-Malate
96.787,0.0,1.212,399.583,7.025,0.03111111111111111,M7,L-Malate
96.787,0.0,0.0,399.251,7.025,0.03944444444444444,M7,L-Malate
97.361,1.408,0.0,399.251,7.025,0.04777777777777778,M7,L-Malate
97.361,0.0,0.0,399.251,7.025,0.05611111111111111,M7,L-Malate
97.361,1.429,0.0,399.251,7.025,0.06444444444444444,M7,L-Malate
96.911,0.0,0.0,399.913,7.025,0.07277777777777777,M7,L-Malate
96.729,1.318,0.0,401.121,7.025,0.0811111111111111,M7,L-Malate
96.729,0.0,0.0,401.121,7.025,0.08944444444444444,M7,L-Malate
96.729,1.194,0.0,401.121,7.025,0.09777777777777777,M7,L-Malate
96.729,0.0,0.0,401.121,7.025,0.10611111111111111,M7,L-Malate
96.729,1.415,0.0,401.121,7.025,0.11444444444444445,M7,L-Malate
96.729,0.0,0.0,400.474,7.025,0.12277777777777778,M7,L-Malate
96.729,1.311,0.0,399.534,7.025,0.13111111111111112,M7,L-Malate
96.729,0.0,0.0,399.534,7.025,0.13944444444444445,M7,L-Malate
96.729,0.0,0.0,399.534,7.025,0.14777777777777779,M7,L-Malate
96.776,1.097,0.0,399.534,7.025,0.15611111111111112,M7,L-Malate
96.776,0.0,0.0,399.534,7.025,0.16444444444444445,M7,L-Malate
96.776,1.38,0.0,399.534,7.025,0.17277777777777778,M7,L-Malate
96.776,0.0,0.0,399.492,7.025,0.1811111111111111,M7,L-Malate
96.776,0.0,0.0,398.466,7.025,0.18944444444444444,M7,L-Malate
96.776,1.477,0.0,400.292,7.025,0.19777777777777777,M7,L-Malate
96.776,0.0,0.0,400.885,7.025,0.20611111111111113,M7,L-Malate
96.776,1.305,0.0,399.68,7.025,0.21444444444444447,M7,L-Malate
96.776,1.367,0.0,399.68,7.025,0.2227777777777778,M7,L-Malate
97.011,0.0,0.0,399.68,7.025,0.23111111111111113,M7,L-Malate
97.011,1.374,0.0,400.703,7.025,0.23944444444444446,M7,L-Malate
97.011,1.422,0.0,398.047,7.025,0.2477777777777778,M7,L-Malate
97.011,0.0,0.0,400.463,7.025,0.2561111111111111,M7,L-Malate
97.011,1.339,0.0,400.463,7.025,0.26472222222222225,M7,L-Malate
97.011,0.0,0.0,400.463,7.025,0.27305555555555555,M7,L-Malate
97.011,1.38,0.0,400.463,7.025,0.2813888888888889,M7,L-Malate
97.011,1.277,0.0,400.463,7.025,0.2897222222222222,M7,L-Malate
97.011,0.0,0.0,400.463,7.025,0.2980555555555556,M7,L-Malate
96.832,1.311,0.0,399.849,7.025,0.3063888888888889,M7,L-Malate
96.832,0.0,0.0,400.929,7.025,0.31472222222222224,M7,L-Malate
96.832,1.242,0.0,399.867,7.025,0.32305555555555554,M7,L-Malate
96.832,0.0,0.0,399.867,7.025,0.3313888888888889,M7,L-Malate
96.832,1.38,0.0,399.686,7.025,0.3397222222222222,M7,L-Malate
96.832,1.153,0.0,398.878,7.025,0.34805555555555556,M7,L-Malate
96.98,1.387,0.0,400.281,7.025,0.35638888888888887,M7,L-Malate
97.665,1.242,0.0,400.281,7.025,0.3647222222222222,M7,L-Malate
97.842,1.449,0.0,400.307,7.025,0.37305555555555553,M7,L-Malate
97.13,0.0,0.0,399.421,7.025,0.3813888888888889,M7,L-Malate
97.13,1.408,0.0,399.421,7.025,0.38972222222222225,M7,L-Malate
97.13,1.305,0.0,399.701,7.025,0.3980555555555556,M7,L-Malate
97.13,1.305,0.0,401.214,7.025,0.4063888888888889,M7,L-Malate
97.13,1.305,0.0,400.637,7.025,0.41472222222222227,M7,L-Malate
97.13,1.311,0.0,399.462,7.025,0.4230555555555556,M7,L-Malate
97.13,0.0,0.0,399.811,7.025,0.43138888888888893,M7,L-Malate
97.13,1.353,0.0,401.723,7.025,0.43972222222222224,M7,L-Malate
97.13,1.353,0.0,401.685,7.025,0.4480555555555556,M7,L-Malate
96.578,1.353,0.0,398.581,7.025,0.4563888888888889,M7,L-Malate
96.578,1.353,0.0,400.987,7.025,0.46472222222222226,M7,L-Malate
96.578,1.339,0.0,397.31,7.025,0.47305555555555556,M7,L-Malate
96.578,1.166,0.0,399.387,7.025,0.4813888888888889,M7,L-Malate
