,Sample_id,Pyrimidine,Dihydrouracil,N-acetylleucine,N-acetylphenylalanine,4-acetamidobutanoate,Dethiobiotin,Thymine,Nicotinate,Biotin,Methylthioadenosine,Tryptamine,Adenosine,Trimethylamine,Choline,Tyramine,Aicar,Oxoproline,Inosine,Methylguanidine,Kynurenate,Riboflavin,Anthranilate,Guanine,N-acetylserine,Xanthurenate,N-acetylputrescine,Ethanolamine,Epinephrine,Trigonelline,"Adenosine 3', 5'-cyclic phosphate",4-imidazoleacetate,N-alpha-acetyllysine,Cyclic gmp,Guanidinosuccinate,S-adenosylhomocysteine,Ophthalmate,Histidinol,Cadaverine,Putrescine,"1, 3-diaminopropane","N,n,n-trimethyllysine",Hexanoate,FAD,S-adenosylmethionine,NAD,Leucine,Gamma-aminobutyrate,Proline,Valine,Beta-alanine,Alanine,Glutamine,Glutamate,Asparagine,Aspartate,Arginine,Stearoylcarnitine (c18),Hexanoylcarnitine (c6),Deoxycarnitine (deoxy-c0),Glutarylcarnitine (c5-dc),Carnitine (c0),Malonylcarnitine (c3:dc),Salicylate,Pyridoxal,Uracil,Glycerol,2-oxobutanoate/acetoacetate,Glucuronolactone,Hypoxanthine,"2, 5-dihydroxybenzoate",2-hydroxybutyrate,Alpha-hydroxyisobutyrate,3-(4-hydroxyphenyl)pyruvate,Xanthine,3-hydroxybutyrate,Hydroxyphenyllactate,3-hydroxyphenylacetate,Pantothenate,Orotate,cAMP,O-acetylserine,3-hydroxyanthranilate,Mannose,Allantoin,Dihydroorotate,Xanthosine,Quinate,Gluconate,Glutathione reduced,Adipate,N-acetylglutamate,2-hydroxyglutaric acid,3-hydroxyglutaric acid,N-acetylaspartate,Glycerol 3-phosphate,Ribose 5-phosphate,Glucosamine 6-phosphate,Sedoheptulose-7-phopsphate,Uridine diphosphate glucuronic acid,Pyruvate,Lactate,Hexoses,Glutarate,Succinate,Fructose-6-phosphate,Malate,Glucose-6-phosphate,Cis-aconitate,Citrate,Isocitrate,Trans-aconitate,OD ID,Strain,OD,Replicate,Hours
0,SR_MPTA_020204_6B-2_rpe_17,160475.510205444,11716.4031329365,35901.4251506445,6282.24466586817,15070.421739389,21169.3332045605,7376.02981715109,10580.8679431175,8494.3900213087,311617.519400714,3044.37582477885,10996.3089553908,34009.758955755,2367.77634724181,8385.73327759113,151247.685728901,340199.272260869,6704.91711872074,2910.42394448722,1972.11058129365,44297.2982139934,11885.2508004088,,45722.1938874425,6365.76925311124,222820.98458462,302423.961021696,4575.93473994052,55663.8575914023,289915.977277596,7007.65524081362,5591.36731953874,591.255807410135,6071.29522956939,,19904.4935136468,6599.62306331785,3204.79906932142,179440.389434366,3408.96268421711,1909.39450126561,72824.1019059162,464.218247677637,7805.57168367414,2913.78101695918,165789.253245925,11247.7819117571,12868.3026099027,,2289.96222583389,35831.8900629125,144653.852637093,599737.368869645,764.129466311021,2092.4842721961,10213.8396832002,501.663448172807,703.880101172895,3198.82580557527,683.668341103786,1058.74545802381,3123.89445556891,4685.79795033592,6721.60639683093,31861.6418739853,163.061088476735,,3525.3460135145,1494.10222215114,129768.256638368,1718.18951261423,764.813316781777,3418.28220350085,49.6498933257405,2101.29256555041,2760.88416197868,945.844426467239,30094.5579269418,1963365.12957413,13931.5710205338,724.239293914872,18438.6255159828,69284.1788063962,463690.710029348,1254881.67323357,7752.21928844504,1866.33369250288,45763.9383470187,3048.70739442244,1398.9992653866,61382.1865922562,6448.90764532783,7359.81394392084,89215.7336325471,7256.64254320997,11483.2275447293,318.925707323348,2011.84270538883,615.801672796665,,672.928203970628,93522.1487300867,2481.0841636674,3368.12466693152,12404.6176227136,12190.8599727941,,8306.67940987893,461090.661560773,6661.12959487652,698.249488803512,6B-2: rpe,rpe,1.252,B,21.999999999941792
1,SR_MPTA_020204_1C-2_aceE_3,50579.7810424573,12191.496566863,24639.6062949793,6082.99687038853,10632.2221838395,43113.4603037444,6878.46564458816,,6320.26447151862,213874.218211173,3317.86110101229,6826.2890648238,35536.533440566,3006.61143150835,11110.8972799561,75293.6443113338,167564.706437216,,14215.7212839383,7705.99691844127,32885.0266678165,7083.75290984075,,44286.6290119386,7194.52492141851,177669.081127575,436356.750858935,2144.68336111428,69044.7073077906,132697.733473952,5275.29321738705,7337.87413603066,510.743235717044,6489.48211200947,904.172350162577,18284.01368807,2832.26478646588,887.272435284533,26559.0417693011,3054.18658616135,2150.58117282705,79998.4903050108,1387.13457665471,4775.62158646544,1171.9558327186,63934.8525356425,1511.56887941595,7566.25237296546,8675.82934667324,460.732101774187,14362.1911612424,74005.3109932142,365220.651881766,976.385134127184,1111.83619406914,10130.0559539932,559.027034604444,600.05354980427,3445.01963267863,402.875492557881,930.838907473951,2846.67792587545,2461.89191262025,481.419380141112,39397.810593524,150.392744389559,7086.3876119699,192.255746389422,,18080.2359250341,15030.8539257896,5677.3647171459,868.705285646004,,547.427940238744,2202.43347868123,,17066.5584952783,1495732.67390958,4499.31483128662,908.384921604178,17854.9325718439,80789.9122081609,264988.780042414,748408.649650294,4960.36456233925,942.713425761638,44818.8605895259,1416.88697900141,1521.88341436785,27057.546282065,16423.9150941004,19969.7094129898,124464.462426706,5105.30247119555,661.520712486872,465.504335648655,502.275458624983,189.662927882321,305986.837139531,59506.3284024189,107572.369537108,1918.08627796013,,10424.2904280066,4924.59262541297,,7449.57906968877,449332.429696531,5774.33870954499,489.695671481669,1C-2: aceE,aceE,1.197,C,90.83333333325572
2,SR_MPTA_020204_3B-2_lacA_8,111957.837637589,11905.5957397909,41822.7054619996,4652.36648550659,44943.4926684198,20070.6478318797,4765.69589751725,4032.89789553639,5941.44152953983,385335.380358946,2009.56332220915,6334.07675985187,33352.1061478789,,9723.44892895988,203981.414310622,205955.85891928,2592.02728580775,2142.14596133872,2335.55792622063,1603.81865034853,5662.50478300138,12911.4072306123,24977.0436210932,7345.62724050733,209889.15916988,273661.935403593,2866.4445224534,63802.7416835209,269211.736882024,9323.24834897681,7667.27166009006,594.238871492053,3787.57158300917,2929.27635203765,3174.74855448467,4359.36857251854,2163.65635453656,50362.1839952584,3027.63918611792,986.363700624127,73099.1201404836,712.50085150776,7855.76328675756,1718.84486735246,160741.005881802,9107.05994178013,7281.02228691559,,1502.60294286999,52237.9758841426,49574.8241231517,307441.165195581,743.539834242536,1632.27127321116,9962.48147119147,599.492787402836,587.120732866041,3546.68741323111,278.891086662532,914.066281910887,6329.62115880044,2816.69555799107,1203.93334597137,18682.055709404,266.381669328387,,135.109633961385,6364.09769401036,34280.1139606665,2717.78171612092,1246.33189887549,2652.89829778561,5254.26692179427,3441.25736866385,1530.4177401078,1689.87542668984,19685.1509412465,1945852.93143972,12394.7106894257,666.396193004768,10498.0752629528,70917.6117622429,488826.933480288,1341904.22333976,5864.81541101465,1400.83113765466,26050.6886010874,1057.74929414317,1451.47105697179,50816.3467963955,4969.68723848887,4002.46245151283,128341.483661023,6735.23803213553,639.856147129312,234.446213044078,387.281034792642,591.322768666071,,1198.43852231204,90728.628990561,3151.89151324082,9154.94674801306,7159.95464619774,10937.1972545745,,4378.34764482362,365578.410205126,5279.85245408341,620.374894974267,3B-2: lacA,lacA,1.319,B,16.249999999883585
3,SR_MPTA_020204_1A-2_aceE_1,50023.7836293079,11448.1153717445,27846.1343886124,6845.59882789107,9081.52859721027,37449.742184528,5879.11426911623,,6066.32080097857,199194.789933848,2891.54221764933,14139.1595554324,31234.2366425331,2266.73002821456,15141.2374080991,66381.3398258517,179894.195470886,,12171.0332141823,10095.1706926837,27163.4687540459,7659.37321558336,,39338.5534820985,8795.50578367474,217359.955562856,443534.905059281,5057.27920314953,73111.9451394144,113748.415961755,5213.12052473631,7216.49764701607,839.503027446704,6229.27900421085,1022.80024302676,7944.87858178883,1990.37706465819,,24767.9128633465,2779.66407624725,2312.92515821812,65090.6046904278,772.643971747343,4097.16941423671,921.117734984531,56814.9347456225,1007.01295126142,7793.8128639874,5925.46347807616,594.577939416014,9860.16560132643,26479.1123645001,321047.778787773,865.900097939806,511.544986879727,10515.6094259756,595.18425470311,892.395003250803,3543.89903684837,284.900033787982,904.85718132888,2860.71999550386,2838.28780916221,420.973024628154,62759.5079259971,182.07126402969,3980.50074357554,177.713404138364,,15987.9612854521,19597.2801735142,8835.36073769053,584.96984111551,,702.463820415546,2175.25270133903,,12037.6766288434,1406559.52828364,5211.93637108714,849.84283130584,18014.7357115291,78246.3360863899,309714.177133431,752714.64564793,4757.95250293056,842.340686214105,34076.2320136904,1019.01533367012,1757.57231799359,34513.6881867976,17165.3837521594,21019.754879388,109519.275516126,4674.29841543202,742.27355744355,557.547829394532,808.329765181943,645.085276173258,278570.286401365,76046.084242766,103523.493839148,2366.79817011946,,9758.44396963873,2336.97233851123,,5901.91156655804,363603.475835599,5230.41971301637,525.122756618533,1A-2: aceE,aceE,1.214,A,90.83333333325572
4,SR_MPTA_020204_11A-2_WT_22,47356.3471369876,9768.34247204966,22595.1109551584,3603.65460696313,30039.3809486247,19450.6142597965,5700.50177809741,6530.79066319393,5836.65932434983,354867.003017386,2674.73611868591,6509.05237676557,35263.1056949487,,7825.22196558101,145815.115798223,143824.477300573,3046.88991415643,4295.47875135169,1886.88882091302,12112.1121464317,3010.57312699056,13656.2008968669,28091.7924912557,7423.64633253773,274009.125724429,242641.360810009,,69830.7734081477,302915.268835527,6658.34579096153,5109.07556944244,324.492936349462,2304.40179516222,1664.52842638896,3697.65063510065,3261.30470297015,1181.58979029137,17312.5702307783,3719.46535319922,978.059284489577,65843.9078183582,641.091400981235,7591.18450218626,1789.93798871487,100143.053271218,5592.48144507085,8400.46883233495,,1482.49105186159,14454.1169881107,28430.8894087072,405377.155784699,868.82028064994,1051.19933254441,9833.12880147392,832.11444305153,760.311069003632,3250.83186348215,340.708503716121,1352.26768592875,5959.40105495196,2014.33245287001,1200.60423735434,25045.1689364493,107.929168269046,,139.160323270718,4890.93213125819,17722.1356636276,1301.24013287836,511.065856947798,1716.47384432331,4183.31971571053,3111.27474442912,3376.57068538379,1237.58267865252,16116.1897107988,1846506.68113407,11656.1885237029,954.239002343232,7134.91407763489,71219.2621858471,471213.145344976,1206715.15998594,5537.86467962707,817.815616545685,21945.9184613411,823.161025232197,1534.35651760641,29498.1509216722,4528.95370710028,2656.95584962652,97196.1264930962,5186.62514962073,632.836496750061,343.513249823009,429.826501499361,316.253498179162,,285.350147909269,102640.360147442,3008.32992291073,2975.92790886219,6785.86210652038,8330.33750060501,,4603.80212176412,326623.718631989,4715.77566718554,424.820149578381,11A-2: WT,WT,1.156,A,17.83333333331393
5,SR_MPTA_020204_12B-1_pool_B_26,15499.3779177459,11641.6252376337,662.555996934123,,,,,,,7434.1833763106,3063.05680279756,4522.49802701821,36794.2697799226,4572.50146722271,,753.676604794153,7208.08089227575,,,,,,,,7915.64086851157,101594.976935102,,,59750.508498218,7728.22667513821,6080.14684902025,,,,,458.466901950941,,,,2605.94901397247,,66925.4950823026,,591.284078719601,240.141056288026,,335.057229760064,,,,,18064.1259993445,185562.11882656,790.691979429854,489.862893292159,8607.35601380194,428.746778358999,547.650178317382,,264.721626325767,1196.10166329952,1842.90890811456,1610.85768080796,,,3675.7643238457,,,,185.299641882919,198.850756304737,100.750133753262,,,,,,,3572.29504223787,259.791235450175,573.492863800273,,93829.7029358078,,,,,5034.3163617521,,1399.58582705846,1453.19953389011,,,495.720666874653,508.745109778778,,,,,,,124325.291353668,2974.24946842744,,2751.3079686328,1662.78077058565,,,282407.253689208,3474.01183382112,,12B-1: pool,,,,
6,SR_MPTA_020204_3C-2_lacA_9,18561.1736875283,12471.6112850396,34374.0661628534,3302.36082383864,32715.897534862,19961.4111442831,4762.44853150759,3948.00707298264,5347.61824838336,300580.670971548,2290.93448533601,5326.28552073511,45030.0214018575,1980.65619253146,9047.77057270368,247141.275072091,173488.371375094,2967.30608369248,2229.15185852246,1644.23331410681,2099.78885426848,6460.36386877098,16250.9271776103,25990.3778968285,7300.19144095248,194958.071616914,257266.000785207,2488.59019675464,60750.6936986086,269069.579449376,9648.43915718119,8158.92040572632,456.697835953355,3374.15808573107,2252.2682675309,3936.41412244741,3472.10543377369,5419.47108603595,48900.9287989633,2794.58767212823,1164.86636041549,62747.5285548355,400.475721684347,7056.99294943967,1613.91148458121,167155.973214341,7214.32144593481,7574.72962846796,745.791067145974,1571.59814934697,58594.7977165579,42020.1586596172,290731.436460446,833.739288071199,1469.28655226976,8194.01346423507,398.936502496537,564.63738371795,3754.82894885751,197.709297532947,1151.10559178674,4729.29478770974,1900.3964273141,872.341592350519,18159.9495421692,43.5059860298529,,,7963.23697776429,27619.8219203567,2817.98857599524,1119.9584144365,1858.15535818442,8104.69505995672,2894.52995955666,1137.21480169038,1477.76772860062,16936.5758054661,1921403.78701224,9904.64248699123,674.450878184299,9741.50154783714,67872.7300704716,533880.162741511,1258120.22815133,5843.07826508169,1589.48718048588,28952.5489118898,788.583532048609,1591.03746815802,46745.8422162002,4774.38952726036,4532.90665516193,104331.161961117,4965.10511072533,564.108112706691,156.619809172596,240.326829021946,573.622724885719,,662.898281906657,88360.11957454,2597.44189998962,7776.87699701682,6894.6111269487,12601.6648170678,,3330.89414654715,313373.149017046,4451.9794707704,378.135726984557,3C-2: lacA,lacA,1.311,C,16.249999999883585
7,SR_MPTA_020204_11B-2_WT_23,42889.5804711737,12832.8180309662,27614.6616654374,3715.34809566947,33748.0855657856,17329.7607530628,5738.30038274658,5557.78198835821,6509.62465529911,364822.89360692,2156.06401846871,6710.94998597841,37399.0219412422,3166.1078400511,9378.9694270263,172386.824989073,162154.21922242,2569.51580525508,3404.82989880751,2729.05544603806,13202.6836722209,2930.96719416421,14644.8934795627,25671.516777309,8682.53672939748,357076.072925666,279094.640860138,1727.51050942524,73021.9696852228,388459.774508489,6414.54993838062,6716.40936315187,650.899650666798,2959.77510334594,1917.98834375974,4458.57103353824,4424.89706917624,1457.18171451079,19538.2065196381,2831.72331469,1375.32824879837,59638.6113908688,529.274286323328,6422.39958575531,1866.87556511703,104947.177640901,7826.96893106752,6934.20259931432,145.468830897785,1440.04120543213,16159.0297867842,31961.4341933701,440391.430352424,628.140577113201,998.344174865652,8811.40770143409,522.996046855031,585.738726774552,3624.17877330057,260.403915538373,891.283350962806,8902.29358255568,2369.83853627106,1288.01560286883,24996.9933643234,128.474432555455,,,5356.93329083655,21808.5646466225,1131.08453692949,492.868871290873,1771.45359504085,3997.73544267844,3182.47740498564,2316.07948852382,1807.01937327019,18581.4375173654,1861685.26149364,11899.2389098303,696.507420513364,8521.39930198142,67677.8351262108,510917.965881377,1298638.00602845,5869.99885132749,973.169860112925,25883.9959372389,996.306551698407,1221.33849191474,31622.4723342947,4423.51291763645,4470.84784403104,130994.655781159,4683.95701197562,711.811598193727,476.400108860357,529.072083804907,442.542574893962,,313.436449845979,95897.2124227171,2554.29823995825,3261.78200397897,6616.71893019029,9771.9454124222,,3725.24474105943,319859.880067691,4540.39444458381,550.39923274622,11B-2: WT,WT,1.204,B,17.83333333331393
8,SR_MPTA_020204_11C-2_WT_24,18155.7871014934,11563.144638519,29141.7271466952,4190.11451024889,36854.8902780241,19331.336070648,5453.10404759844,5548.6061070813,5864.23583356566,354635.786429627,2801.30789879757,8631.23734002724,40460.0502179999,5765.87805047908,9738.63045918093,180677.219373374,197340.910809503,3327.81147201082,3593.34695928223,2033.55461936129,14067.6656872583,2753.93390948008,17875.4578028803,28147.4332113127,6995.16504101061,295682.09657256,265654.13560515,2768.39517553864,66893.8100561214,292090.159522361,7488.51731089477,7214.39831360221,642.994257439699,3043.50176573773,1997.44369437296,5043.4620862225,4245.93942583202,2084.83091010782,22982.2052037531,2997.57455516121,1343.02214474565,66138.8142305047,592.71178800867,6655.1574527063,2222.76436581017,120248.030730541,8315.21239549056,7421.32506564685,,1447.27280062326,17823.4294974871,38977.4079066483,423393.547025979,704.333411787511,884.937046701176,6333.29212281775,520.652187957776,708.980651517869,3964.27512045722,371.185848718598,1187.61979709162,7156.90965720094,2319.6038103841,1469.78718280101,26105.7792104901,82.283539378858,,,5382.83311302809,24385.9398830882,1305.11704955757,539.416406681858,1853.48526732177,2883.02409422441,3253.37722786642,1250.91866901358,1765.97074966305,18009.6100632745,1992598.17898273,11363.4007180928,793.478031357275,8155.07980398465,71572.7639008854,499301.151915746,1296287.95814836,6475.01667313202,1062.92699110819,29610.5547512837,840.187567066915,1284.74197927194,40367.6943835346,5156.93936692189,4327.5656882382,149888.70090273,5820.94798188786,751.16238878546,461.305503896221,224.365046221932,545.99065871772,,219.505148356612,98802.5386719494,2560.11164328974,3340.099968039,6924.84219451312,9708.29270315484,,4177.92667459868,321511.684444807,5000.97021623937,563.841692323639,11C-2: WT,WT,1.283,C,17.83333333331393
9,SR_MPTA_020204_3A-2_lacA_7,23493.9164212016,11135.2933590914,38760.1635759032,3877.05960563918,37192.5091051376,19466.8982842849,5113.51376914049,6066.7019429255,8272.53633942916,417298.083704512,3328.59674997589,9735.27406116718,41612.8170367824,5036.17905879351,6649.43936376021,259438.558466281,217641.23761155,6109.74826114398,4261.4777891127,2362.69502412076,3053.84557035644,7509.74669632884,64530.6847530366,25951.5700670421,7510.4303351204,260218.148757961,258194.78324302,3315.79291684019,71274.1254790773,302127.990442589,9539.51534982657,7153.10026319879,726.467131317981,5555.39514390241,2881.40874551441,5542.27561219619,5146.08011892915,2623.30854134685,57376.2214095507,2561.4602281599,1460.82193872459,62268.1862661524,630.318361621093,7660.68232662326,2328.36899952718,146852.407590098,9494.41474470396,6587.1436501908,,1723.74891948273,11339.9172782857,49205.309561047,339591.356302813,1071.54583457435,806.918937739197,7791.64928288786,798.112098599953,638.11389459655,3140.26561725045,167.035369382512,1216.30590385764,5849.812319186,2113.70742749337,1218.77012168575,18949.4390940739,87.4976397768322,,,7459.30583742964,24203.2566345254,1992.35204930844,699.024529235412,1762.22846245603,3329.31658934095,2836.05308620427,1442.73308411558,1664.09458395879,18243.5004592047,2183313.59447316,10028.416240122,943.117568919388,11482.697317371,62695.3782149784,505149.093089185,1374260.02549582,6054.80909481075,1349.50635553419,44116.5629194847,1172.41776415749,1383.05600996212,41649.8027401464,5670.98492637998,4685.9307505538,184631.846205617,4651.02082279073,438.438056809267,234.38580179315,347.875687044262,636.154328914335,,536.969244200119,95578.8209903238,3012.70686793647,2255.53495628781,8184.69767110781,9694.98856006521,,4305.14821347818,333216.86489657,4712.32200040798,645.042517654467,3A-2: lacA,lacA,1.36,A,14.499999999941792
