,Metabolite,BiGG ID,ECMDB ID,KEGG_ID,IN ECMDB,From Mapping 1
0,"1, 3-diaminopropane",13dampp,,C00986,FALSE,TRUE
1,"2, 5-dihydroxybenzoate",,,,FALSE,FALSE
2,"2,5-dihydroxybenzoate",,,C00628,FALSE,TRUE
3,2-aminoisobutyrate,,ECMDB21403,C03665,TRUE,TRUE
4,2-hydroxybutyrate,ghb,ECMDB24007,C05984,TRUE,TRUE
5,2-hydroxyglutaric acid,S2hglut,ECMDB00606,C02630,TRUE,TRUE
6,2-oxobutanoate/acetoacetate,2obut,ECMDB00005,C00109,TRUE,FALSE
7,3-(4-hydroxyphenyl)pyruvate,34hpp,ECMDB00707,C01179,TRUE,TRUE
8,3-hydroxyanthranilate,,ECMDB01476,C00632,TRUE,TRUE
9,3-hydroxybutyrate,ghb,ECMDB21418,C01089,TRUE,TRUE
10,3-hydroxyglutaric acid,S2hglut,,,FALSE,TRUE
11,3-hydroxyphenylacetate,,,,FALSE,TRUE
12,4-acetamidobutanoate,4aabutn,,,FALSE,TRUE
13,4-imidazoleacetate,im4ac,,C02835,FALSE,TRUE
14,Acetate,ac,ECMDB00042,C00033,TRUE,TRUE
15,Adenosine,adn,ECMDB00050,C00212,TRUE,TRUE
16,"Adenosine 3', 5'-cyclic phosphate",camp,ECMDB00058,C00575,TRUE,FALSE
17,Adipate,,,C06104,FALSE,TRUE
18,Aicar,aicar,ECMDB01517,C04677,TRUE,TRUE
19,Alanine,ala__L,ECMDB00161,C00041,TRUE,TRUE
20,Allantoin,alltn,ECMDB00462,C01551,TRUE,TRUE
21,Alpha-aminoadipate,,ECMDB00510,C00956,TRUE,TRUE
22,Alpha-aminobutyrate,,,C02356,FALSE,TRUE
23,Alpha-glucose (cl adduct),glc__D,ECMDB00122,C00031,TRUE,TRUE
24,Anthranilate,anth,ECMDB01123,C00108,TRUE,TRUE
25,Arginine,arg__L,ECMDB00517,C00062,TRUE,TRUE
26,Asparagine,asn__L,ECMDB00168,C00152,TRUE,TRUE
27,Aspartate,asp__L,ECMDB00191,C00049,TRUE,TRUE
28,Beta-alanine,ala_B,ECMDB00056,C00099,TRUE,TRUE
29,Biotin,btn,ECMDB00030,C00120,TRUE,FALSE
30,Cadaverine,15dap,ECMDB02322,C01672,TRUE,FALSE
31,Carnitine (c0),crn,ECMDB23900,C00318,TRUE,FALSE
32,Cdp-ethanolamine,cdpea,,C00570,FALSE,TRUE
33,Choline,chol,ECMDB00097,C00114,TRUE,FALSE
34,Cis-aconitate,acon_C,ECMDB00072,C00417,TRUE,TRUE
35,Citrate,cit,ECMDB00094,C00158,TRUE,TRUE
36,Citrulline,citr__L,ECMDB00904,C00327,TRUE,TRUE
37,Creatine,creat,,C00300,FALSE,TRUE
38,Creatinine,crtn,,C00791,FALSE,TRUE
39,Cyclic gmp,35cgmp,ECMDB04034,C00942,TRUE,TRUE
40,Deoxycarnitine (deoxy-c0),gbbtn,ECMDB21336,C01181,TRUE,TRUE
