Timestamp,Time [h],Day,Strain-Bioreactor,OD,Strain,Bioreactor
2024-04-02 10:45:00,0.0,0,aceE-M2,0.1,aceE,M2
2024-04-03 08:30:00,21.75,1,aceE-M2,,aceE,M2
2024-04-03 10:30:00,23.750000000058208,1,aceE-M2,,aceE,M2
2024-04-03 12:05:00,25.33333333331393,1,aceE-M2,,aceE,M2
2024-04-03 13:05:00,26.333333333430346,1,aceE-M2,,aceE,M2
2024-04-03 14:25:00,27.666666666744277,1,aceE-M2,,aceE,M2
2024-04-03 16:50:00,30.083333333430346,1,aceE-M2,,aceE,M2
2024-04-03 17:50:00,31.08333333337214,1,aceE-M2,,aceE,M2
2024-04-03 18:55:00,32.16666666674428,1,aceE-M2,,aceE,M2
2024-04-03 22:05:00,35.333333333430346,1,aceE-M2,,aceE,M2
2024-04-03 22:25:00,35.666666666802485,1,aceE-M2,0.69,aceE,M2
2024-04-04 00:10:00,37.41666666674428,2,aceE-M2,1.02,aceE,M2
2024-04-04 07:00:00,44.25,2,aceE-M2,0.75,aceE,M2
2024-04-04 09:50:00,47.08333333331393,2,aceE-M2,0.74,aceE,M2
2024-04-04 13:35:00,50.83333333331393,2,aceE-M2,0.56,aceE,M2
2024-04-04 17:00:00,54.250000000116415,2,aceE-M2,0.51,aceE,M2
2024-04-04 21:40:00,58.916666666802485,2,aceE-M2,0.409,aceE,M2
2024-04-04 22:30:00,59.75000000005821,2,aceE-M2,,aceE,M2
2024-04-05 07:10:00,68.41666666668607,3,aceE-M2,0.26,aceE,M2
2024-04-05 13:15:00,74.50000000011642,3,aceE-M2,0.29,aceE,M2
2024-04-05 16:45:00,78.0,3,aceE-M2,0.345,aceE,M2
2024-04-05 21:50:00,83.08333333331393,3,aceE-M2,0.445,aceE,M2
2024-04-06 09:20:00,94.58333333343035,4,aceE-M2,0.611,aceE,M2
2024-04-06 18:00:00,103.25000000005821,4,aceE-M2,0.485,aceE,M2
2024-04-07 10:30:00,119.75000000005821,5,aceE-M2,0.5,aceE,M2
2024-04-08 07:45:00,141.0,6,aceE-M2,0.43,aceE,M2
2024-04-08 12:15:00,145.5,6,aceE-M2,0.32,aceE,M2
2024-04-08 20:40:00,153.91666666668607,6,aceE-M2,0.5726,aceE,M2
2024-04-09 07:30:00,164.7500000000582,7,aceE-M2,0.538,aceE,M2
2024-04-09 15:15:00,172.5,7,aceE-M2,0.5638,aceE,M2
2024-04-10 07:25:00,188.66666666680248,8,aceE-M2,0.7112,aceE,M2
2024-04-10 09:25:00,190.66666666668607,8,aceE-M2,,aceE,M2
2024-04-10 11:45:00,193.00000000011642,8,aceE-M2,,aceE,M2
2024-04-10 13:40:00,194.91666666674428,8,aceE-M2,,aceE,M2
2024-04-10 14:40:00,195.91666666668607,8,aceE-M2,0.68,aceE,M2
2024-04-11 07:35:00,212.83333333331393,9,aceE-M2,0.634,aceE,M2
2024-04-12 07:15:00,236.50000000011642,10,aceE-M2,0.57,aceE,M2
2024-04-12 13:15:00,242.50000000011642,10,aceE-M2,0.58,aceE,M2
2024-04-12 18:05:00,247.33333333331393,10,aceE-M2,,aceE,M2
2024-04-12 19:37:00,248.86666666675592,10,aceE-M2,0.6096,aceE,M2
2024-04-13 11:25:00,264.6666666667443,11,aceE-M2,0.6,aceE,M2
2024-04-13 15:25:00,268.66666666668607,11,aceE-M2,0.5664,aceE,M2
2024-04-14 10:25:00,287.6666666668025,12,aceE-M2,0.48,aceE,M2
