Strain abbrv.,Replicate,Strain,Hours,OD600
WT,A,E. coli BW25113,0,0.016
WT,B,E. coli BW25113,0,0.016
WT,C,E. coli BW25113,0,0.019
aceE,A,aceE-Ancestor,0,0.018
aceE,B,aceE-Ancestor,0,0.02
aceE,C,aceE-Ancestor,0,0.021
aceE-M2,A,aceE-M2-D44-2,0,0.018
aceE-M2,B,aceE-M2-D44-2,0,0.018
aceE-M2,C,aceE-M2-D44-2,0,0.018
sucB,A,sucB-Ancestor,0,0.017
sucB,B,sucB-Ancestor,0,0.02
sucB,C,sucB-Ancestor,0,0.02
WT,A,E. coli BW25113,1.5,0.03
WT,B,E. coli BW25113,1.5,0.023
WT,C,E. coli BW25113,1.5,0.024
aceE,A,aceE-Ancestor,1.5,0.025
aceE,B,aceE-Ancestor,1.5,0.023
aceE,C,aceE-Ancestor,1.5,0.022
aceE-M2,A,aceE-M2-D44-2,1.5,0.029
aceE-M2,B,aceE-M2-D44-2,1.5,0.028
aceE-M2,C,aceE-M2-D44-2,1.5,0.025
sucB,A,sucB-Ancestor,1.5,0.02
sucB,B,sucB-Ancestor,1.5,0.02
sucB,C,sucB-Ancestor,1.5,0.022
WT,A,E. coli BW25113,3.666666666569654,0.046
WT,B,E. coli BW25113,3.666666666569654,0.047
WT,C,E. coli BW25113,3.666666666569654,0.047
aceE,A,aceE-Ancestor,3.666666666569654,0.027
aceE,B,aceE-Ancestor,3.666666666569654,0.03
aceE,C,aceE-Ancestor,3.666666666569654,0.035
aceE-M2,A,aceE-M2-D44-2,3.666666666569654,0.055
aceE-M2,B,aceE-M2-D44-2,3.666666666569654,0.058
aceE-M2,C,aceE-M2-D44-2,3.666666666569654,0.055
sucB,A,sucB-Ancestor,3.666666666569654,0.026
sucB,B,sucB-Ancestor,3.666666666569654,0.026
sucB,C,sucB-Ancestor,3.666666666569654,0.028
WT,A,E. coli BW25113,4.583333333255723,0.059
WT,B,E. coli BW25113,4.583333333255723,0.061
WT,C,E. coli BW25113,4.583333333255723,0.061
aceE,A,aceE-Ancestor,4.583333333255723,0.028
aceE,B,aceE-Ancestor,4.583333333255723,0.028
aceE,C,aceE-Ancestor,4.583333333255723,0.029
aceE-M2,A,aceE-M2-D44-2,4.583333333255723,0.074
aceE-M2,B,aceE-M2-D44-2,4.583333333255723,0.079
aceE-M2,C,aceE-M2-D44-2,4.583333333255723,0.074
sucB,A,sucB-Ancestor,4.583333333255723,0.027
sucB,B,sucB-Ancestor,4.583333333255723,0.031
sucB,C,sucB-Ancestor,4.583333333255723,0.029
WT,A,E. coli BW25113,5.499999999941792,0.076
WT,B,E. coli BW25113,5.499999999941792,0.076
WT,C,E. coli BW25113,5.499999999941792,0.07
aceE,A,aceE-Ancestor,5.499999999941792,0.035
aceE,B,aceE-Ancestor,5.499999999941792,0.033
aceE,C,aceE-Ancestor,5.499999999941792,0.029
aceE-M2,A,aceE-M2-D44-2,5.499999999941792,0.104
aceE-M2,B,aceE-M2-D44-2,5.499999999941792,0.105
aceE-M2,C,aceE-M2-D44-2,5.499999999941792,0.104
sucB,A,sucB-Ancestor,5.499999999941792,0.024
sucB,B,sucB-Ancestor,5.499999999941792,0.026
sucB,C,sucB-Ancestor,5.499999999941792,0.028
WT,A,E. coli BW25113,6.499999999883585,0.09
WT,B,E. coli BW25113,6.499999999883585,0.088
WT,C,E. coli BW25113,6.499999999883585,0.088
aceE,A,aceE-Ancestor,6.499999999883585,
aceE,B,aceE-Ancestor,6.499999999883585,
aceE,C,aceE-Ancestor,6.499999999883585,
aceE-M2,A,aceE-M2-D44-2,6.499999999883585,0.149
aceE-M2,B,aceE-M2-D44-2,6.499999999883585,0.146
aceE-M2,C,aceE-M2-D44-2,6.499999999883585,0.142
sucB,A,sucB-Ancestor,6.499999999883585,
sucB,B,sucB-Ancestor,6.499999999883585,
sucB,C,sucB-Ancestor,6.499999999883585,
WT,A,E. coli BW25113,7.5,0.099
WT,B,E. coli BW25113,7.5,0.101
WT,C,E. coli BW25113,7.5,0.097
aceE,A,aceE-Ancestor,7.5,
aceE,B,aceE-Ancestor,7.5,
aceE,C,aceE-Ancestor,7.5,
aceE-M2,A,aceE-M2-D44-2,7.5,0.203
aceE-M2,B,aceE-M2-D44-2,7.5,0.201
aceE-M2,C,aceE-M2-D44-2,7.5,0.208
sucB,A,sucB-Ancestor,7.5,
sucB,B,sucB-Ancestor,7.5,
sucB,C,sucB-Ancestor,7.5,
WT,A,E. coli BW25113,7.8333333331975155,
WT,B,E. coli BW25113,7.8333333331975155,
WT,C,E. coli BW25113,7.8333333331975155,
aceE,A,aceE-Ancestor,7.8333333331975155,
aceE,B,aceE-Ancestor,7.8333333331975155,
aceE,C,aceE-Ancestor,7.8333333331975155,
aceE-M2,A,aceE-M2-D44-2,7.8333333331975155,
aceE-M2,B,aceE-M2-D44-2,7.8333333331975155,
aceE-M2,C,aceE-M2-D44-2,7.8333333331975155,
sucB,A,sucB-Ancestor,7.8333333331975155,
sucB,B,sucB-Ancestor,7.8333333331975155,
sucB,C,sucB-Ancestor,7.8333333331975155,
WT,A,E. coli BW25113,8.499999999941792,0.14
WT,B,E. coli BW25113,8.499999999941792,0.144
WT,C,E. coli BW25113,8.499999999941792,0.134
aceE,A,aceE-Ancestor,8.499999999941792,0.038
aceE,B,aceE-Ancestor,8.499999999941792,0.036
aceE,C,aceE-Ancestor,8.499999999941792,0.041
aceE-M2,A,aceE-M2-D44-2,8.499999999941792,0.286
aceE-M2,B,aceE-M2-D44-2,8.499999999941792,0.296
aceE-M2,C,aceE-M2-D44-2,8.499999999941792,0.287
sucB,A,sucB-Ancestor,8.499999999941792,0.033
sucB,B,sucB-Ancestor,8.499999999941792,0.031
sucB,C,sucB-Ancestor,8.499999999941792,0.039
WT,A,E. coli BW25113,9,
WT,B,E. coli BW25113,9,
WT,C,E. coli BW25113,9,
aceE,A,aceE-Ancestor,9,
aceE,B,aceE-Ancestor,9,
aceE,C,aceE-Ancestor,9,
aceE-M2,A,aceE-M2-D44-2,9,
aceE-M2,B,aceE-M2-D44-2,9,
aceE-M2,C,aceE-M2-D44-2,9,
sucB,A,sucB-Ancestor,9,
sucB,B,sucB-Ancestor,9,
sucB,C,sucB-Ancestor,9,
WT,A,E. coli BW25113,9.499999999883585,0.171
WT,B,E. coli BW25113,9.499999999883585,0.174
WT,C,E. coli BW25113,9.499999999883585,0.161
aceE,A,aceE-Ancestor,9.499999999883585,
aceE,B,aceE-Ancestor,9.499999999883585,
aceE,C,aceE-Ancestor,9.499999999883585,
aceE-M2,A,aceE-M2-D44-2,9.499999999883585,0.395
aceE-M2,B,aceE-M2-D44-2,9.499999999883585,0.383
aceE-M2,C,aceE-M2-D44-2,9.499999999883585,0.362
sucB,A,sucB-Ancestor,9.499999999883585,
sucB,B,sucB-Ancestor,9.499999999883585,
sucB,C,sucB-Ancestor,9.499999999883585,
WT,A,E. coli BW25113,10.5,0.204
WT,B,E. coli BW25113,10.5,0.209
WT,C,E. coli BW25113,10.5,0.19
aceE,A,aceE-Ancestor,10.5,
aceE,B,aceE-Ancestor,10.5,
aceE,C,aceE-Ancestor,10.5,
aceE-M2,A,aceE-M2-D44-2,10.5,0.471
aceE-M2,B,aceE-M2-D44-2,10.5,0.451
aceE-M2,C,aceE-M2-D44-2,10.5,0.435
sucB,A,sucB-Ancestor,10.5,
sucB,B,sucB-Ancestor,10.5,
sucB,C,sucB-Ancestor,10.5,
WT,A,E. coli BW25113,10.999999999883585,
WT,B,E. coli BW25113,10.999999999883585,
WT,C,E. coli BW25113,10.999999999883585,
aceE,A,aceE-Ancestor,10.999999999883585,
aceE,B,aceE-Ancestor,10.999999999883585,
aceE,C,aceE-Ancestor,10.999999999883585,
aceE-M2,A,aceE-M2-D44-2,10.999999999883585,
aceE-M2,B,aceE-M2-D44-2,10.999999999883585,
aceE-M2,C,aceE-M2-D44-2,10.999999999883585,
sucB,A,sucB-Ancestor,10.999999999883585,
sucB,B,sucB-Ancestor,10.999999999883585,
sucB,C,sucB-Ancestor,10.999999999883585,
WT,A,E. coli BW25113,12.499999999883585,0.324
WT,B,E. coli BW25113,12.499999999883585,0.326
WT,C,E. coli BW25113,12.499999999883585,0.307
aceE,A,aceE-Ancestor,12.499999999883585,0.049
aceE,B,aceE-Ancestor,12.499999999883585,0.054
aceE,C,aceE-Ancestor,12.499999999883585,0.051
aceE-M2,A,aceE-M2-D44-2,12.499999999883585,0.763
aceE-M2,B,aceE-M2-D44-2,12.499999999883585,0.704
aceE-M2,C,aceE-M2-D44-2,12.499999999883585,0.708
