Strain,Replicate,Metabolite,Concentration [nM]
sucB-M5,A,Adenosine,1.4348350939366
sucB-M5,B,Adenosine,0.46351507721815405
sucB-M5,C,Adenosine,0.45146475812297393
sucB-M6,A,Adenosine,1.00969596622302
sucB-M6,B,Adenosine,1.23443714837702
sucB-M6,C,Adenosine,0.887426939770161
sucB-M7,A,Adenosine,0.765622052603707
sucB-M7,B,Adenosine,0.527801310092769
sucB-M7,C,Adenosine,0.707251315197436
sucB,A,Adenosine,0.73288470471003
sucB,B,Adenosine,0.964845178660882
sucB,C,Adenosine,0.799167556223034
WT,A,Adenosine,0.619180767498972
WT,B,Adenosine,0.62860231426598
WT,C,Adenosine,0.8909339115352489
aceE,A,Valine,237.853573020849
aceE,B,Valine,315.886953435085
aceE,C,Valine,323.87729515492305
aceE-M2,A,Valine,537.613769203005
aceE-M2,B,Valine,500.49090692389996
aceE-M2,C,Valine,527.1557025490699
aceE-M3,A,Valine,995.0534442267781
aceE-M3,B,Valine,10575.077513295799
aceE-M3,C,Valine,6234.797572476909
aceE-M4,A,Valine,3458.0557243827197
aceE-M4,B,Valine,3291.0854869655095
aceE-M4,C,Valine,2900.57392453356
WT,A,Valine,ND
WT,B,Valine,5.90751232905633
WT,C,Valine,673.328422423612
sucB-M5,A,Glutamine,307.741345045732
sucB-M5,B,Glutamine,14.465011651540099
sucB-M5,C,Glutamine,14.902798145288099
sucB-M6,A,Glutamine,17.9287472247349
sucB-M6,B,Glutamine,18.524878260564503
sucB-M6,C,Glutamine,15.755436527363102
sucB-M7,A,Glutamine,13.371888607607598
sucB-M7,B,Glutamine,17.655413501119
sucB-M7,C,Glutamine,13.2472552157654
sucB,A,Glutamine,16.183913886438
sucB,B,Glutamine,16.1678096451553
sucB,C,Glutamine,17.315809122984202
WT,A,Glutamine,6.738113343484479
WT,B,Glutamine,42.9460411715457
WT,C,Glutamine,323.797974281676
aceE,A,Pyruvate,3964.2324707827197
aceE,B,Pyruvate,3613.5708207653597
aceE,C,Pyruvate,3231.01108156602
aceE-M2,A,Pyruvate,4606.76659719377
aceE-M2,B,Pyruvate,4228.95522401807
aceE-M2,C,Pyruvate,5300.77509952956
aceE-M3,A,Pyruvate,5140025.006277859
aceE-M3,B,Pyruvate,5129656.61415605
aceE-M3,C,Pyruvate,5514531.45538377
aceE-M4,A,Pyruvate,6356350.28579092
aceE-M4,B,Pyruvate,5553328.12149977
aceE-M4,C,Pyruvate,8131514.076136429
WT,A,Pyruvate,684.612977204061
WT,B,Pyruvate,575.595218464302
WT,C,Pyruvate,620.481073594265
aceE,A,Lactate,2300665.55664943
aceE,B,Lactate,2212509.9877897003
aceE,C,Lactate,2270621.9983741604
aceE-M2,A,Lactate,582737.5228916031
aceE-M2,B,Lactate,612255.0899425071
aceE-M2,C,Lactate,511313.986291142
aceE-M3,A,Lactate,2896341.33751815
aceE-M3,B,Lactate,3806188.97986098
aceE-M3,C,Lactate,3604152.10639852
aceE-M4,A,Lactate,326755.929294691
aceE-M4,B,Lactate,251916.32585963397
aceE-M4,C,Lactate,325327.256776034
WT,A,Lactate,2850.15446063782
WT,B,Lactate,3407.3119111701
WT,C,Lactate,2841.0049652086304
aceE,A,Fructose-6-phosphate,5241.27950772216
aceE,B,Fructose-6-phosphate,4058.28305655369
aceE,C,Fructose-6-phosphate,4349.51668401165
aceE-M2,A,Fructose-6-phosphate,5061.2660297064795
aceE-M2,B,Fructose-6-phosphate,4801.11284750233
aceE-M2,C,Fructose-6-phosphate,4908.66211691033
aceE-M3,A,Fructose-6-phosphate,5618.70401531632
aceE-M3,B,Fructose-6-phosphate,5807.24194702215
aceE-M3,C,Fructose-6-phosphate,6269.06760205012
aceE-M4,A,Fructose-6-phosphate,2984.39866011077
aceE-M4,B,Fructose-6-phosphate,4674.34887983715
aceE-M4,C,Fructose-6-phosphate,7012.728962371941
WT,A,Fructose-6-phosphate,3071.17668009248
WT,B,Fructose-6-phosphate,3312.57842160137
WT,C,Fructose-6-phosphate,3373.0275938782297
sucB-M5,A,Citrate,6698.44198359704
sucB-M5,B,Citrate,17930.667883652397
sucB-M5,C,Citrate,15002.092841774398
sucB-M6,A,Citrate,16637.8793924302
sucB-M6,B,Citrate,16947.5144081933
sucB-M6,C,Citrate,22464.2594697839
sucB-M7,A,Citrate,15415.5731845579
sucB-M7,B,Citrate,53673.248688261294
sucB-M7,C,Citrate,11963.225815668
sucB,A,Citrate,20489.124554440303
sucB,B,Citrate,21041.4610098675
sucB,C,Citrate,25781.3328115026
WT,A,Citrate,5377.244197831819
WT,B,Citrate,3669.63843733616
WT,C,Citrate,4348.75682794182
sucB-M5,A,Isocitrate,147.96029698015002
sucB-M5,B,Isocitrate,362.095771980635
sucB-M5,C,Isocitrate,271.239398362712
sucB-M6,A,Isocitrate,926.967531136693
sucB-M6,B,Isocitrate,958.850136219853
sucB-M6,C,Isocitrate,1051.50938502833
sucB-M7,A,Isocitrate,757.27591445616
sucB-M7,B,Isocitrate,1544.46770298905
sucB-M7,C,Isocitrate,690.3670576712
sucB,A,Isocitrate,850.109994173124
sucB,B,Isocitrate,1115.0897399967098
sucB,C,Isocitrate,1014.55868634757
WT,A,Isocitrate,207.407692836654
WT,B,Isocitrate,144.751033571449
WT,C,Isocitrate,212.61402333085903
sucB-M5,A,Cis-aconitate,8.92307111563826
sucB-M5,B,Cis-aconitate,7.4599834620922705
sucB-M5,C,Cis-aconitate,7.1780849330449294
sucB-M6,A,Cis-aconitate,101.817252918981
sucB-M6,B,Cis-aconitate,105.126355551072
sucB-M6,C,Cis-aconitate,96.8914402597206
sucB-M7,A,Cis-aconitate,70.8741455911425
sucB-M7,B,Cis-aconitate,73.91771469137
sucB-M7,C,Cis-aconitate,83.5791476239574
sucB,A,Cis-aconitate,121.028107873419
sucB,B,Cis-aconitate,125.50382461173298
sucB,C,Cis-aconitate,100.29817745106499
WT,A,Cis-aconitate,7.496302688733921
WT,B,Cis-aconitate,8.18454178751496
WT,C,Cis-aconitate,12.136873580428901
