Strain,Replicate,Metabolite,Counts
sucB-M7,B,Adenosine,8018.00056783735
sucB-M5,B,Adenosine,7711.12290581512
sucB-M5,C,Adenosine,7680.33115020385
sucB,C,Adenosine,10594.1840092011
sucB,A,Adenosine,10096.7886630554
sucB-M6,C,Adenosine,10430.8159590747
sucB-M5,A,Adenosine,13877.2874109679
sucB-M6,B,Adenosine,12538.9765846982
sucB-M7,A,Adenosine,9411.96875265953
sucB-M6,A,Adenosine,11249.9513083981
sucB,B,Adenosine,11653.4291029282
sucB-M7,C,Adenosine,9181.57999072176
WT,A,Adenosine,8595.30714159037
WT,C,Adenosine,10170.6244260848
WT,B,Adenosine,8484.73757042058
aceE,A,Valine,3674.09490313626
aceE-M4,C,Valine,41585.6947562225
aceE-M3,B,Valine,152309.39980265
aceE-M3,A,Valine,14486.5721882613
aceE-M4,A,Valine,49094.4089817698
aceE,B,Valine,4727.76076877308
aceE-M4,B,Valine,47762.358058185
aceE,C,Valine,4774.94549758414
aceE-M2,B,Valine,7438.40172525839
aceE-M3,C,Valine,89278.6283747987
aceE-M2,C,Valine,7842.5303089452
aceE-M2,A,Valine,7555.20400641151
WT,A,Valine,0
WT,C,Valine,9894.14945903878
WT,B,Valine,305.280933708911
sucB-M7,B,Glutamine,3362.43266374206
sucB-M5,B,Glutamine,1740.33528460842
sucB-M5,C,Glutamine,2080.5784079895
sucB,C,Glutamine,7119.16065172958
sucB,A,Glutamine,6790.17304542542
sucB-M6,C,Glutamine,4801.1431653061
sucB-M5,A,Glutamine,44023.0164658908
sucB-M6,B,Glutamine,5733.21083527556
sucB-M7,A,Glutamine,3230.60075331116
sucB-M6,A,Glutamine,5572.54385842895
sucB,B,Glutamine,7060.93265623474
sucB-M7,C,Glutamine,2985.84098817443
WT,A,Glutamine,406.393042396545
WT,C,Glutamine,30285.2224501636
WT,B,Glutamine,3741.3861980896
aceE,A,Pyruvate,488.894436783994
aceE-M4,C,Pyruvate,275683.037174559
aceE-M3,B,Pyruvate,227505.104632061
aceE-M3,A,Pyruvate,216026.176756725
aceE-M4,A,Pyruvate,269275.808903298
aceE,B,Pyruvate,430.964795171417
aceE-M4,B,Pyruvate,234351.783399533
aceE,C,Pyruvate,414.084421839328
aceE-M2,B,Pyruvate,559.603697776074
aceE-M3,C,Pyruvate,237102.086568977
aceE-M2,C,Pyruvate,632.439336707305
aceE-M2,A,Pyruvate,587.454673423258
WT,A,Pyruvate,93.4674104771262
WT,C,Pyruvate,103.693760496648
WT,B,Pyruvate,75.7416881357162
aceE,A,Lactate,43921.4241180569
aceE-M4,C,Lactate,12426.406775045
aceE-M3,B,Lactate,54828.8102545715
aceE-M3,A,Lactate,48875.0142097429
aceE-M4,A,Lactate,12656.7827217903
aceE,B,Lactate,42868.9653482917
aceE-M4,B,Lactate,10457.7845632635
aceE,C,Lactate,43214.0032324841
aceE-M2,B,Lactate,19881.6280168795
aceE-M3,C,Lactate,54133.6404479679
aceE-M2,C,Lactate,17349.8101416688
aceE-M2,A,Lactate,19314.3868769814
WT,A,Lactate,206.429876720902
WT,C,Lactate,216.264668072481
WT,B,Lactate,241.945952543616
aceE,A,Fructose-6-phosphate,22507.8448271408
aceE-M4,C,Fructose-6-phosphate,30719.5027805014
aceE-M3,B,Fructose-6-phosphate,23664.0685273396
aceE-M3,A,Fructose-6-phosphate,23701.6764368947
aceE-M4,A,Fructose-6-phosphate,13714.2822598719
aceE,B,Fructose-6-phosphate,18178.8975853152
aceE-M4,B,Fructose-6-phosphate,20795.7116100673
aceE,C,Fructose-6-phosphate,17351.9843119679
aceE-M2,B,Fructose-6-phosphate,18703.6120075817
aceE-M3,C,Fructose-6-phosphate,25158.8146859851
aceE-M2,C,Fructose-6-phosphate,18236.0502524715
aceE-M2,A,Fructose-6-phosphate,18715.6776083748
WT,A,Fructose-6-phosphate,12387.2694871557
WT,C,Fructose-6-phosphate,13374.9474531762
WT,B,Fructose-6-phosphate,12244.0287953145
sucB-M7,B,Citrate,2453529.33032885
sucB-M5,B,Citrate,1220035.6757793
sucB-M5,C,Citrate,972843.509917236
sucB,C,Citrate,1546637.64545508
sucB,A,Citrate,1382088.88243787
sucB-M6,C,Citrate,1403023.1852392
sucB-M5,A,Citrate,569110.776504509
sucB-M6,B,Citrate,1166471.61571127
sucB-M7,A,Citrate,1062983.68683376
sucB-M6,A,Citrate,1108022.83752528
sucB,B,Citrate,1327017.69870121
sucB-M7,C,Citrate,853580.393039131
WT,A,Citrate,424762.221108497
WT,C,Citrate,405262.743165352
WT,B,Citrate,361297.704368591
sucB-M7,B,Isocitrate,39709.8982181168
sucB-M5,B,Isocitrate,13037.6727435192
sucB-M5,C,Isocitrate,9149.06927034569
sucB,C,Isocitrate,33103.3659165458
sucB,A,Isocitrate,30685.4985423497
sucB-M6,C,Isocitrate,35387.0191837673
sucB-M5,A,Isocitrate,5789.71585728073
sucB-M6,B,Isocitrate,34744.562984192
sucB-M7,A,Isocitrate,27237.7758817959
sucB-M6,A,Isocitrate,32443.5259639282
sucB,B,Isocitrate,37709.7255092965
sucB-M7,C,Isocitrate,24959.9942294216
WT,A,Isocitrate,7180.53084589991
WT,C,Isocitrate,8207.5117295729
WT,B,Isocitrate,5606.02965448952
sucB-M7,B,Cis-aconitate,3507.75625566522
aceE,A,Cis-aconitate,802.349807369593
aceE-M4,C,Cis-aconitate,291.797238403319
sucB-M5,B,Cis-aconitate,354.012617483808
sucB-M5,C,Cis-aconitate,340.635156710605
sucB,C,Cis-aconitate,4759.63794138876
aceE-M3,B,Cis-aconitate,757.111497390746
sucB,A,Cis-aconitate,5743.37429501019
