Strain,Replicate,Metabolite,Concentration [nM],Label,Concentration [nΜ],Concentration [μΜ],AUC [gDW/L*h],Rate [mmol/gDW/h]
sucB-M5,A,Adenosine,1.4348350939366,ΔsucB-M5,,0.0014348350939366,1.2717674033618545,1.128221316369396e-06
sucB-M5,B,Adenosine,0.46351507721815405,ΔsucB-M5,,0.00046351507721815403,1.3407972866946072,3.4570108533023056e-07
sucB-M5,C,Adenosine,0.45146475812297393,ΔsucB-M5,,0.00045146475812297396,1.3730577500282966,3.288024543131343e-07
sucB-M6,A,Adenosine,1.00969596622302,ΔsucB-M6,,0.0010096959662230201,1.3453656400018525,7.504992964006646e-07
sucB-M6,B,Adenosine,1.23443714837702,ΔsucB-M6,,0.00123443714837702,1.4283064533350887,8.642663102827934e-07
sucB-M6,C,Adenosine,0.887426939770161,ΔsucB-M6,,0.000887426939770161,1.3644267800019232,6.504027572435292e-07
sucB-M7,A,Adenosine,0.765622052603707,ΔsucB-M7,,0.000765622052603707,1.3696410000085188,5.589946946673945e-07
sucB-M7,B,Adenosine,0.527801310092769,ΔsucB-M7,,0.000527801310092769,1.3158380000086298,4.0111420257608264e-07
sucB-M7,C,Adenosine,0.707251315197436,ΔsucB-M7,,0.000707251315197436,1.3001815000082269,5.439635275482392e-07
sucB,A,Adenosine,0.73288470471003,ΔsucB,,0.00073288470471003,2.0592501400160215,3.558988247558541e-07
sucB,B,Adenosine,0.964845178660882,ΔsucB,,0.0009648451786608821,2.1355408333503245,4.5180366659025345e-07
sucB,C,Adenosine,0.799167556223034,ΔsucB,,0.000799167556223034,2.1086105000162427,3.79001980791084e-07
WT,A,Adenosine,0.619180767498972,E. coli WT,,0.000619180767498972,2.0394393333560843,3.0360342539831934e-07
WT,B,Adenosine,0.62860231426598,E. coli WT,,0.00062860231426598,2.0583972500232512,3.053843538990734e-07
WT,C,Adenosine,0.8909339115352489,E. coli WT,,0.000890933911535249,2.212482583354886,4.026851638236565e-07
aceE,A,Valine,237.853573020849,ΔaceE,,0.237853573020849,4.307984873352873,5.521225817019393e-05
aceE,B,Valine,315.886953435085,ΔaceE,,0.315886953435085,4.32662908335389,7.300994546780462e-05
aceE,C,Valine,323.87729515492305,ΔaceE,,0.32387729515492303,4.292629970018539,7.544961886233215e-05
aceE-M2,A,Valine,537.613769203005,ΔaceE-M2,,0.537613769203005,1.5996300833580988,0.00033608630820095226
aceE-M2,B,Valine,500.49090692389996,ΔaceE-M2,,0.5004909069239,1.5333134166917877,0.000326411353005531
aceE-M2,C,Valine,527.1557025490699,ΔaceE-M2,,0.52715570254907,1.5236542500256178,0.0003459811847341395
aceE-M3,A,Valine,995.0534442267781,ΔaceE-M3,,0.9950534442267781,1.9918499166636223,0.0004995624599535627
aceE-M3,B,Valine,10575.077513295799,ΔaceE-M3,,10.575077513295799,2.4725736666648808,0.004276951443699529
aceE-M3,C,Valine,6234.797572476909,ΔaceE-M3,,6.23479757247691,2.200026583332501,0.0028339646528419307
aceE-M4,A,Valine,3458.0557243827197,ΔaceE-M4,,3.45805572438272,1.8544446666667436,0.001864739232472422
aceE-M4,B,Valine,3291.0854869655095,ΔaceE-M4,,3.2910854869655095,1.5363120833288253,0.0021421985302846184
aceE-M4,C,Valine,2900.57392453356,ΔaceE-M4,,2.90057392453356,1.9243510833336388,0.0015072997592044208
WT,A,Valine,,E. coli WT,,,2.0394393333560843,
WT,B,Valine,5.90751232905633,E. coli WT,,0.00590751232905633,2.0583972500232512,2.8699573558940577e-06
WT,C,Valine,673.328422423612,E. coli WT,,0.673328422423612,2.212482583354886,0.0003043316261512053
sucB-M5,A,Glutamine,,ΔsucB-M5,,,1.2717674033618545,
sucB-M5,B,Glutamine,14.465011651540099,ΔsucB-M5,,0.0144650116515401,1.3407972866946072,1.0788365844026942e-05
sucB-M5,C,Glutamine,14.902798145288099,ΔsucB-M5,,0.0149027981452881,1.3730577500282966,1.085373003792519e-05
sucB-M6,A,Glutamine,17.9287472247349,ΔsucB-M6,,0.0179287472247349,1.3453656400018525,1.3326300814929546e-05
sucB-M6,B,Glutamine,18.524878260564503,ΔsucB-M6,,0.018524878260564502,1.4283064533350887,1.2969820459264187e-05
