Timestamp,Time [h],aceE-M2,aceE-M3,aceE-M4,sucB-M5,sucB-M6,sucB-M7
2024-04-02 10:45:00,0.0,,,,,,
2024-04-03 08:30:00,21.75,,,,60.0,60.0,60.0
2024-04-03 22:15:00,35.500000000116415,,,,45.0,45.0,45.0
2024-04-03 23:00:00,36.250000000116415,21.0,21.0,,,,
2024-04-04 22:00:00,59.25,15.0,,,,,
2024-04-05 08:00:00,69.25000000011642,0.0,,,60.0,60.0,60.0
2024-04-05 16:30:00,77.75000000005821,,,21.0,,,
2024-04-06 10:30:00,95.75000000005821,9.0,,,66.0,66.0,66.0
2024-04-06 18:00:00,103.25000000005821,0.0,15.0,,75.0,75.0,75.0
2024-04-07 10:30:00,119.75000000005821,,,,83.0,83.0,83.0
2024-04-09 11:00:00,168.25000000011642,15.0,,,90.0,90.0,90.0
2024-04-10 11:50:00,193.08333333337214,,,,83.0,83.0,83.0
2024-04-13 15:30:00,268.7500000001164,,,,,,15.0
2024-04-16 07:30:00,332.7500000000582,,,,,,20.0
2024-04-16 12:45:00,338.0000000000582,,,,60.0,60.0,30.0
2024-04-17 07:30:00,356.7500000000582,,,,,,60.0
2024-04-22 08:00:00,477.2500000001164,30.0,30.0,30.0,,,
2024-05-02 07:15:00,716.5000000001164,30.0,30.0,30.0,60.0,60.0,60.0
2024-05-16 07:30:00,1052.7500000000582,30.0,30.0,30.0,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
