,Sample_id,Sample #,Carbon source,Timepoint,Leucine,Glutamate,Aspartate,Fructose-6-phosphate,Cis-aconitate
1,1A_Gal_T4,1A,Galactose,T4,708.858,44476.065,827.838,3585.347,65.228
2,1B_Gal_T4,1B,Galactose,T4,286.788,45059.150,1080.432,3454.429,115.694
3,1C_Gal_T4,1C,Galactose,T4,279.007,50333.564,1205.710,4205.722,61.099
4,1D_Gal_T4,1D,Galactose,T4,358.678,42252.765,1437.622,4742.555,71.363
5,2A_Mal_T4,2A,L-malate,T4,1731.163,46982.328,2745.365,2930.241,242.231
6,2B_Mal_T4,2B,L-malate,T4,819.044,51853.562,2717.469,2401.902,139.247
7,2C_Mal_T4,2C,L-malate,T4,853.235,52425.624,2938.685,1784.546,62.304
8,2D_Mal_T4,2D,L-malate,T4,772.286,37171.365,2068.555,1910.129,98.805
9,3A_Ala_T4,3A,L-alanine,T4,,,,,
10,3B_Ala_T4,3B,L-alanine,T4,687.376,55161.650,2276.074,1115.441,48.503
11,3C_Ala_T4,3C,L-alanine,T4,492.936,39497.351,2030.688,1057.867,54.285
12,3D_Ala_T4,3D,L-alanine,T4,2072.237,81703.211,5311.116,1628.485,135.894
