,Plate,Well,Sample_id,Timepoint,Live/Dead,Carbon source,Dilution,Record Time:,Volume(μL):,Abort(%):,All Events  Events/μL(V),P1 Events/μL(V),Q1-UR Events/μL(V),Q1-UL Events/μL(V),Q1-LL Events/μL(V),Q1-LR Events/μL(V),P1 % Parent,Q1-UR % Parent,Q1-UL % Parent,Q1-LL % Parent,Q1-LR % Parent,Dead fraction,Live fraction,Unclassified,OD
0,1,A1,1A-Gal-T4,T4,Live,Galactose,1X,03.12.2024 15:26,7.3,7.76,9623.37,9611.27,21.31,9452.62,136.51,0.82,99.87%,0.22%,98.35%,1.42%,0.01%,0.002217189,0.983493336,0.014288434,1.22
1,1,B1,1B-Gal-T4,T4,Live,Galactose,1X,03.12.2024 15:43,7.7,7.28,9141.97,9134.92,216.4,8847.08,71.05,0.39,99.92%,2.37%,96.85%,0.78%,0.00%,0.023689315,0.968490146,0.007820539,1.171
2,1,C1,1C-Gal-T4,T4,Live,Galactose,1X,03.12.2024 15:59,8.1,7.5,8694.05,8685.36,20.24,8595.56,68.81,0.75,99.90%,0.23%,98.97%,0.79%,0.01%,0.002330358,0.989660762,0.008008879,1.206
3,1,D1,1D-Gal-T4,T4,Live,Galactose,1X,03.12.2024 16:16,6.3,6.9,11099.12,11092.93,34.41,10979.72,75.47,3.33,99.94%,0.31%,98.98%,0.68%,0.03%,0.003101976,0.989794401,0.007103624,1.212
4,1,E1,2A-Mal-T4,T4,Live,L-malate,1X,03.12.2024 16:33,10,7.41,6766.63,6761.42,50.9,6626.72,78.6,5.2,99.92%,0.75%,98.01%,1.16%,0.08%,0.007528004,0.980078149,0.012393846,1.091
5,1,F1,2B-Mal-T4,T4,Live,L-malate,1X,03.12.2024 16:50,9.9,7.1,7089.42,7083.75,53.88,6932.34,87.4,10.13,99.92%,0.76%,97.86%,1.23%,0.14%,0.007606141,0.978625728,0.013768131,1.092
6,1,G1,2C-Mal-T4,T4,Live,L-malate,1X,03.12.2024 17:08,9.9,7,7093.2,7087.42,48.13,6938.56,90.59,10.13,99.92%,0.68%,97.90%,1.28%,0.14%,0.006790906,0.978996588,0.014211095,1.114
7,1,H1,2D-Mal-T4,T4,Live,L-malate,1X,03.12.2024 17:25,9.4,6.69,7410.85,7403.97,44.15,7265.6,79.3,14.93,99.91%,0.60%,98.13%,1.07%,0.20%,0.005963017,0.981311378,0.012726956,1.109
8,1,A4,1A-Gal-T4,T4,Dead,Galactose,1X,03.12.2024 15:30,1.6,3.65,44165.66,44151.77,44084.9,14.51,52.37,0,99.97%,99.85%,0.03%,0.12%,0.00%,0.998485451,0.000328639,0.001186136,1.22
9,1,B4,1B-Gal-T4,T4,Dead,Galactose,1X,03.12.2024 15:47,1.7,3.81,41939.7,41926.52,41850.43,11.38,64.71,0,99.97%,99.82%,0.03%,0.15%,0.00%,0.998185158,0.000271427,0.001543415,1.171
10,1,C4,1C-Gal-T4,T4,Dead,Galactose,1X,03.12.2024 16:04,1.4,3.76,48926.07,48914.2,48847.79,16.77,49.63,0,99.98%,99.86%,0.03%,0.10%,0.00%,0.998642317,0.000342845,0.001014634,1.206
11,1,D4,1D-Gal-T4,T4,Dead,Galactose,1X,03.12.2024 16:20,1.5,3.54,46015.64,46008.41,45924.26,13.8,70.34,0,99.98%,99.82%,0.03%,0.15%,0.00%,0.998170987,0.000299945,0.001528851,1.212
12,1,E4,2A-Mal-T4,T4,Dead,L-malate,1X,03.12.2024 16:37,1.7,5.06,42422.8,42415.53,42307.65,18.79,89.09,0,99.98%,99.75%,0.04%,0.21%,0.00%,0.997456592,0.000442998,0.00210041,1.091
13,1,F4,2B-Mal-T4,T4,Dead,L-malate,1X,03.12.2024 16:54,2.4,3.97,28686.57,28677.15,28598.46,15.16,60.65,2.87,99.97%,99.73%,0.05%,0.21%,0.01%,0.997256003,0.000528644,0.002215004,1.092
14,1,G4,2C-Mal-T4,T4,Dead,L-malate,1X,03.12.2024 17:13,1.3,6.84,55649.8,55640.27,55555.99,13.51,69.96,0.79,99.98%,99.85%,0.02%,0.13%,0.00%,0.99848527,0.00024281,0.001271561,1.114
15,1,H4,2D-Mal-T4,T4,Dead,L-malate,1X,03.12.2024 17:30,1.2,7.92,57899.38,57888.62,57795.98,22.33,69.48,0.83,99.98%,99.84%,0.04%,0.12%,0.00%,0.998399685,0.000385741,0.001214574,1.109
16,1,A7,1A-Gal-T4,T4,Live,Galactose,0.1X,03.12.2024 15:34,10,7.92,996.9,989.8,4.7,961.5,23.6,0,99.29%,0.47%,97.14%,2.38%,0.00%,0.004748434,0.971408365,0.023843201,1.22
17,1,B7,1B-Gal-T4,T4,Live,Galactose,0.1X,03.12.2024 15:51,10,7.87,1081.6,1075.5,26.5,1019.4,29.6,0,99.44%,2.46%,94.78%,2.75%,0.00%,0.024639702,0.947838215,0.027522083,1.171
18,1,C7,1C-Gal-T4,T4,Live,Galactose,0.1X,03.12.2024 16:07,10,7.4,1031.33,1027.13,6.4,998.62,22.1,0,99.59%,0.62%,97.22%,2.15%,0.00%,0.006230954,0.972243046,0.021516264,1.206
19,1,D7,1D-Gal-T4,T4,Live,Galactose,0.1X,03.12.2024 16:24,10,7.13,1332.02,1325.42,8.5,1286.12,30.8,0,99.50%,0.64%,97.03%,2.32%,0.00%,0.006413062,0.970349021,0.023237917,1.212
20,1,E7,2A-Mal-T4,T4,Live,L-malate,0.1X,03.12.2024 16:41,10,8.56,825.9,820.5,9.1,789.3,22.1,0,99.35%,1.11%,96.20%,2.69%,0.00%,0.011090798,0.961974406,0.026934796,1.091
21,1,F7,2B-Mal-T4,T4,Live,L-malate,0.1X,03.12.2024 16:58,10,6.73,842.6,836.4,11.3,792.5,32.6,0,99.26%,1.35%,94.75%,3.90%,0.00%,0.013510282,0.947513152,0.038976566,1.092
22,1,G7,2C-Mal-T4,T4,Live,L-malate,0.1X,03.12.2024 17:16,10,6.34,868.4,863.5,10.9,789.4,60.1,3.1,99.44%,1.26%,91.42%,6.96%,0.36%,0.012623046,0.91418645,0.073190504,1.114
23,1,H7,2D-Mal-T4,T4,Live,L-malate,0.1X,03.12.2024 17:33,10,11.05,819.46,815.56,17.1,767.56,30.9,0,99.52%,2.10%,94.11%,3.79%,0.00%,0.020967188,0.941144735,0.037888077,1.109
24,1,A10,1A-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 15:38,10,3.65,5180.66,5173.36,5111.66,42,19.7,0,99.86%,98.81%,0.81%,0.38%,0.00%,0.988073515,0.008118515,0.00380797,1.22
25,1,B10,1B-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 15:55,10,3.97,4200.85,4195.75,4139.75,33.9,22.1,0,99.88%,98.67%,0.81%,0.53%,0.00%,0.986653161,0.008079604,0.005267235,1.171
26,1,C10,1C-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 16:12,10,3.69,5303.08,5297.18,5227.88,39.6,29.7,0,99.89%,98.69%,0.75%,0.56%,0.00%,0.986917567,0.007475676,0.005606757,1.206
27,1,D10,1D-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 16:28,10,3.28,5155.6,5148.2,5074.6,42.3,31.3,0,99.86%,98.57%,0.82%,0.61%,0.00%,0.985703741,0.008216464,0.006079795,1.212
28,1,E10,2A-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 16:45,10,3.36,4596.04,4590.44,4529.34,36.8,24.3,0,99.88%,98.67%,0.80%,0.53%,0.00%,0.986689729,0.008016661,0.00529361,1.091
29,1,F10,2B-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 17:04,10,3.88,3226.82,3221.42,3156.61,35.8,28.9,0.1,99.83%,97.99%,1.11%,0.90%,0.00%,0.979881543,0.011113112,0.009002241,1.092
30,1,G10,2C-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 17:21,10,4.57,6535.05,6529.55,6456.75,46.7,25.4,0.7,99.92%,98.89%,0.72%,0.39%,0.01%,0.988850686,0.007152101,0.003997213,1.114
31,1,H10,2D-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 17:38,9.6,3.44,7303.26,7298.46,7237.64,32.45,27.23,1.15,99.93%,99.17%,0.44%,0.37%,0.02%,0.991666735,0.004446143,0.003888492,1.109
32,2,A1,3A-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 09:46,10,9.55,4721.71,4705.11,10.8,4144.61,549,0.7,99.65%,0.23%,88.09%,11.67%,0.01%,0.002295377,0.880874198,0.116830425,1.08
33,2,B1,3B-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 10:03,10,11.22,6597.7,6591.2,13.4,6512.9,64.8,0.1,99.90%,0.20%,98.81%,0.98%,0.00%,0.002033014,0.988120524,0.009846462,1.076
34,2,C1,3C-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 10:20,10,8.97,6484.31,6478.31,24.6,6394.11,59.1,0.5,99.91%,0.38%,98.70%,0.91%,0.01%,0.003797287,0.987002783,0.00919993,1.046
