,Tube #,Parallell,Tube,Medium,0,2,4,9,10,11,12,13,14,15,16,17,18,22.5,29,32.5,34,36,37,40,43
1,1,A,1A,M9 20 mM Galactose,0.014,0.034,0.059,0.403,0.558,0.71,0.943,1.22,1.1368,1.479,1.62,1.579,1.669,1.706,1.729,1.714,1.635,,1.685,1.689,1.647
2,1,B,1B,M9 20 mM Galactose,0.012,0.03,0.063,0.409,0.531,0.718,0.907,1.171,1.294,1.451,1.544,1.596,1.616,1.658,1.734,1.703,1.676,,1.652,1.628,1.597
3,1,C,1C,M9 20 mM Galactose,0.013,0.032,0.065,0.394,0.606,0.775,0.967,1.206,1.327,1.437,1.541,1.608,1.629,1.669,1.735,1.708,1.703,,1.665,1.641,1.616
4,1,D,1D,M9 20 mM Galactose,0.015,0.033,0.066,0.439,0.606,0.755,0.933,1.212,1.291,1.429,1.556,1.621,1.622,1.668,1.743,1.701,1.687,,1.658,1.638,1.614
5,2,A,2A,M9 30 mM L-malic acid,0.01,0.022,0.043,0.299,0.436,0.578,0.753,0.941,1.091,1.293,1.467,1.555,1.633,1.794,1.701,1.681,1.658,,1.631,1.619,1.592
6,2,B,2B,M9 30 mM L-malic acid,0.009,0.02,0.04,0.316,0.409,0.545,0.725,0.89,1.092,1.255,1.485,1.575,1.609,1.832,1.717,1.684,1.668,,1.644,1.643,1.609
7,2,C,2C,M9 30 mM L-malic acid,0.012,0.02,0.042,0.305,0.449,0.583,0.763,0.959,1.114,1.248,1.46,1.567,1.622,1.832,1.727,1.706,1.67,,1.606,1.639,1.618
8,2,D,2D,M9 30 mM L-malic acid,0.009,0.023,0.043,0.319,0.441,0.573,0.757,0.94,1.109,1.264,1.436,1.551,1.612,1.813,1.744,1.685,1.669,,1.642,1.636,1.569
9,3,A,3A,M9 40 mM L-alanine,0.012,0.013,0.016,0.023,0.026,0.032,0.034,,0.047,,0.066,,0.086,0.23,0.705,0.963,1.08,1.236,1.36,1.572,1.679
10,3,B,3B,M9 40 mM L-alanine,0.009,0.012,0.015,0.021,0.024,0.029,0.033,,0.043,,0.06,,0.095,0.221,0.693,0.953,1.076,1.215,1.337,1.613,1.679
11,3,C,3C,M9 40 mM L-alanine,0.011,0.013,0.015,0.021,0.024,0.03,0.031,,0.042,,0.062,,0.085,0.214,0.659,0.925,1.046,1.245,1.319,1.539,1.672
12,3,D,3D,M9 40 mM L-alanine,0.01,0.014,0.017,0.022,0.025,0.03,0.033,,0.043,,0.061,,0.085,0.214,0.655,0.894,1.022,1.203,1.293,1.478,1.631
