,Metabolite,InChIKey,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
0,2-phosphoglycerate,GXIURPTVHJPJLF-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,,,,
1,3-phosphoglycerate,OSJPPGNTCRNQQC-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,,,,
2,Acetate,QTBSBXVTEAMEQO-UHFFFAOYSA-M,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids,,,,
3,Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alanine and derivatives,,
4,Alpha-aminoadipate,OYIFNHCXNCRBQI-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,,
5,Alpha-aminobutyrate,QWCKQJZIFLGMSD-UHFFFAOYSA-M,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,,
6,Alpha-ketoglutarate,KPGXRSRHYNQIFN-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives,Gamma-keto acids and derivatives,,,,
7,Arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,
8,Asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Asparagine and derivatives,,
9,Aspartate,CKLJMWTZIZZHCS-REOHCLBHSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Aspartic acid and derivatives,,
10,Beta-alanine,UCMIRNVEIXFBKS-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Beta amino acids and derivatives,,,
11,Cis-aconitate,GTZCVFVGUGFEME-IWQZZHSRSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,,,,
12,Citrate,KRKNYBCHXYNGOX-UHFFFAOYSA-K,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,,,,
13,Creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,,,
14,Dihydroxyacetone phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Monosaccharide phosphates,,,
15,Erythrose-4-phosphate,NGHMDNPXVRFFGS-IUYQGCFVSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Monosaccharide phosphates,,,
16,Ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols,,,,
17,Formate,BDAGIHXWWSANSR-UHFFFAOYSA-M,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids,,,,
18,"Fructose-1,6-bisphosphate",RNBGYGVWRKECFJ-ARQDHWQXSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,Hexose phosphates,,
19,Fructose-6-phosphate,GSXOAOHZAIYLCY-HSUXUTPPSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,Hexose phosphates,,
20,Fumarate,VZCYOOQTPOCHFL-OWOJBTEDSA-L,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,,,,
