JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper
JW0401,b0411,tsx,"nucleoside channel, receptor of phage T6 and colicin K",0.92,Outer membrane,Nucleoside,Nucleoside,Porin,Facilitated diffusion,Porin,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG11035,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC514505/
JW2203,b2215,ompC,outer membrane porin,0.89,Outer membrane,Unspecific,Unspecific,Porin,Facilitated diffusion,Porin,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG10670,"OpmC is reciprocally regulated with ompF. Both are outer membrane porins that allows diffusion of different molecules, but ompF is only expressed in low osmolarity media, while ompC is expressed in high osmolarity media",10.1074/jbc.M602112200
JW0912,b0929,ompF,outer membrane porin,0.77,Outer membrane,Unspecific,Unspecific,Porin,Facilitated diffusion,Porin,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG10671,,10.1074/jbc.M602112200
JW1469,b1473,yddG,aromatic amino acid exporter,0.78,Inner membrane,broad range of amino acids,Amino acid,DMT,Uniport,Uniport,Export,https://www.tcdb.org/search/result.php?tc=2.A.7.17.2,https://biocyc.org/gene?orgid=ECOLI&id=EG12713,"Overexpression of YddG increases accumulation of aromatic amaino acids (phe, tyr, trp) when the respective pathways are dysregulated, but not in the wt. Deletion reduced the accumlation of these amino acids in producing strains.","https://academic.oup.com/femsle/article/275/2/312/600271?login=true, https://www.nature.com/articles/nature17991"
JW0590,b0598,cstA,carbon starvation protein,0.96,Inner membrane,Pyruvate,Organic acid,MFS,Proton symport,Proton symport,Import,https://www.tcdb.org/search/result.php?tc=2.A.114.1.1,https://biocyc.org/gene?orgid=ECOLI&id=EG10167,The small protein YbdD and the inner membrane protein CstA are implicated in constitutive pyruvate import,https://www.mdpi.com/1422-0067/21/23/9068
JW3641,b3666,uhpT,hexose phosphate transporter,0.77,Inner membrane,"glucose 6-phosphate, but potentially also fructose 6-phosphate, phosphoenolpyruvate, glyceraldehyde 3-phosphate",Phosphorylated sugar,MFS,hexose-6-phosphate:phosphate antiporter,Antiport (other),Import,https://www.tcdb.org/search/result.php?tc=2.A.1.4.1,https://biocyc.org/gene?orgid=ECOLI&id=UHPT-MONOMER,,
JW2234,b2240,glpT,sn-glycerol-3-phosphate transporter,0.81,Inner membrane,"glycerol-3-phosphate, potentially also glycerol-2-phosphate",Phosphorylated sugar,MFS,sn-glycerol 3-phosphate:phosphate antiporter,Antiport (other),Import,https://www.tcdb.org/search/result.php?tc=2.A.1.4.3,https://biocyc.org/reaction?orgid=ECOLI&id=TRANS-RXN-22#ENZ,,https://pubmed.ncbi.nlm.nih.gov/11380257/
JW4028,b4067,actP,acetate transporter,0.82,Inner membrane,"Acetate, glycolate",Organic acid,Solute:Sodium Symporter (SSS) Family (TC:2.A.21),Sodium symport,Sodium symport,Import,https://tcdb.org/search/result.php?tc=2.a.21,https://biocyc.org/gene?orgid=ECOLI&id=EG11942#SUMMARY,SatP is probably also an acetate transporter,
JW3729,b3750,rbsC,ribose ABC transporter,0.84,Inner membrane,Ribose,Sugar,ABC,ABC,ABC,Import,https://www.tcdb.org/search/result.php?tc=3.A.1.2.1,https://biocyc.org/gene?orgid=ECOLI&id=EG10816, ATP-binding subunit of a high affinity ribose uptake system;,
JW3628,b3653,gltS,glutamate transporter,0.85,Inner membrane,L and D-glutamate,Amino acid,glutamate:Na+ symporter (ESS) family,Sodium symport,Sodium symport,Import,https://www.tcdb.org/search/result.php?tc=2.A.27.1.1,https://biocyc.org/gene?orgid=ECOLI&id=EG10406,"E. coli contains four transporters for the uptake of glutamate (GltIJKL, GltP, GltS, and GadC). GltS accounts for approximately 25% of the total wild-type transport velocity of glutamate in aerobic growth with succinate and 40 mM NaC",
