,JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper,Mean protein number fraction (C-lim),Std protein number fraction (C-lim),Detected in fraction of conditions (all),Detected in fraction of conditions (C-lim),"Ribosome profiling number fraction (Li et al., 2014)",log10(Mean protein number fraction),log10(Ribosome profiling)
0,JW0401,b0411,tsx,"nucleoside channel, receptor of phage T6 and colicin K",0.92,Outer membrane,Nucleoside,Nucleoside,Porin,Facilitated diffusion,Porin,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG11035,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC514505/,0.0005760887350116304,0.00014946005643299407,1.0,1.0,0.0006980076267581258,-3.2395106169972543,-3.156139832046075
1,JW2203,b2215,ompC,outer membrane porin,0.89,Outer membrane,Unspecific,Unspecific,Porin,Facilitated diffusion,Porin,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG10670,"OpmC is reciprocally regulated with ompF. Both are outer membrane porins that allows diffusion of different molecules, but ompF is only expressed in low osmolarity media, while ompC is expressed in high osmolarity media",10,0.004423494708275324,0.004462576981539501,1.0,1.0,0.009407904881916607,-2.35423448792868,-2.0265070821552214
2,JW0912,b0929,ompF,outer membrane porin,0.77,Outer membrane,Unspecific,Unspecific,Porin,Facilitated diffusion,Porin,Both,,https://biocyc.org/gene?orgid=ECOLI&id=EG10671,,10.1074/jbc.M602112200,0.010955232249033798,0.003789170293153726,1.0,1.0,0.01276179142509975,-1.960378411037585,-1.8940883576346796
3,JW1469,b1473,yddG,aromatic amino acid exporter,0.78,Inner membrane,broad range of amino acids,Amino acid,DMT,Uknown,Unknown,Export,https://www.tcdb.org/search/result.php?tc=2.A.7.17.2,https://biocyc.org/gene?orgid=ECOLI&id=EG12713,"Overexpression of YddG increases accumulation of aromatic amaino acids (phe, tyr, trp) when the respective pathways are dysregulated, but not in the wt. Deleti",,0.0,0.0,0.0,0.0,1.528613615701973e-05,,-4.815702276376127
4,JW0590,b0598,cstA,carbon starvation protein,0.96,Inner membrane,Pyruvate,Organic acid,MFS,Proton symport,Proton symport,Import,https://www.tcdb.org/search/result.php?tc=2.A.114.1.1,https://biocyc.org/gene?orgid=ECOLI&id=EG10167,The small protein YbdD and the inner membrane protein CstA are implicated in constitutive pyruvate import,https://www.mdpi.com/1422-0067/21/23/9068,0.00019968879124328205,0.0001711433947195976,0.958904109589041,0.972972972972973,3.146099710299624e-05,-3.699646311883476,-4.502227517266867
5,JW3641,b3666,uhpT,hexose phosphate transporter,0.77,Inner membrane,"glucose 6-phosphate, but potentially also fructose 6-phosphate, phosphoenolpyruvate, glyceraldehyde 3-phosphate",Phosphorylated sugar,MFS,hexose-6-phosphate:phosphate antiporter,Antiport (other),Import,https://www.tcdb.org/search/result.php?tc=2.A.1.4.1,https://biocyc.org/gene?orgid=ECOLI&id=UHPT-MONOMER,,,2.0776684755214962e-05,9.947630696212345e-05,0.136986301369863,0.05405405405405406,7.109830770706852e-07,-4.682423749723061,-6.148140736291733
6,JW2234,b2240,glpT,sn-glycerol-3-phosphate transporter,0.81,Inner membrane,"glycerol-3-phosphate, potentially also glycerol-2-phosphate",Phosphorylated sugar,MFS,sn-glycerol 3-phosphate:phosphate antiporter,Antiport (other),Import,https://www.tcdb.org/search/result.php?tc=2.A.1.4.3,https://biocyc.org/reaction?orgid=ECOLI&id=TRANS-RXN-22#ENZ,,https://pubmed.ncbi.nlm.nih.gov/11380257/,2.2148873084854253e-05,4.513542217974101e-05,0.4383561643835616,0.3783783783783784,3.554915385353421e-07,-4.6546483653993596,-6.449170731955714
7,JW4028,b4067,actP,acetate transporter,0.82,Inner membrane,"Acetate, glycolate",Organic acid,Solute:Sodium Symporter (SSS) Family (TC:2.A.21),Sodium symport,Sodium symport,Import,https://tcdb.org/search/result.php?tc=2.a.21,https://biocyc.org/gene?orgid=ECOLI&id=EG11942#SUMMARY,SatP is probably also an acetate transporter,,0.00012772634750671098,0.00015219404160355285,0.8767123287671232,0.918918918918919,8.176305386312862e-06,-3.893719506836015,-5.087442895938122
8,JW3729,b3750,rbsC,ribose ABC transporter,0.84,Inner membrane,Ribose,Sugar,ABC,ABC,ABC,Import,https://www.tcdb.org/search/result.php?tc=3.A.1.2.1,https://biocyc.org/gene?orgid=ECOLI&id=EG10816,ï¿½ATP-binding subunit of a high affinity ribose uptake system;,,0.00025963434438579366,0.00027014144997875646,0.7671232876712328,0.5945945945945946,1.173122077166631e-05,-3.5856378596733784,-4.930656792077826
9,JW3628,b3653,gltS,glutamate transporter,0.85,Inner membrane,L and D-glutamate,Amino acid,glutamate:Na+ï¿½symporter (ESS) family,Sodium symport,Sodium symport,Import,https://www.tcdb.org/search/result.php?tc=2.A.27.1.1,https://biocyc.org/gene?orgid=ECOLI&id=EG10406,"E. coliï¿½contains four transporters for the uptake of glutamate (GltIJKL, GltP, GltS, and GadC). GltS accounts for approximately",,0.0,0.0,0.0,0.0,1.9196543080908454e-05,,-4.716776972132746
