,Well,Batch,Timepoint,Strain,Parallel,Plate
0,A1,1,1,tsx,A,P1
1,A2,1,1,tsx,B,P1
2,A3,1,1,tsx,C,P1
3,A4,1,1,oppA,A,P1
4,A5,1,1,oppA,B,P1
5,A6,1,1,oppA,C,P1
6,A7,1,1,ompC,A,P1
7,A8,1,1,ompC,B,P1
8,A9,1,1,ompC,C,P1
9,A10,1,1,ompF,A,P1
10,A11,1,1,ompF,B,P1
11,A12,1,1,ompF,C,P1
12,B1,1,1,yddG,A,P1
13,B2,1,1,yddG,B,P1
14,B3,1,1,yddG,C,P1
15,B4,1,1,ybjE,A,P1
16,B5,1,1,ybjE,B,P1
17,B6,1,1,ybjE,C,P1
18,B7,1,1,satP,A,P1
19,B8,1,1,satP,B,P1
20,B9,1,1,satP,C,P1
21,B10,1,1,yedA,A,P1
22,B11,1,1,yedA,B,P1
23,B12,1,1,yedA,C,P1
24,C1,1,1,ygaZ,A,P1
25,C2,1,1,ygaZ,B,P1
26,C3,1,1,ygaZ,C,P1
27,C4,1,1,yeaS,A,P1
28,C5,1,1,yeaS,B,P1
29,C6,1,1,yeaS,C,P1
30,C7,1,1,punC,A,P1
31,C8,1,1,punC,B,P1
32,C9,1,1,punC,C,P1
33,C10,1,1,rhtA,A,P1
34,C11,1,1,rhtA,B,P1
35,C12,1,1,rhtA,C,P1
36,D1,1,1,mscS,A,P1
37,D2,1,1,mscS,B,P1
38,D3,1,1,mscS,C,P1
39,D4,1,1,sstT,A,P1
40,D5,1,1,sstT,B,P1
41,D6,1,1,sstT,C,P1
42,D7,1,1,WT,A,P1
43,D8,1,1,WT,B,P1
44,D9,1,1,WT,C,P1
45,D10,1,1,WT,D,P1
46,D11,1,1,WT,E,P1
47,D12,1,1,WT,F,P1
48,E1,1,2,tsx,A,P1
49,E2,1,2,tsx,B,P1
50,E3,1,2,tsx,C,P1
51,E4,1,2,oppA,A,P1
52,E5,1,2,oppA,B,P1
53,E6,1,2,oppA,C,P1
54,E7,1,2,ompC,A,P1
55,E8,1,2,ompC,B,P1
56,E9,1,2,ompC,C,P1
57,E10,1,2,ompF,A,P1
58,E11,1,2,ompF,B,P1
59,E12,1,2,ompF,C,P1
60,F1,1,2,yddG,A,P1
61,F2,1,2,yddG,B,P1
62,F3,1,2,yddG,C,P1
63,F4,1,2,ybjE,A,P1
64,F5,1,2,ybjE,B,P1
65,F6,1,2,ybjE,C,P1
66,F7,1,2,satP,A,P1
67,F8,1,2,satP,B,P1
68,F9,1,2,satP,C,P1
69,F10,1,2,yedA,A,P1
70,F11,1,2,yedA,B,P1
71,F12,1,2,yedA,C,P1
72,G1,1,2,ygaZ,A,P1
73,G2,1,2,ygaZ,B,P1
74,G3,1,2,ygaZ,C,P1
75,G4,1,2,yeaS,A,P1
76,G5,1,2,sstT,B,P1
77,G6,1,2,yeaS,C,P1
78,G7,1,2,punC,A,P1
79,G8,1,2,punC,B,P1
80,G9,1,2,punC,C,P1
81,G10,1,2,rhtA,A,P1
82,G11,1,2,rhtA,B,P1
83,G12,1,2,rhtA,C,P1
84,H1,1,2,mscS,A,P1
85,H2,1,2,mscS,B,P1
86,H3,1,2,mscS,C,P1
87,H4,1,2,sstT,A,P1
88,H5,1,2,yeaS,B,P1
89,H6,1,2,sstT,C,P1
90,H7,1,2,WT,A,P1
91,H8,1,2,WT,B,P1
92,H9,1,2,WT,C,P1
