,Strain #,Tube #,Parallel,Tube,Strain,Medium,Batch,Hours,OD,Timepoint,Batch-Tube
0,1,1,A,1A,tsx,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-1A
1,1,1,B,1B,tsx,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-1B
2,1,1,C,1C,tsx,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-1C
3,2,2,A,2A,oppA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-2A
4,2,2,B,2B,oppA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-2B
5,2,2,C,2C,oppA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-2C
6,3,3,A,3A,ompC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-3A
7,3,3,B,3B,ompC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-3B
8,3,3,C,3C,ompC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-3C
9,4,4,A,4A,ompF,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-4A
10,4,4,B,4B,ompF,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-4B
11,4,4,C,4C,ompF,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-4C
12,5,5,A,5A,yddG,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-5A
13,5,5,B,5B,yddG,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-5B
14,5,5,C,5C,yddG,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-5C
15,6,6,A,6A,ybjE,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-6A
16,6,6,B,6B,ybjE,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-6B
17,6,6,C,6C,ybjE,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-6C
18,7,7,A,7A,satP,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-7A
19,7,7,B,7B,satP,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-7B
20,7,7,C,7C,satP,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-7C
21,8,8,A,8A,yedA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-8A
22,8,8,B,8B,yedA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-8B
23,8,8,C,8C,yedA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-8C
24,9,9,A,9A,ygaZ,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-9A
25,9,9,B,9B,ygaZ,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-9B
26,9,9,C,9C,ygaZ,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-9C
27,10,10,A,10A,yeaS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-10A
28,10,10,B,10B,yeaS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-10B
29,10,10,C,10C,yeaS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-10C
30,11,11,A,11A,punC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-11A
31,11,11,B,11B,punC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-11B
32,11,11,C,11C,punC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-11C
33,12,12,A,12A,rhtA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-12A
34,12,12,B,12B,rhtA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-12B
35,12,12,C,12C,rhtA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-12C
36,13,13,A,13A,mscS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-13A
37,13,13,B,13B,mscS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-13B
38,13,13,C,13C,mscS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-13C
39,14,14,A,14A,sstT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-14A
40,14,14,B,14B,sstT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-14B
41,14,14,C,14C,sstT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-14C
42,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0A
43,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0B
44,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0C
45,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0D
46,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0E
47,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0F
48,1,1,A,1A,tsx,M9 20 mM glucose pH 7.4,1,2,0.019,,1-1A
49,1,1,B,1B,tsx,M9 20 mM glucose pH 7.4,1,2,0.015,,1-1B
50,1,1,C,1C,tsx,M9 20 mM glucose pH 7.4,1,2,0.015,,1-1C
51,2,2,A,2A,oppA,M9 20 mM glucose pH 7.4,1,2,0.017,,1-2A
52,2,2,B,2B,oppA,M9 20 mM glucose pH 7.4,1,2,0.017,,1-2B
53,2,2,C,2C,oppA,M9 20 mM glucose pH 7.4,1,2,0.018,,1-2C
54,3,3,A,3A,ompC,M9 20 mM glucose pH 7.4,1,2,0.02,,1-3A
55,3,3,B,3B,ompC,M9 20 mM glucose pH 7.4,1,2,0.017,,1-3B
56,3,3,C,3C,ompC,M9 20 mM glucose pH 7.4,1,2,0.021,,1-3C
57,4,4,A,4A,ompF,M9 20 mM glucose pH 7.4,1,2,0.017,,1-4A
58,4,4,B,4B,ompF,M9 20 mM glucose pH 7.4,1,2,0.014,,1-4B
59,4,4,C,4C,ompF,M9 20 mM glucose pH 7.4,1,2,0.019,,1-4C
60,5,5,A,5A,yddG,M9 20 mM glucose pH 7.4,1,2,0.017,,1-5A
61,5,5,B,5B,yddG,M9 20 mM glucose pH 7.4,1,2,0.014,,1-5B
62,5,5,C,5C,yddG,M9 20 mM glucose pH 7.4,1,2,0.019,,1-5C
63,6,6,A,6A,ybjE,M9 20 mM glucose pH 7.4,1,2,0.016,,1-6A
64,6,6,B,6B,ybjE,M9 20 mM glucose pH 7.4,1,2,0.012,,1-6B
65,6,6,C,6C,ybjE,M9 20 mM glucose pH 7.4,1,2,0.017,,1-6C
66,7,7,A,7A,satP,M9 20 mM glucose pH 7.4,1,2,0.017,,1-7A
67,7,7,B,7B,satP,M9 20 mM glucose pH 7.4,1,2,0.017,,1-7B
68,7,7,C,7C,satP,M9 20 mM glucose pH 7.4,1,2,0.017,,1-7C
69,8,8,A,8A,yedA,M9 20 mM glucose pH 7.4,1,2,0.016,,1-8A
70,8,8,B,8B,yedA,M9 20 mM glucose pH 7.4,1,2,0.018,,1-8B
71,8,8,C,8C,yedA,M9 20 mM glucose pH 7.4,1,2,0.02,,1-8C
72,9,9,A,9A,ygaZ,M9 20 mM glucose pH 7.4,1,2,0.015,,1-9A
73,9,9,B,9B,ygaZ,M9 20 mM glucose pH 7.4,1,2,0.016,,1-9B
74,9,9,C,9C,ygaZ,M9 20 mM glucose pH 7.4,1,2,0.015,,1-9C
75,10,10,A,10A,yeaS,M9 20 mM glucose pH 7.4,1,2,0.016,,1-10A
76,10,10,B,10B,yeaS,M9 20 mM glucose pH 7.4,1,2,0.017,,1-10B
77,10,10,C,10C,yeaS,M9 20 mM glucose pH 7.4,1,2,0.017,,1-10C
78,11,11,A,11A,punC,M9 20 mM glucose pH 7.4,1,2,0.016,,1-11A
79,11,11,B,11B,punC,M9 20 mM glucose pH 7.4,1,2,0.017,,1-11B
80,11,11,C,11C,punC,M9 20 mM glucose pH 7.4,1,2,0.016,,1-11C
81,12,12,A,12A,rhtA,M9 20 mM glucose pH 7.4,1,2,0.016,,1-12A
82,12,12,B,12B,rhtA,M9 20 mM glucose pH 7.4,1,2,0.016,,1-12B
83,12,12,C,12C,rhtA,M9 20 mM glucose pH 7.4,1,2,0.016,,1-12C
84,13,13,A,13A,mscS,M9 20 mM glucose pH 7.4,1,2,0.017,,1-13A
85,13,13,B,13B,mscS,M9 20 mM glucose pH 7.4,1,2,0.016,,1-13B
86,13,13,C,13C,mscS,M9 20 mM glucose pH 7.4,1,2,0.016,,1-13C
87,14,14,A,14A,sstT,M9 20 mM glucose pH 7.4,1,2,0.016,,1-14A
88,14,14,B,14B,sstT,M9 20 mM glucose pH 7.4,1,2,0.013,,1-14B
89,14,14,C,14C,sstT,M9 20 mM glucose pH 7.4,1,2,0.014,,1-14C
90,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,1,2,0.019,,1-0A
91,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,1,2,0.02,,1-0B
92,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,1,2,0.017,,1-0C
93,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,1,2,0.019,,1-0D
94,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,1,2,0.018,,1-0E
95,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,1,2,0.018,,1-0F
96,1,1,A,1A,tsx,M9 20 mM glucose pH 7.4,1,4,0.026,T1,1-1A
97,1,1,B,1B,tsx,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-1B
98,1,1,C,1C,tsx,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-1C
99,2,2,A,2A,oppA,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-2A
100,2,2,B,2B,oppA,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-2B
101,2,2,C,2C,oppA,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-2C
102,3,3,A,3A,ompC,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-3A
103,3,3,B,3B,ompC,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-3B
104,3,3,C,3C,ompC,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-3C
105,4,4,A,4A,ompF,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-4A
106,4,4,B,4B,ompF,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-4B
107,4,4,C,4C,ompF,M9 20 mM glucose pH 7.4,1,4,0.025,T1,1-4C
108,5,5,A,5A,yddG,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-5A
109,5,5,B,5B,yddG,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-5B
110,5,5,C,5C,yddG,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-5C
111,6,6,A,6A,ybjE,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-6A
112,6,6,B,6B,ybjE,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-6B
113,6,6,C,6C,ybjE,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-6C
114,7,7,A,7A,satP,M9 20 mM glucose pH 7.4,1,4,0.025,T1,1-7A
115,7,7,B,7B,satP,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-7B
116,7,7,C,7C,satP,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-7C
117,8,8,A,8A,yedA,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-8A
118,8,8,B,8B,yedA,M9 20 mM glucose pH 7.4,1,4,0.026,T1,1-8B
119,8,8,C,8C,yedA,M9 20 mM glucose pH 7.4,1,4,0.028,T1,1-8C
120,9,9,A,9A,ygaZ,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-9A
121,9,9,B,9B,ygaZ,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-9B
122,9,9,C,9C,ygaZ,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-9C
123,10,10,A,10A,yeaS,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-10A
124,10,10,B,10B,yeaS,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-10B
125,10,10,C,10C,yeaS,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-10C
126,11,11,A,11A,punC,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-11A
127,11,11,B,11B,punC,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-11B
128,11,11,C,11C,punC,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-11C
129,12,12,A,12A,rhtA,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-12A
130,12,12,B,12B,rhtA,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-12B
131,12,12,C,12C,rhtA,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-12C
132,13,13,A,13A,mscS,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-13A
133,13,13,B,13B,mscS,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-13B
134,13,13,C,13C,mscS,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-13C
135,14,14,A,14A,sstT,M9 20 mM glucose pH 7.4,1,4,0.02,T1,1-14A
136,14,14,B,14B,sstT,M9 20 mM glucose pH 7.4,1,4,0.018,T1,1-14B
137,14,14,C,14C,sstT,M9 20 mM glucose pH 7.4,1,4,0.019,T1,1-14C
138,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-0A
139,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-0B
140,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,1,4,0.023,T1,1-0C
141,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,1,4,0.021,T1,1-0D
142,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,1,4,0.024,T1,1-0E
143,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,1,4,0.022,T1,1-0F
144,1,1,A,1A,tsx,M9 20 mM glucose pH 7.4,1,6,0.04,,1-1A
145,1,1,B,1B,tsx,M9 20 mM glucose pH 7.4,1,6,0.041,,1-1B
146,1,1,C,1C,tsx,M9 20 mM glucose pH 7.4,1,6,0.041,,1-1C
147,2,2,A,2A,oppA,M9 20 mM glucose pH 7.4,1,6,0.044,,1-2A
148,2,2,B,2B,oppA,M9 20 mM glucose pH 7.4,1,6,0.044,,1-2B
149,2,2,C,2C,oppA,M9 20 mM glucose pH 7.4,1,6,0.044,,1-2C
150,3,3,A,3A,ompC,M9 20 mM glucose pH 7.4,1,6,0.038,,1-3A
151,3,3,B,3B,ompC,M9 20 mM glucose pH 7.4,1,6,0.036,,1-3B
152,3,3,C,3C,ompC,M9 20 mM glucose pH 7.4,1,6,0.037,,1-3C
153,4,4,A,4A,ompF,M9 20 mM glucose pH 7.4,1,6,0.034,,1-4A
154,4,4,B,4B,ompF,M9 20 mM glucose pH 7.4,1,6,0.036,,1-4B
155,4,4,C,4C,ompF,M9 20 mM glucose pH 7.4,1,6,0.039,,1-4C
156,5,5,A,5A,yddG,M9 20 mM glucose pH 7.4,1,6,0.035,,1-5A
157,5,5,B,5B,yddG,M9 20 mM glucose pH 7.4,1,6,0.038,,1-5B
158,5,5,C,5C,yddG,M9 20 mM glucose pH 7.4,1,6,0.042,,1-5C
159,6,6,A,6A,ybjE,M9 20 mM glucose pH 7.4,1,6,0.035,,1-6A
160,6,6,B,6B,ybjE,M9 20 mM glucose pH 7.4,1,6,0.039,,1-6B
161,6,6,C,6C,ybjE,M9 20 mM glucose pH 7.4,1,6,0.04,,1-6C
162,7,7,A,7A,satP,M9 20 mM glucose pH 7.4,1,6,0.043,,1-7A
163,7,7,B,7B,satP,M9 20 mM glucose pH 7.4,1,6,0.042,,1-7B
164,7,7,C,7C,satP,M9 20 mM glucose pH 7.4,1,6,0.044,,1-7C
165,8,8,A,8A,yedA,M9 20 mM glucose pH 7.4,1,6,0.036,,1-8A
166,8,8,B,8B,yedA,M9 20 mM glucose pH 7.4,1,6,0.04,,1-8B
167,8,8,C,8C,yedA,M9 20 mM glucose pH 7.4,1,6,0.049,,1-8C
168,9,9,A,9A,ygaZ,M9 20 mM glucose pH 7.4,1,6,0.03,,1-9A
169,9,9,B,9B,ygaZ,M9 20 mM glucose pH 7.4,1,6,0.031,,1-9B
170,9,9,C,9C,ygaZ,M9 20 mM glucose pH 7.4,1,6,0.031,,1-9C
171,10,10,A,10A,yeaS,M9 20 mM glucose pH 7.4,1,6,0.043,,1-10A
172,10,10,B,10B,yeaS,M9 20 mM glucose pH 7.4,1,6,0.044,,1-10B
173,10,10,C,10C,yeaS,M9 20 mM glucose pH 7.4,1,6,0.045,,1-10C
174,11,11,A,11A,punC,M9 20 mM glucose pH 7.4,1,6,0.028,,1-11A
175,11,11,B,11B,punC,M9 20 mM glucose pH 7.4,1,6,0.029,,1-11B
176,11,11,C,11C,punC,M9 20 mM glucose pH 7.4,1,6,0.027,,1-11C
177,12,12,A,12A,rhtA,M9 20 mM glucose pH 7.4,1,6,0.034,,1-12A
178,12,12,B,12B,rhtA,M9 20 mM glucose pH 7.4,1,6,0.035,,1-12B
179,12,12,C,12C,rhtA,M9 20 mM glucose pH 7.4,1,6,0.036,,1-12C
180,13,13,A,13A,mscS,M9 20 mM glucose pH 7.4,1,6,0.032,,1-13A
181,13,13,B,13B,mscS,M9 20 mM glucose pH 7.4,1,6,0.028,,1-13B
182,13,13,C,13C,mscS,M9 20 mM glucose pH 7.4,1,6,0.03,,1-13C
183,14,14,A,14A,sstT,M9 20 mM glucose pH 7.4,1,6,0.031,,1-14A
184,14,14,B,14B,sstT,M9 20 mM glucose pH 7.4,1,6,0.031,,1-14B
185,14,14,C,14C,sstT,M9 20 mM glucose pH 7.4,1,6,0.032,,1-14C
186,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,1,6,0.038,,1-0A
187,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,1,6,0.038,,1-0B
188,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,1,6,0.038,,1-0C
189,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,1,6,0.036,,1-0D
190,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,1,6,0.038,,1-0E
191,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,1,6,0.035,,1-0F
192,1,1,A,1A,tsx,M9 20 mM glucose pH 7.4,1,8,0.104,T2,1-1A
193,1,1,B,1B,tsx,M9 20 mM glucose pH 7.4,1,8,0.104,T2,1-1B
194,1,1,C,1C,tsx,M9 20 mM glucose pH 7.4,1,8,0.098,T2,1-1C
195,2,2,A,2A,oppA,M9 20 mM glucose pH 7.4,1,8,0.113,T2,1-2A
196,2,2,B,2B,oppA,M9 20 mM glucose pH 7.4,1,8,0.115,T2,1-2B
197,2,2,C,2C,oppA,M9 20 mM glucose pH 7.4,1,8,0.108,T2,1-2C
198,3,3,A,3A,ompC,M9 20 mM glucose pH 7.4,1,8,0.101,T2,1-3A
199,3,3,B,3B,ompC,M9 20 mM glucose pH 7.4,1,8,0.093,T2,1-3B
200,3,3,C,3C,ompC,M9 20 mM glucose pH 7.4,1,8,0.092,T2,1-3C
201,4,4,A,4A,ompF,M9 20 mM glucose pH 7.4,1,8,0.087,T2,1-4A
202,4,4,B,4B,ompF,M9 20 mM glucose pH 7.4,1,8,0.094,T2,1-4B
203,4,4,C,4C,ompF,M9 20 mM glucose pH 7.4,1,8,0.089,T2,1-4C
204,5,5,A,5A,yddG,M9 20 mM glucose pH 7.4,1,8,0.102,T2,1-5A
205,5,5,B,5B,yddG,M9 20 mM glucose pH 7.4,1,8,0.107,T2,1-5B
206,5,5,C,5C,yddG,M9 20 mM glucose pH 7.4,1,8,0.108,T2,1-5C
207,6,6,A,6A,ybjE,M9 20 mM glucose pH 7.4,1,8,0.096,T2,1-6A
208,6,6,B,6B,ybjE,M9 20 mM glucose pH 7.4,1,8,0.105,T2,1-6B
209,6,6,C,6C,ybjE,M9 20 mM glucose pH 7.4,1,8,0.099,T2,1-6C
210,7,7,A,7A,satP,M9 20 mM glucose pH 7.4,1,8,0.12,T2,1-7A
211,7,7,B,7B,satP,M9 20 mM glucose pH 7.4,1,8,0.117,T2,1-7B
212,7,7,C,7C,satP,M9 20 mM glucose pH 7.4,1,8,0.114,T2,1-7C
213,8,8,A,8A,yedA,M9 20 mM glucose pH 7.4,1,8,0.101,T2,1-8A
214,8,8,B,8B,yedA,M9 20 mM glucose pH 7.4,1,8,0.112,T2,1-8B
215,8,8,C,8C,yedA,M9 20 mM glucose pH 7.4,1,8,0.129,T2,1-8C
216,9,9,A,9A,ygaZ,M9 20 mM glucose pH 7.4,1,8,0.072,T2,1-9A
217,9,9,B,9B,ygaZ,M9 20 mM glucose pH 7.4,1,8,0.071,T2,1-9B
218,9,9,C,9C,ygaZ,M9 20 mM glucose pH 7.4,1,8,0.072,T2,1-9C
219,10,10,A,10A,yeaS,M9 20 mM glucose pH 7.4,1,8,0.117,T2,1-10A
220,10,10,B,10B,yeaS,M9 20 mM glucose pH 7.4,1,8,0.123,T2,1-10B
221,10,10,C,10C,yeaS,M9 20 mM glucose pH 7.4,1,8,0.124,T2,1-10C
222,11,11,A,11A,punC,M9 20 mM glucose pH 7.4,1,8,0.058,T2,1-11A
223,11,11,B,11B,punC,M9 20 mM glucose pH 7.4,1,8,0.059,T2,1-11B
224,11,11,C,11C,punC,M9 20 mM glucose pH 7.4,1,8,0.055,T2,1-11C
225,12,12,A,12A,rhtA,M9 20 mM glucose pH 7.4,1,8,0.085,T2,1-12A
226,12,12,B,12B,rhtA,M9 20 mM glucose pH 7.4,1,8,0.092,T2,1-12B
227,12,12,C,12C,rhtA,M9 20 mM glucose pH 7.4,1,8,0.091,T2,1-12C
228,13,13,A,13A,mscS,M9 20 mM glucose pH 7.4,1,8,0.062,T2,1-13A
229,13,13,B,13B,mscS,M9 20 mM glucose pH 7.4,1,8,0.059,T2,1-13B
230,13,13,C,13C,mscS,M9 20 mM glucose pH 7.4,1,8,0.059,T2,1-13C
231,14,14,A,14A,sstT,M9 20 mM glucose pH 7.4,1,8,0.084,T2,1-14A
232,14,14,B,14B,sstT,M9 20 mM glucose pH 7.4,1,8,0.083,T2,1-14B
233,14,14,C,14C,sstT,M9 20 mM glucose pH 7.4,1,8,0.084,T2,1-14C
234,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,1,8,0.102,T2,1-0A
235,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,1,8,0.105,T2,1-0B
