,Batch,Tube,Strain,Medium,Growth rate (1/h),Exp. phase time limit (h)
0,1,4A,ompF,M9 20 mM glucose pH 7.4,0.5932372392261466,14.0
1,1,4B,ompF,M9 20 mM glucose pH 7.4,0.5845109122296415,14.0
2,1,4C,ompF,M9 20 mM glucose pH 7.4,0.5888949962685235,14.0
3,1,12C,rhtA,M9 20 mM glucose pH 7.4,0.5997766584980806,14.0
4,1,12B,rhtA,M9 20 mM glucose pH 7.4,0.6081638228560129,14.0
5,1,12A,rhtA,M9 20 mM glucose pH 7.4,0.6037261268389272,14.0
6,1,13B,mscS,M9 20 mM glucose pH 7.4,0.5247759464655953,16.0
7,1,13C,mscS,M9 20 mM glucose pH 7.4,0.47311696460636893,16.0
8,1,13A,mscS,M9 20 mM glucose pH 7.4,0.522070652065696,16.0
9,1,14C,sstT,M9 20 mM glucose pH 7.4,0.6152161528518537,14.0
10,1,14B,sstT,M9 20 mM glucose pH 7.4,0.6229470303268351,14.0
11,1,14A,sstT,M9 20 mM glucose pH 7.4,0.615561534814707,14.0
12,1,1C,tsx,M9 20 mM glucose pH 7.4,0.525564763928876,14.0
13,1,1B,tsx,M9 20 mM glucose pH 7.4,0.538077700586099,14.0
14,1,1A,tsx,M9 20 mM glucose pH 7.4,0.5452206569479467,14.0
15,1,5A,yddG,M9 20 mM glucose pH 7.4,0.5822473085232499,14.0
16,1,5C,yddG,M9 20 mM glucose pH 7.4,0.5694329424575422,14.0
17,1,5B,yddG,M9 20 mM glucose pH 7.4,0.5785523713107829,14.0
18,1,2A,oppA,M9 20 mM glucose pH 7.4,0.5263284392364401,14.0
19,1,2C,oppA,M9 20 mM glucose pH 7.4,0.5252402872994378,14.0
20,1,2B,oppA,M9 20 mM glucose pH 7.4,0.5360882155652082,14.0
21,1,0E,WT,M9 20 mM glucose pH 7.4,0.5790804090701244,14.0
22,1,0D,WT,M9 20 mM glucose pH 7.4,0.5782800513261174,14.0
23,1,0B,WT,M9 20 mM glucose pH 7.4,0.5773322835069631,14.0
24,1,0C,WT,M9 20 mM glucose pH 7.4,0.5954118705773033,14.0
25,1,0F,WT,M9 20 mM glucose pH 7.4,0.577992471149252,14.0
26,1,0A,WT,M9 20 mM glucose pH 7.4,0.6537664892508775,14.0
27,1,3A,ompC,M9 20 mM glucose pH 7.4,0.5803182999631916,14.0
28,1,3B,ompC,M9 20 mM glucose pH 7.4,0.5992422112331454,14.0
29,1,3C,ompC,M9 20 mM glucose pH 7.4,0.5929746583433726,14.0
30,1,11C,punC,M9 20 mM glucose pH 7.4,0.48479218890896925,15.0
31,1,11A,punC,M9 20 mM glucose pH 7.4,0.5316936093502652,15.0
32,1,11B,punC,M9 20 mM glucose pH 7.4,0.5568487844408815,15.0
33,1,7A,satP,M9 20 mM glucose pH 7.4,0.5714513825933228,14.0
34,1,7B,satP,M9 20 mM glucose pH 7.4,0.5714321876149507,14.0
35,1,7C,satP,M9 20 mM glucose pH 7.4,0.5509848474144134,14.0
36,1,6A,ybjE,M9 20 mM glucose pH 7.4,0.576518246548346,14.0
