Batch-Tube,Timepoint,ionMz,Z-score median,Z-score std
5-12A,1.0,57.0342,-0.31877141482969007,0.24964046410015797
5-12A,1.0,58.0295,-1.103443542251791,0.12688115340996461
5-12A,1.0,59.0135,-0.33469552317542917,0.1501555140584402
5-12A,1.0,71.0137,0.22648548104478425,0.11899111710783782
5-12A,1.0,73.0293,-0.9790020967147706,0.005118954512098818
5-12A,1.0,74.0247,1.2757575514057369,0.5510455258731516
5-12A,1.0,75.0087,-1.367777481195608,0.3144968079892212
5-12A,1.0,87.0088,-0.7148617126393697,0.0045795031830804175
5-12A,1.0,87.0451,-0.36639288993696756,0.45212764419538054
5-12A,1.0,88.0403,-0.9038528662419458,0.00612801434009167
5-12A,1.0,88.9883,-1.1019632199110911,0.2817160035663423
5-12A,1.0,89.0244,-0.7286795635112773,0.11310687029224174
5-12A,1.0,93.0338,-0.09023250291298976,0.006386915638594262
5-12A,1.0,94.9761,-1.3681379221668912,0.18880569361337765
5-12A,1.0,94.9806,0.2588600326967776,0.14707305376057778
5-12A,1.0,95.0139,0.1568760088540497,0.24589108711124144
5-12A,1.0,101.0242,-0.36215736280712485,0.15042564984396525
5-12A,1.0,102.056,-0.37568312202216214,0.03883314693737134
5-12A,1.0,103.0402,-1.0273298980596044,0.01910836336469985
5-12A,1.0,103.0509,-1.093465366531208,0.03321962567253805
5-12A,1.0,104.0352,5.20386132809915,0.1766805671063067
5-12A,1.0,105.0193,-1.646432095347722,0.3527165813253403
5-12A,1.0,107.0503,-1.9003498960956051,0.19334495657220527
5-12A,1.0,109.0295,-1.360760825270734,0.08607010828672612
5-12A,1.0,111.02,-1.2282556561299347,0.0021624508095368813
5-12A,1.0,112.0516,-1.7689288796996547,0.3448542396691119
5-12A,1.0,113.0244,0.07820144125515974,0.0825431192143189
5-12A,1.0,113.0357,-1.4132956750504975,0.021609714031216455
5-12A,1.0,114.056,-0.2283043147966064,0.0017412595033362815
5-12A,1.0,115.0037,-0.9613607122247382,0.017565676035539886
5-12A,1.0,115.0402,-2.715435052105189,0.3361222776864102
5-12A,1.0,115.0764,-1.5118334433880005,0.3011769550763872
5-12A,1.0,116.0354,-0.8624317106182784,0.2043559046851976
5-12A,1.0,116.0717,-0.6093026932426486,0.02138080959168904
5-12A,1.0,117.0194,-0.9452436018935657,0.0015416742488205233
5-12A,1.0,118.0508,-0.02363800365533223,0.3351901802310018
5-12A,1.0,118.9804,0.2359101987188948,0.13962547790535815
5-12A,1.0,119.0503,-1.4436418485074411,0.21378303800033222
5-12A,1.0,120.9273,-0.1136942874448549,0.22904599576765425
5-12A,1.0,121.0295,-1.457546849993845,0.13954574000465053
5-12A,1.0,121.0409,-0.6451528563362425,0.20337282980334861
5-12A,1.0,122.0248,-1.9664951839468436,0.18438093692566263
5-12A,1.0,124.0075,0.2858809870034098,0.43234058795429
5-12A,1.0,124.0144,-0.8922188910778475,0.34737340066032246
5-12A,1.0,125.0439,-1.6946638447041056,0.45836589795926136
5-12A,1.0,127.0764,-0.6655225791440296,0.3014049407841552
5-12A,1.0,128.0354,0.6410682531228232,0.055308764830643696
5-12A,1.0,129.0193,-1.4836997764116018,0.036433256257773015
5-12A,1.0,129.0556,-1.1193107896660206,0.414666638894401
5-12A,1.0,130.0142,-0.9900016622716418,0.08102274665742401
5-12A,1.0,130.0509,-1.0610717216475165,0.01585802895037547
