Batch-Tube,Timepoint,Medium,OD,AUC OD,Hours,Strain,Parallel,Batch,#,Exp. phase time limit,Tube,Well
1-0A,1.0,M9 20 mM glucose pH 7.4,0.023,0.0681631810379241,4.0,WT,A,1.0,201,14.0,0A,
1-0A,2.0,M9 20 mM glucose pH 7.4,0.102,0.2528298477045908,8.0,WT,A,1.0,133,14.0,0A,
1-0A,3.0,M9 20 mM glucose pH 7.4,0.342,0.6674965143712575,10.0,WT,A,1.0,461,14.0,0A,
1-0A,4.0,M9 20 mM glucose pH 7.4,0.743,1.0988298477045908,11.0,WT,A,1.0,545,14.0,0A,
1-0A,5.0,M9 20 mM glucose pH 7.4,1.012,1.9873298477045909,12.0,WT,A,1.0,809,14.0,0A,
1-0A,6.0,M9 20 mM glucose pH 7.4,1.225,3.104163181037924,13.0,WT,A,1.0,777,14.0,0A,
1-0A,7.0,M9 20 mM glucose pH 7.4,1.411,4.424413181037924,14.0,WT,A,1.0,1513,14.0,0A,
1-0A,8.0,M9 20 mM glucose pH 7.4,1.47,5.8838298477045905,15.0,WT,A,1.0,1393,14.0,0A,
1-0A,9.0,M9 20 mM glucose pH 7.4,1.546,7.390413181037924,16.0,WT,A,1.0,1601,14.0,0A,
1-0A,10.0,M9 20 mM glucose pH 7.4,1.484,13.422079847704593,20.0,WT,A,1.0,1689,14.0,0A,
1-0B,1.0,M9 20 mM glucose pH 7.4,0.024,0.0713423826347305,4.0,WT,B,1.0,353,14.0,0B,
1-0B,2.0,M9 20 mM glucose pH 7.4,0.105,0.2586757159680638,8.0,WT,B,1.0,121,14.0,0B,
1-0B,3.0,M9 20 mM glucose pH 7.4,0.332,0.6690090493013972,10.0,WT,B,1.0,433,14.0,0B,
1-0B,4.0,M9 20 mM glucose pH 7.4,0.721,1.084425715968064,11.0,WT,B,1.0,589,14.0,0B,
1-0B,5.0,M9 20 mM glucose pH 7.4,0.972,1.942425715968064,12.0,WT,B,1.0,877,14.0,0B,
1-0B,6.0,M9 20 mM glucose pH 7.4,1.176,3.012759049301397,13.0,WT,B,1.0,853,14.0,0B,
1-0B,7.0,M9 20 mM glucose pH 7.4,1.388,4.29409238263473,14.0,WT,B,1.0,1249,14.0,0B,
1-0B,8.0,M9 20 mM glucose pH 7.4,1.491,5.752425715968064,15.0,WT,B,1.0,1341,14.0,0B,
1-0B,9.0,M9 20 mM glucose pH 7.4,1.539,7.272009049301397,16.0,WT,B,1.0,1565,14.0,0B,
1-0B,10.0,M9 20 mM glucose pH 7.4,1.476,13.250550715968064,20.0,WT,B,1.0,1921,14.0,0B,
1-0C,1.0,M9 20 mM glucose pH 7.4,0.023,0.0632299611776447,4.0,WT,C,1.0,297,14.0,0C,
1-0C,2.0,M9 20 mM glucose pH 7.4,0.1,0.246563294510978,8.0,WT,C,1.0,281,14.0,0C,
1-0C,3.0,M9 20 mM glucose pH 7.4,0.349,0.6643966278443114,10.0,WT,C,1.0,757,14.0,0C,
1-0C,4.0,M9 20 mM glucose pH 7.4,0.737,1.106813294510978,11.0,WT,C,1.0,397,14.0,0C,
1-0C,5.0,M9 20 mM glucose pH 7.4,0.997,1.9844799611776447,12.0,WT,C,1.0,933,14.0,0C,
1-0C,6.0,M9 20 mM glucose pH 7.4,1.196,3.080479961177645,13.0,WT,C,1.0,989,14.0,0C,
1-0C,7.0,M9 20 mM glucose pH 7.4,1.381,4.370146627844311,14.0,WT,C,1.0,1281,14.0,0C,
1-0C,8.0,M9 20 mM glucose pH 7.4,1.476,5.812479961177644,15.0,WT,C,1.0,1521,14.0,0C,
1-0C,9.0,M9 20 mM glucose pH 7.4,1.513,7.311813294510977,16.0,WT,C,1.0,1793,14.0,0C,
