,Strain,ionMz,Rel. abs. distance,Rel. distance,Mean abs. distance,Mean distance,MAE1,MAE2,Mean MAE,Strain 1,Strain 2,p-value rel,p-value abs
0,yeaS,57.0346,1.025281713773246,0.44919499659805945,0.13533346511742203,0.05929210926751076,0.14980497380826974,0.11418776750253988,0.13199637065540482,yeaS,WT,0.11,0.019
1,yeaS,59.0135,0.533453511978196,-0.4104642657514125,0.13709476389093564,-0.10548717055059184,0.3253512070585529,0.18863833771939637,0.2569947723889746,yeaS,WT,0.108,0.325
2,yeaS,71.0141,0.7207973918991133,-0.664903660527635,0.07021508266735461,-0.06477030302061505,0.11821698731838123,0.0766091412344876,0.09741306427643442,yeaS,WT,0.048,0.143
3,yeaS,72.0093,0.42664895865407365,-0.274189429085972,0.1625764617126542,-0.10448108759115195,0.43926366601949957,0.32284512817760963,0.3810543970985546,yeaS,WT,0.218,0.585
4,yeaS,72.9932,0.5298770510219023,-0.12938493233551018,0.15989003856443657,-0.0390418150415928,0.33215988516524414,0.2713387500599586,0.3017493176126014,yeaS,WT,0.35,0.414
5,yeaS,73.0297,0.6973994729373515,-0.6446326002540168,0.12465200124301186,-0.11522053974274807,0.21224734565540423,0.14522926876758813,0.1787383072114962,yeaS,WT,0.047,0.264
6,yeaS,74.025,0.6050821807391448,0.5312366995969551,0.23339116799767007,0.2049076270114323,0.34822039939770527,0.423215863070208,0.3857181312339566,yeaS,WT,0.058,0.221
7,yeaS,75.0089,2.9522812069050497,-2.9522812069050497,1.008137398043469,-1.008137398043469,0.4271215825155975,0.25583327672040634,0.3414774296180019,yeaS,WT,0.0,0.0
8,yeaS,85.0297,0.5096296723191064,-0.26798967111164085,0.04256219600096176,-0.022381406593109218,0.10799662685093475,0.059035232998510184,0.08351592992472247,yeaS,WT,0.249,0.374
9,yeaS,87.0088,0.9623975898872268,0.26160318766198626,0.1483604742666215,0.040328003102896574,0.18667480929254016,0.12163950035573379,0.15415715482413697,yeaS,WT,0.307,0.282
10,yeaS,87.0452,0.3636766401223909,0.07925631205109686,0.07807180655285827,0.01701424501849724,0.22332548448394043,0.20602189689631079,0.2146736906901256,yeaS,WT,0.409,0.596
11,yeaS,88.0406,2.120284584089223,1.987567583633819,0.21508230246508628,0.20161945023835565,0.14893915508615505,0.053941443187378826,0.10144029913676694,yeaS,WT,0.0,0.003
12,yeaS,89.0247,1.595511533317401,1.2637897615215767,0.23731154620535536,0.18797225599592085,0.17872335430166375,0.11875057960583384,0.1487369669537488,yeaS,WT,0.001,0.0
13,yeaS,91.0402,0.5759785037194203,0.525870941885494,0.1656437252549949,0.15123345967734103,0.3131198810505595,0.26205340817929657,0.287586644614928,yeaS,WT,0.042,0.19
14,yeaS,93.0347,0.5246108004133486,-0.20889090535717075,0.08966659123269727,-0.03570367862829247,0.1927304918328719,0.14910993982445434,0.17092021582866312,yeaS,WT,0.26,0.443
15,yeaS,100.0407,0.23812675004861458,0.20744700542605374,0.09087841119322454,0.07916982974849816,0.3893569637549194,0.3739206703174503,0.38163881703618485,yeaS,WT,0.243,0.864
16,yeaS,101.0245,0.5678105910928698,-0.052243180807895896,0.05775344901879664,-0.005313785841087104,0.11544975609171723,0.08797529417949415,0.10171252513560569,yeaS,WT,0.455,0.433
17,yeaS,101.061,0.531940731851642,0.5267898712095653,0.15732704438926315,0.15580362339072806,0.3191512908963808,0.27236966235576304,0.2957604766260719,yeaS,WT,0.117,0.525
18,yeaS,102.0199,0.8123340442552478,0.8123340442552478,0.16527577795802262,0.16527577795802262,0.19700360948801843,0.20991218858012317,0.2034578990340708,yeaS,WT,0.006,0.056
19,yeaS,102.0562,2.5436337045471697,2.5436337045471697,0.47376382665832245,0.47376382665832245,0.2980365980671309,0.07447287592780047,0.1862547369974657,yeaS,WT,0.0,0.0
20,yeaS,103.04,2.0574197901998725,2.0574197901998725,0.4023747611294116,0.4023747611294116,0.3200080649887573,0.07113696340656311,0.1955725141976602,yeaS,WT,0.0,0.0
21,yeaS,104.0355,0.6894864132230407,0.6894864132230407,0.14698841610677305,0.14698841610677305,0.21983370764305174,0.20653703233909795,0.21318536999107485,yeaS,WT,0.011,0.134
22,yeaS,105.0196,0.320704294292802,-0.02672505283234579,0.1325499994746173,-0.01104570721978655,0.4342949692521433,0.39232320726406866,0.41330908825810597,yeaS,WT,0.438,0.887
23,yeaS,107.05,0.6416191605608029,0.4124262580665773,0.16239441415765157,0.1043854745600405,0.2647687813153886,0.24143310335311735,0.25310094233425295,yeaS,WT,0.145,0.393
24,yeaS,109.0295,2.311556517607076,-2.150879267031118,0.3645277753631367,-0.3391892987748366,0.17629561331754698,0.13910033100528185,0.1576979721614144,yeaS,WT,0.0,0.0
25,yeaS,110.0358,1.9998046846999042,-1.3570379687698972,0.6276886958696541,-0.42594029275944223,0.2865444093881342,0.3412055910713824,0.3138750002297583,yeaS,WT,0.002,0.0
26,yeaS,110.9762,0.8247085922231491,0.32226871942074176,0.25955797071375236,0.1014266319353856,0.3121505467353053,0.31730323405790206,0.3147268903966037,yeaS,WT,0.176,0.036
27,yeaS,111.0203,0.32441789966531137,-0.011308264819441319,0.03218139321666616,-0.0011217498082814492,0.11571496033944792,0.08267972287542019,0.09919734160743406,yeaS,WT,0.705,0.928
28,yeaS,113.0245,0.47708705415991903,-0.39324440699658014,0.03787406557453412,-0.031218127441401684,0.09998957304083127,0.05878256401170243,0.07938606852626685,yeaS,WT,0.228,0.543
29,yeaS,113.0358,0.6367707830824985,-0.28753670643014156,0.08687578669856354,-0.039229151587182855,0.1529034759659125,0.11996013212242573,0.1364318040441691,yeaS,WT,0.282,0.31
30,yeaS,114.056,1.2400866413092628,1.2400866413092628,0.2901418659616555,0.2901418659616555,0.27318732133921236,0.19475073443296909,0.23396902788609072,yeaS,WT,0.002,0.006
31,yeaS,115.0038,1.982633515871171,-0.45497927321727605,0.0965210864364143,-0.02214987964514729,0.056548977344541194,0.04081756635983358,0.04868327185218739,yeaS,WT,0.2,0.002
32,yeaS,115.0402,0.8492254712677455,0.8358333745333466,0.18637675457261074,0.18343763462069307,0.266644329164586,0.17228917172153968,0.21946675044306285,yeaS,WT,0.005,0.04
33,yeaS,115.0767,0.5651402058250279,-0.42777814273221115,0.15339014029432774,-0.11610738123427088,0.2730261639292528,0.2698130774246657,0.27141962067695924,yeaS,WT,0.09,0.322
34,yeaS,116.0356,0.2591297452295076,-0.05761645144504485,0.09936004508247166,-0.022092304409134286,0.3473141964526122,0.4195606753956185,0.38343743592411533,yeaS,WT,0.439,0.794
35,yeaS,116.0718,3.2481910882445133,3.2480495817901303,0.5933355065336595,0.5933096580532259,0.3360030638074841,0.029329818658078,0.18266644123278106,yeaS,WT,0.0,0.0
36,yeaS,117.0194,0.6916006563287659,-0.6798449204545218,0.09982191731810948,-0.09812515765816132,0.169383520958253,0.11928571729260604,0.1443346191254295,yeaS,WT,0.032,0.326
37,yeaS,117.0676,0.5126818367560242,0.021783255132938783,0.08219407870083921,0.003492330834433821,0.19758481358735566,0.12305880125540636,0.16032180742138102,yeaS,WT,0.427,0.722
38,yeaS,118.0513,0.7572900013246204,0.26269883540482414,0.1629504687920728,0.056526427531687476,0.3018076498923218,0.1285439155767761,0.21517578273454896,yeaS,WT,0.257,0.262
39,yeaS,118.9807,0.4048092339904605,-0.38642331677008784,0.03710258883464055,-0.03541743674398617,0.11654221333195688,0.06676679110401845,0.09165450221798767,yeaS,WT,0.213,0.635
40,yeaS,119.0503,0.8509135172685497,0.8271521110697927,0.16628660376230286,0.16164311948661375,0.23418460707855596,0.15665794128308333,0.19542127418081964,yeaS,WT,0.009,0.058
41,yeaS,120.0127,0.6499648299994992,0.47462232111664826,0.20772279165752666,0.15168493582245243,0.3060034149565356,0.33317822094116883,0.31959081794885225,yeaS,WT,0.067,0.133
42,yeaS,121.0409,0.29170913536487675,0.21298152850219373,0.05448036597241796,0.03977699088391861,0.16553538208261792,0.20798988241945274,0.18676263225103534,yeaS,WT,0.245,0.863
43,yeaS,124.0076,0.9775901248217862,-0.23945347988666774,0.09831501903735673,-0.02408153768729069,0.041589935347586884,0.15954756909535023,0.10056875222146855,yeaS,WT,0.33,0.014
44,yeaS,125.0354,0.6532344621447957,-0.02660703843720962,0.13242710122292103,-0.005393917768510953,0.21749410886154147,0.1879563347299275,0.2027252217957345,yeaS,WT,0.484,0.301
45,yeaS,125.0466,1.1136709308198784,0.6078893832418126,0.37640331044740555,0.2054570788424908,0.39597176218713653,0.2799968745632175,0.337984318375177,yeaS,WT,0.058,0.013
46,yeaS,127.0403,0.8017300110488786,-0.18789276850412068,0.2957680853673142,-0.06931595877535349,0.42880572629568603,0.3090189311107891,0.36891232870323754,yeaS,WT,0.336,0.242
47,yeaS,127.0523,0.558158190448398,0.558158190448398,0.15148897143543524,0.15148897143543524,0.25651038783569896,0.2863069497142029,0.27140866877495096,yeaS,WT,0.078,0.429
48,yeaS,128.0353,1.1121321453639479,1.1121321453639479,0.17586420082397575,0.17586420082397575,0.16021069362964432,0.1560542422542542,0.15813246794194927,yeaS,WT,0.0,0.004
49,yeaS,128.0719,3.0396180985190204,-2.953717327110153,0.3927328318187207,-0.3816340516044385,0.1227440259194941,0.13566529991658394,0.129204662918039,yeaS,WT,0.0,0.0
50,yeaS,129.0194,1.5057438798994909,-1.5057438798994909,0.13904448861416865,-0.13904448861416865,0.09623015128691323,0.0884552928584084,0.09234272207266081,yeaS,WT,0.0,0.0
51,yeaS,129.056,0.3294441228359658,0.30846071157672117,0.03705229459864646,0.03469230854404865,0.12471016691470659,0.10022809745430293,0.11246913218450476,yeaS,WT,0.203,0.811
52,yeaS,129.1035,0.8390192244131532,0.7692456286499032,0.23656660174742977,0.21689350968811968,0.29966123741235445,0.2642509945460845,0.28195611597921943,yeaS,WT,0.017,0.071
53,yeaS,130.0511,3.1749909472189697,-3.0611984948406326,0.2790821410803463,-0.269079768860562,0.09239952350074124,0.08340075166212135,0.0879001375814313,yeaS,WT,0.0,0.0
54,yeaS,130.0876,2.5660538010886342,2.5548619830271972,0.3846424042131748,0.3829647902033511,0.2538976301309505,0.04589530799839999,0.14989646906467524,yeaS,WT,0.0,0.0
