,Partner,Auxotroph,Well,Auxotroph abundance [CFU/mL],Partner abundance [CFUs/mL]
0,brnQ,metB,A1,12000000.0,1000000000.0
1,brnQ,metB,A2,10000000.0,700000000.0
2,brnQ,metB,A3,10000000.0,720000000.0
3,brnQ,metB,A4,6000000.0,740000000.0
4,cstA,metB,A5,6200000.0,800000000.0
5,cstA,metB,A6,4800000.0,1000000000.0
6,cstA,metB,A7,7200000.0,600000000.0
7,cstA,metB,A8,4800000.0,1000000000.0
8,mtr,metB,A9,26000000.0,1020000000.0
9,mtr,metB,A10,16000000.0,740000000.0
10,mtr,metB,A11,18000000.0,900000000.0
11,mtr,metB,A12,18000000.0,1040000000.0
12,metI,metB,B1,28000000.0,1000000000.0
13,metI,metB,B2,22000000.0,800000000.0
14,metI,metB,B3,16000000.0,900000000.0
15,metI,metB,B4,16000000.0,1200000000.0
16,WT,metB,B5,5200000.0,540000000.0
17,WT,metB,B6,3400000.0,1000000000.0
18,WT,metB,B7,6800000.0,800000000.0
19,WT,metB,B8,5200000.0,1200000000.0
20,Monoculture,metB,B9,140000.0,
21,Monoculture,metB,B10,200000.0,
22,Monoculture,metB,B11,120000.0,
23,Monoculture,metB,B12,280000.0,
24,tsx,ilvE,C1,2600000.0,460000000.0
25,tsx,ilvE,C2,2800000.0,560000000.0
26,tsx,ilvE,C3,4000000.0,580000000.0
27,tsx,ilvE,C4,2600000.0,540000000.0
28,yeaS,ilvE,C5,5400000.0,580000000.0
29,yeaS,ilvE,C6,2800000.0,
30,yeaS,ilvE,C7,5200000.0,700000000.0
31,yeaS,ilvE,C8,7200000.0,720000000.0
32,ygaZ,ilvE,C9,5600000.0,640000000.0
33,ygaZ,ilvE,C10,5000000.0,740000000.0
34,ygaZ,ilvE,C11,5200000.0,760000000.0
35,ygaZ,ilvE,C12,5000000.0,640000000.0
36,glnP,ilvE,D1,5600000.0,1400000000.0
37,glnP,ilvE,D2,4000000.0,680000000.0
38,glnP,ilvE,D3,4800000.0,800000000.0
39,glnP,ilvE,D4,3800000.0,400000000.0
40,WT,ilvE,D5,2800000.0,700000000.0
41,WT,ilvE,D6,4000000.0,540000000.0
42,WT,ilvE,D7,2800000.0,660000000.0
43,WT,ilvE,D8,3000000.0,640000000.0
44,Monoculture,ilvE,D9,340000.0,
45,Monoculture,ilvE,D10,280000.0,
46,Monoculture,ilvE,D11,320000.0,
47,Monoculture,ilvE,D12,300000.0,
48,putP,proC,E1,7600000.0,760000000.0
49,putP,proC,E2,7200000.0,600000000.0
50,putP,proC,E3,7400000.0,680000000.0
51,putP,proC,E4,6600000.0,700000000.0
52,proP,proC,E5,1400000.0,640000000.0
53,proP,proC,E6,1800000.0,900000000.0
54,proP,proC,E7,1600000.0,860000000.0
55,proP,proC,E8,800000.0,780000000.0
56,WT,proC,E9,1600000.0,600000000.0
57,WT,proC,E10,1600000.0,640000000.0
58,WT,proC,E11,1200000.0,560000000.0
59,WT,proC,E12,2000000.0,660000000.0
60,Monoculture,proC,F1,300000.0,
61,Monoculture,proC,F2,80000.0,
62,Monoculture,proC,F3,120000.0,
63,Monoculture,proC,F4,120000.0,
