,0
0,C00078
1,C05276
2,C00129
3,C00062
4,C03090
5,C00052
6,C00059
7,C03785
8,C03284
9,C00424
10,C14806
11,C03972
12,C00016
13,C00327
14,C01132
15,C00429
16,C00008
17,C14791
18,C21028
19,C00224
20,C19647
21,C22458
22,C11947
23,C02702
24,C03193
25,C21215
26,C15814
27,C01613
28,C04593
29,C03064
30,C00357
31,C00882
32,C04421
33,C00352
34,C11827
35,C00934
36,C20254
37,C09126
38,C08353
39,C02992
40,C05847
41,C20743
42,C00183
43,C19846
44,C01019
45,C00030
46,C00860
47,C04462
48,C07118
49,C01236
50,C04349
51,C00106
52,C00558
53,C15767
54,C00216
55,C00251
56,C05399
57,C21194
58,C00624
59,C06250
60,C03859
61,C00318
62,C05402
63,C00748
64,C02291
65,C11811
66,C12205
67,C04478
68,C01212
69,C05754
70,C00740
71,C00041
72,C00898
73,C04312
74,C00001
75,C19858
76,C05761
77,C05268
78,C20446
79,C21618
80,C06510
81,C04896
82,C00161
83,C16241
84,C21463
85,C15805
86,C22159
87,C02888
88,C07648
89,C16240
90,C04246
91,C01346
92,C01031
93,C05691
94,C01170
95,C01639
96,C00262
97,C00232
98,C16739
99,C02356
100,C02642
101,C01380
102,C02723
103,C00039
104,C01235
105,C04501
106,C15521
107,C00770
108,C00063
109,C00333
110,C21334
111,C00118
112,C00435
113,C14861
114,C20247
115,C06025
116,C05262
117,C19847
118,C18310
119,C01335
120,C21758
121,C04728
122,C02939
123,C11173
124,C20756
125,C01102
126,C04006
127,C00446
128,C22438
129,C06612
130,C05335
131,C05839
132,C20750
133,C06329
134,C00360
135,C00631
136,C00250
137,C00124
138,C05172
139,C20372
140,C03539
141,C05812
142,C16619
143,C00004
144,C00921
145,C12739
146,C04346
147,C14852
148,C05747
149,C00134
150,C01641
151,C16634
152,C05259
153,C00186
154,C21999
155,C21065
156,C05807
157,C20423
158,C00387
159,C03546
160,C00552
161,C05695
162,C00700
163,C05686
164,C00214
165,C01242
166,C21995
167,C05379
168,C00341
169,C01217
170,C04079
171,C00489
172,C04479
173,C01468
174,C04919
175,C05713
176,C00198
177,C00097
178,C01168
179,C00154
180,C07479
181,C00683
182,C22161
183,C03979
184,C06056
185,C11838
186,C00718
187,C11544
188,C04230
189,C18242
190,C09822
191,C11638
192,C05267
193,C04737
194,C01092
195,C21310
196,C19722
197,C02962
198,C05893
199,C00105
200,C01037
201,C04895
202,C00054
203,C07054
204,C01646
205,C00445
206,C21750
207,C00112
208,C21461
209,C05848
210,C00040
211,C00681
212,C03692
213,C00944
214,C00302
215,C02320
216,C11145
217,C00092
218,C02730
219,C05703
220,C16635
221,C11821
222,C02739
223,C00864
224,C04677
225,C01157
226,C06240
227,C15547
228,C22077
229,C02646
230,C04932
231,C22395
232,C03363
233,C14792
234,C15700
235,C00454
236,C14805
237,C00475
238,C04298
239,C00095
240,C05973
