,KEGG ID
0,C00001
1,C00002
2,C00003
3,C00004
4,C00005
5,C00006
6,C00007
7,C00008
8,C00009
9,C00010
10,C00011
11,C00012
12,C00013
13,C00014
14,C00015
15,C00016
16,C00017
17,C00018
18,C00019
19,C00020
20,C00021
21,C00022
22,C00024
23,C00025
24,C00026
25,C00027
26,C00028
27,C00029
28,C00030
29,C00031
30,C00032
31,C00033
32,C00035
33,C00036
34,C00037
35,C00038
36,C00039
37,C00040
38,C00041
39,C00042
40,C00043
41,C00044
42,C00045
43,C00047
44,C00048
45,C00049
46,C00051
47,C00052
48,C00053
49,C00054
50,C00055
51,C00058
52,C00059
53,C00060
54,C00061
55,C00062
56,C00063
57,C00064
58,C00065
59,C00067
60,C00068
61,C00069
62,C00070
63,C00071
64,C00072
65,C00073
66,C00074
67,C00075
68,C00076
69,C00077
70,C00078
71,C00079
72,C00080
73,C00081
74,C00082
75,C00083
76,C00084
77,C00085
78,C00086
79,C00088
80,C00089
81,C00091
82,C00092
83,C00093
84,C00094
85,C00095
86,C00096
87,C00097
88,C00099
89,C00100
90,C00101
91,C00103
92,C00104
93,C00105
94,C00106
95,C00108
96,C00109
97,C00111
98,C00112
99,C00114
100,C00116
101,C00117
102,C00118
103,C00119
104,C00120
105,C00121
106,C00122
107,C00123
108,C00124
109,C00125
110,C00126
111,C00127
112,C00129
113,C00130
114,C00131
115,C00132
116,C00133
117,C00134
118,C00135
119,C00136
120,C00137
121,C00138
122,C00139
123,C00140
124,C00141
125,C00143
126,C00144
127,C00145
128,C00146
129,C00147
130,C00148
131,C00149
132,C00151
133,C00152
134,C00153
135,C00154
136,C00155
137,C00156
138,C00157
139,C00158
140,C00159
141,C00160
142,C00161
143,C00162
144,C00163
145,C00164
146,C00165
147,C00166
148,C00167
149,C00168
150,C00169
151,C00170
152,C00173
153,C00175
154,C00177
155,C00178
156,C00179
157,C00180
158,C00181
159,C00182
160,C00183
161,C00184
162,C00185
163,C00186
164,C00188
165,C00189
166,C00191
167,C00192
168,C00194
169,C00196
170,C00197
171,C00198
172,C00199
173,C00201
174,C00203
175,C00204
176,C00206
177,C00208
178,C00209
179,C00212
180,C00213
181,C00214
182,C00216
183,C00217
184,C00218
185,C00219
186,C00221
187,C00222
188,C00224
189,C00226
190,C00227
191,C00229
192,C00231
193,C00232
194,C00233
195,C00234
196,C00235
197,C00236
198,C00237
199,C00238
200,C00239
201,C00240
202,C00242
203,C00243
204,C00244
205,C00245
206,C00246
207,C00248
208,C00249
209,C00250
210,C00251
211,C00253
212,C00254
213,C00255
214,C00256
215,C00257
216,C00258
217,C00259
218,C00262
219,C00263
220,C00266
221,C00267
222,C00269
223,C00270
224,C00272
225,C00275
226,C00279
227,C00282
228,C00283
229,C00286
230,C00288
231,C00294
232,C00295
233,C00296
234,C00299
235,C00301
236,C00302
237,C00303
238,C00305
239,C00309
240,C00310
241,C00311
242,C00312
243,C00313
244,C00314
245,C00315
246,C00318
247,C00320
248,C00322
249,C00325
250,C00327
251,C00329
252,C00330
253,C00332
254,C00333
255,C00334
256,C00337
257,C00338
258,C00340
259,C00341
260,C00342
261,C00343
262,C00344
263,C00345
264,C00348
265,C00350
266,C00352
267,C00354
268,C00355
269,C00357
270,C00360
271,C00361
272,C00362
273,C00363
274,C00364
275,C00365
276,C00366
277,C00369
278,C00376
279,C00378
280,C00379
281,C00380
282,C00385
283,C00387
284,C00389
285,C00390
286,C00392
287,C00395
288,C00399
289,C00405
290,C00407
291,C00412
292,C00415
293,C00416
294,C00417
295,C00423
296,C00424
297,C00429
298,C00430
299,C00431
300,C00435
301,C00437
302,C00438
303,C00440
304,C00441
305,C00445
306,C00446
307,C00447
308,C00448
309,C00454
310,C00455
311,C00458
312,C00459
313,C00460
314,C00461
315,C00462
316,C00463
317,C00469
318,C00470
319,C00473
320,C00475
321,C00479
322,C00483
323,C00487
324,C00489
325,C00490
326,C00491
327,C00492
328,C00493
329,C00497
330,C00498
331,C00499
332,C00502
333,C00504
334,C00506
335,C00507
336,C00508
337,C00509
338,C00512
339,C00514
340,C00515
341,C00519
342,C00522
343,C00526
344,C00527
345,C00530
346,C00531
347,C00533
348,C00534
349,C00536
350,C00542
351,C00546
352,C00548
353,C00552
354,C00555
355,C00558
356,C00559
357,C00561
358,C00565
359,C00568
360,C00575
361,C00576
362,C00577
363,C00579
364,C00580
365,C00582
366,C00583
367,C00586
368,C00590
369,C00596
370,C00601
371,C00603
372,C00606
373,C00612
374,C00615
375,C00618
376,C00620
377,C00624
378,C00627
379,C00630
380,C00631
381,C00632
382,C00636
383,C00638
384,C00641
385,C00642
386,C00644
387,C00645
388,C00647
389,C00655
390,C00661
391,C00662
392,C00663
393,C00666
394,C00667
395,C00668
396,C00669
397,C00670
398,C00671
399,C00672
400,C00673
401,C00676
402,C00679
403,C00680
404,C00681
405,C00683
406,C00685
407,C00688
408,C00689
409,C00692
410,C00693
411,C00695
412,C00698
413,C00700
414,C00703
415,C00704
416,C00705
417,C00712
418,C00714
419,C00716
420,C00718
421,C00719
422,C00721
423,C00725
424,C00736
425,C00739
426,C00740
427,C00748
428,C00760
429,C00768
430,C00770
431,C00787
432,C00791
433,C00792
434,C00793
435,C00794
436,C00798
437,C00800
438,C00802
439,C00806
440,C00811
441,C00817
442,C00818
443,C00819
444,C00826
445,C00828
446,C00831
447,C00842
448,C00844
449,C00853
450,C00855
451,C00856
452,C00857
453,C00860
454,C00861
455,C00864
456,C00868
457,C00877
458,C00879
459,C00880
460,C00881
461,C00882
462,C00885
463,C00886
464,C00887
465,C00894
466,C00897
467,C00898
468,C00900
469,C00905
470,C00906
471,C00918
472,C00921
473,C00923
474,C00924
475,C00931
476,C00934
477,C00935
478,C00937
479,C00940
480,C00942
481,C00944
482,C00957
483,C00962
484,C00963
485,C00966
486,C00969
487,C00979
488,C00984
489,C00986
490,C00988
491,C00989
492,C00993
493,C01005
494,C01007
495,C01013
496,C01019
497,C01024
498,C01029
499,C01031
500,C01037
501,C01050
502,C01051
503,C01062
504,C01063
505,C01077
506,C01079
507,C01081
508,C01083
509,C01087
510,C01092
511,C01094
512,C01096
513,C01097
514,C01099
515,C01100
516,C01101
517,C01102
518,C01103
519,C01104
520,C01112
521,C01117
522,C01118
523,C01127
524,C01131
525,C01132
526,C01134
527,C01137
528,C01142
529,C01144
530,C01146
531,C01151
532,C01157
533,C01161
534,C01165
535,C01168
536,C01170
537,C01172
538,C01177
539,C01179
540,C01180
541,C01181
542,C01182
543,C01185
544,C01187
545,C01190
546,C01197
547,C01204
548,C01209
549,C01212
550,C01213
551,C01216
552,C01217
553,C01222
554,C01225
555,C01228
556,C01233
557,C01235
558,C01236
559,C01242
560,C01250
561,C01260
562,C01261
563,C01267
564,C01268
565,C01269
566,C01271
567,C01279
568,C01286
569,C01289
570,C01290
571,C01300
572,C01302
573,C01304
574,C01322
575,C01326
576,C01327
577,C01328
578,C01330
579,C01335
580,C01337
581,C01342
582,C01344
583,C01345
584,C01346
585,C01352
586,C01353
587,C01367
588,C01368
589,C01380
590,C01390
591,C01401
592,C01412
593,C01413
594,C01417
595,C01419
596,C01438
597,C01444
598,C01451
599,C01468
600,C01478
601,C01487
602,C01496
603,C01499
604,C01500
605,C01508
606,C01528
607,C01530
608,C01536
609,C01551
610,C01563
611,C01585
612,C01594
613,C01595
614,C01602
615,C01613
616,C01628
617,C01635
618,C01636
619,C01637
620,C01638
621,C01639
622,C01640
623,C01641
624,C01642
625,C01643
626,C01644
627,C01645
628,C01646
629,C01647
630,C01648
631,C01649
632,C01650
633,C01651
634,C01652
635,C01653
636,C01661
637,C01672
638,C01674
639,C01697
640,C01721
641,C01733
642,C01755
643,C01762
644,C01801
645,C01832
646,C01834
647,C01835
648,C01847
649,C01879
650,C01882
651,C01888
652,C01898
653,C01909
654,C01929
655,C01931
656,C01934
657,C01935
658,C01936
659,C01944
660,C01962
661,C01970
662,C01977
663,C01978
664,C01991
665,C01997
666,C02013
667,C02047
668,C02051
669,C02052
670,C02057
671,C02059
672,C02067
673,C02091
674,C02097
675,C02107
676,C02128
677,C02130
678,C02133
679,C02147
680,C02163
681,C02166
682,C02188
683,C02191
684,C02205
685,C02211
686,C02218
687,C02222
688,C02225
689,C02226
690,C02232
691,C02247
692,C02262
693,C02265
694,C02269
695,C02282
696,C02291
697,C02320
698,C02323
699,C02325
700,C02336
701,C02338
702,C02341
703,C02350
704,C02352
705,C02353
706,C02354
707,C02355
708,C02356
709,C02362
710,C02376
711,C02380
712,C02385
713,C02412
714,C02415
715,C02429
716,C02430
717,C02457
718,C02463
719,C02476
720,C02479
721,C02501
722,C02504
723,C02505
724,C02512
725,C02553
726,C02554
727,C02565
728,C02583
729,C02591
730,C02593
731,C02612
732,C02631
733,C02637
734,C02642
735,C02646
736,C02655
737,C02659
738,C02686
739,C02702
740,C02713
741,C02714
742,C02723
743,C02730
744,C02737
745,C02739
746,C02741
747,C02743
748,C02745
749,C02766
750,C02780
751,C02839
752,C02843
753,C02869
754,C02876
755,C02882
756,C02888
757,C02909
758,C02912
759,C02917
760,C02939
761,C02953
762,C02962
763,C02967
764,C02970
765,C02972
766,C02979
767,C02983
768,C02984
769,C02987
770,C02988
771,C02989
772,C02992
773,C02995
774,C02999
775,C03024
776,C03028
777,C03033
778,C03064
779,C03069
780,C03082
781,C03089
782,C03090
783,C03114
784,C03125
785,C03127
786,C03150
787,C03160
788,C03161
789,C03172
790,C03175
791,C03193
792,C03194
793,C03196
794,C03221
795,C03232
796,C03263
797,C03273
798,C03274
799,C03284
800,C03287
801,C03291
802,C03294
803,C03296
804,C03313
805,C03319
806,C03340
807,C03344
808,C03345
809,C03363
810,C03373
811,C03384
812,C03393
813,C03401
814,C03402
815,C03406
816,C03415
817,C03451
818,C03453
819,C03459
820,C03460
821,C03479
822,C03492
823,C03506
824,C03508
825,C03511
826,C03512
827,C03519
828,C03539
829,C03541
830,C03546
831,C03557
832,C03561
833,C03589
834,C03657
835,C03684
836,C03688
837,C03692
838,C03722
839,C03733
840,C03736
841,C03740
842,C03741
843,C03742
844,C03758
845,C03765
846,C03785
847,C03794
848,C03826
849,C03838
850,C03859
851,C03889
852,C03892
853,C03912
854,C03921
855,C03939
856,C03964
857,C03972
858,C03979
859,C04006
860,C04030
861,C04039
862,C04043
863,C04044
864,C04051
865,C04053
866,C04058
867,C04079
868,C04088
869,C04114
870,C04115
871,C04121
872,C04133
873,C04144
874,C04146
875,C04152
876,C04153
877,C04154
878,C04157
879,C04171
880,C04180
881,C04181
882,C04188
883,C04204
884,C04225
885,C04230
886,C04233
887,C04236
888,C04242
889,C04246
890,C04256
891,C04257
892,C04261
893,C04272
894,C04281
895,C04294
896,C04298
897,C04302
898,C04312
899,C04317
900,C04322
901,C04327
902,C04332
903,C04334
904,C04346
905,C04349
906,C04352
907,C04376
908,C04377
909,C04404
910,C04405
911,C04411
912,C04419
913,C04421
914,C04425
915,C04431
916,C04432
917,C04438
918,C04442
919,C04454
920,C04462
921,C04478
922,C04479
923,C04489
924,C04494
925,C04501
926,C04534
927,C04556
928,C04574
929,C04575
930,C04579
931,C04593
932,C04618
933,C04619
934,C04620
935,C04631
936,C04633
937,C04635
938,C04640
939,C04644
940,C04646
941,C04652
942,C04666
943,C04677
944,C04688
945,C04691
946,C04702
947,C04706
948,C04728
949,C04732
950,C04734
951,C04737
952,C04738
953,C04751
954,C04752
955,C04756
956,C04778
957,C04807
958,C04823
959,C04824
960,C04851
961,C04874
962,C04877
963,C04882
964,C04895
965,C04896
966,C04900
967,C04916
968,C04919
969,C04932
970,C05003
971,C05080
972,C05116
973,C05123
974,C05125
975,C05143
976,C05172
977,C05196
978,C05197
979,C05198
980,C05199
981,C05212
982,C05223
983,C05235
984,C05258
985,C05259
986,C05260
987,C05261
988,C05262
989,C05263
990,C05264
991,C05265
992,C05266
993,C05267
994,C05268
995,C05269
996,C05270
997,C05271
998,C05272
999,C05273
1000,C05274
1001,C05275
1002,C05276
1003,C05279
1004,C05280
1005,C05312
1006,C05330
1007,C05332
1008,C05335
1009,C05336
1010,C05337
1011,C05345
1012,C05359
1013,C05360
1014,C05364
1015,C05378
1016,C05379
1017,C05381
1018,C05382
1019,C05385
1020,C05394
1021,C05399
1022,C05400
1023,C05401
1024,C05402
1025,C05403
1026,C05404
1027,C05512
1028,C05519
1029,C05527
1030,C05528
1031,C05529
1032,C05554
1033,C05576
1034,C05577
1035,C05607
1036,C05623
1037,C05627
1038,C05629
1039,C05640
1040,C05649
1041,C05650
1042,C05665
1043,C05668
1044,C05670
1045,C05684
1046,C05686
1047,C05688
1048,C05689
1049,C05691
1050,C05695
1051,C05696
1052,C05697
1053,C05698
1054,C05699
1055,C05702
1056,C05703
1057,C05711
1058,C05712
1059,C05713
1060,C05726
1061,C05729
1062,C05730
1063,C05744
1064,C05745
1065,C05746
1066,C05747
1067,C05748
1068,C05749
1069,C05750
1070,C05751
1071,C05752
1072,C05753
1073,C05754
1074,C05755
1075,C05756
1076,C05757
1077,C05758
1078,C05759
1079,C05760
1080,C05761
1081,C05762
1082,C05763
1083,C05764
1084,C05766
1085,C05768
1086,C05770
1087,C05771
1088,C05774
1089,C05775
1090,C05778
1091,C05787
1092,C05791
1093,C05796
1094,C05807
1095,C05809
1096,C05810
1097,C05811
1098,C05812
1099,C05817
1100,C05819
1101,C05820
1102,C05821
1103,C05822
1104,C05824
1105,C05838
1106,C05839
1107,C05840
1108,C05841
1109,C05844
1110,C05847
1111,C05848
1112,C05850
1113,C05892
1114,C05893
1115,C05897
1116,C05898
1117,C05921
1118,C05922
1119,C05923
1120,C05924
1121,C05925
1122,C05931
1123,C05932
1124,C05938
1125,C05946
1126,C05947
1127,C05951
1128,C05973
1129,C05974
1130,C05980
1131,C05983
1132,C05993
1133,C05998
1134,C05999
1135,C06000
1136,C06002
1137,C06006
1138,C06007
1139,C06010
1140,C06022
1141,C06024
1142,C06025
1143,C06026
1144,C06032
1145,C06037
1146,C06054
1147,C06055
1148,C06056
1149,C06114
1150,C06125
1151,C06126
1152,C06148
1153,C06156
1154,C06157
1155,C06178
1156,C06186
1157,C06187
1158,C06188
1159,C06193
1160,C06194
1161,C06196
1162,C06206
1163,C06224
1164,C06227
1165,C06228
1166,C06229
1167,C06230
1168,C06232
1169,C06240
1170,C06249
1171,C06250
1172,C06251
1173,C06257
1174,C06311
1175,C06329
1176,C06332
1177,C06369
1178,C06376
1179,C06377
1180,C06393
1181,C06397
1182,C06398
1183,C06421
1184,C06422
1185,C06423
1186,C06427
1187,C06441
1188,C06473
1189,C06481
1190,C06482
1191,C06501
1192,C06504
1193,C06505
1194,C06506
1195,C06508
1196,C06509
1197,C06510
1198,C06563
1199,C06567
1200,C06570
1201,C06611
1202,C06612
1203,C06613
1204,C06688
1205,C06694
1206,C06697
1207,C06701
1208,C06710
1209,C06714
1210,C06715
1211,C06735
1212,C06790
1213,C06899
1214,C07054
1215,C07086
1216,C07090
1217,C07091
1218,C07118
1219,C07225
1220,C07335
1221,C07478
1222,C07479
1223,C07490
1224,C07597
1225,C07645
1226,C07648
1227,C07649
1228,C07836
1229,C07838
1230,C08325
1231,C08334
1232,C08353
1233,C09099
1234,C09126
1235,C09306
1236,C09332
1237,C09822
1238,C09847
1239,C09871
1240,C10208
1241,C10216
1242,C10438
1243,C10906
1244,C11038
1245,C11039
1246,C11088
1247,C11143
1248,C11145
1249,C11173
1250,C11215
1251,C11278
1252,C11355
1253,C11376
1254,C11434
1255,C11435
1256,C11436
1257,C11437
1258,C11453
1259,C11457
1260,C11472
1261,C11476
1262,C11477
1263,C11478
1264,C11481
1265,C11514
1266,C11516
1267,C11537
1268,C11544
1269,C11583
1270,C11588
1271,C11638
1272,C11736
1273,C11811
1274,C11821
1275,C11822
1276,C11827
1277,C11838
1278,C11907
1279,C11945
1280,C11946
1281,C11947
1282,C12147
1283,C12205
1284,C12214
1285,C12215
1286,C12248
1287,C12455
1288,C12621
1289,C12622
1290,C12623
1291,C12624
1292,C12632
1293,C12739
1294,C12834
1295,C12835
1296,C12838
1297,C13508
1298,C13645
1299,C14089
1300,C14090
1301,C14099
1302,C14144
1303,C14145
1304,C14179
1305,C14180
1306,C14463
1307,C14786
1308,C14787
1309,C14791
1310,C14792
1311,C14793
1312,C14800
1313,C14802
1314,C14803
1315,C14804
1316,C14805
1317,C14806
1318,C14818
1319,C14819
1320,C14839
1321,C14840
1322,C14847
1323,C14848
1324,C14851
1325,C14852
1326,C14855
1327,C14856
1328,C14857
1329,C14858
1330,C14859
1331,C14861
1332,C14863
1333,C14864
1334,C14865
1335,C14868
1336,C14870
1337,C14871
1338,C14874
1339,C14899
1340,C15025
1341,C15521
1342,C15532
1343,C15547
1344,C15556
1345,C15583
1346,C15586
1347,C15587
1348,C15602
1349,C15603
1350,C15667
1351,C15672
1352,C15673
1353,C15699
1354,C15700
1355,C15767
1356,C15804
1357,C15805
1358,C15806
1359,C15807
1360,C15809
1361,C15810
1362,C15811
1363,C15812
1364,C15813
1365,C15814
1366,C15930
1367,C15972
1368,C15973
1369,C15980
1370,C15996
1371,C15998
1372,C16153
1373,C16154
1374,C16155
1375,C16156
1376,C16157
1377,C16186
1378,C16216
1379,C16218
1380,C16219
1381,C16220
1382,C16221
1383,C16236
1384,C16237
1385,C16238
1386,C16239
1387,C16240
1388,C16241
1389,C16254
1390,C16255
1391,C16272
1392,C16273
1393,C16330
1394,C16331
1395,C16334
1396,C16335
1397,C16338
1398,C16339
1399,C16348
1400,C16391
1401,C16392
1402,C16393
1403,C16396
1404,C16399
1405,C16433
1406,C16435
1407,C16436
1408,C16438
1409,C16439
1410,C16440
1411,C16463
1412,C16466
1413,C16468
1414,C16469
1415,C16470
1416,C16471
1417,C16476
1418,C16477
1419,C16487
1420,C16488
1421,C16489
1422,C16519
1423,C16520
1424,C16551
1425,C16565
1426,C16586
1427,C16587
1428,C16595
1429,C16596
1430,C16614
1431,C16615
1432,C16617
1433,C16618
1434,C16619
1435,C16630
1436,C16631
1437,C16633
1438,C16634
1439,C16635
1440,C16636
1441,C16637
1442,C16639
1443,C16675
1444,C16688
1445,C16698
1446,C16699
1447,C16739
1448,C16831
1449,C16832
1450,C17023
1451,C17210
1452,C17211
1453,C17212
1454,C17213
1455,C17214
1456,C17215
1457,C17216
1458,C17217
1459,C17218
1460,C17219
1461,C17222
1462,C17223
1463,C17226
1464,C17227
1465,C17230
1466,C17231
1467,C17322
1468,C17323
1469,C17324
1470,C17551
1471,C17552
1472,C17556
1473,C17569
1474,C17758
1475,C18060
1476,C18076
1477,C18094
1478,C18096
1479,C18237
1480,C18239
1481,C18242
1482,C18243
1483,C18304
1484,C18305
1485,C18309
1486,C18310
1487,C18796
1488,C18870
1489,C18902
1490,C19078
1491,C19080
1492,C19085
1493,C19586
1494,C19609
1495,C19610
1496,C19647
1497,C19673
1498,C19722
1499,C19723
1500,C19769
1501,C19770
1502,C19771
1503,C19792
1504,C19845
1505,C19846
1506,C19847
1507,C19848
1508,C19858
1509,C19859
1510,C19871
1511,C19875
1512,C19878
1513,C19879
1514,C19880
1515,C19882
1516,C19883
1517,C19884
1518,C19890
1519,C19891
1520,C19909
1521,C19910
1522,C19928
1523,C19945
1524,C19946
1525,C19975
1526,C20062
1527,C20231
1528,C20239
1529,C20246
1530,C20247
1531,C20248
1532,C20249
1533,C20253
1534,C20254
1535,C20258
1536,C20345
1537,C20364
1538,C20372
1539,C20373
1540,C20374
1541,C20375
1542,C20376
1543,C20377
1544,C20378
1545,C20386
1546,C20390
1547,C20396
1548,C20415
1549,C20422
1550,C20423
1551,C20440
1552,C20446
1553,C20451
1554,C20463
1555,C20497
1556,C20498
1557,C20641
1558,C20646
1559,C20648
1560,C20658
