met_id,name,kegg_id,pubchem_id,moldb_smiles
ECMDB00005,2-Ketobutyric acid,C00109,58,CCC(=O)C(O)=O
ECMDB00012,Deoxyuridine,C00526,13712,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O
ECMDB00014,Deoxycytidine,C00881,13711,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
ECMDB00019,a-Ketoisovaleric acid,C00141,,CC(C)C(=O)C(O)=O
ECMDB00023,3-Hydroxyisobutyric acid,C01188,,CC(CO)C(O)=O
ECMDB00026,Ureidopropionic acid,C02642,111,NC(=O)NCCC(O)=O
ECMDB00030,Biotin,C00120,171548,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
ECMDB00034,Adenine,C00147,190,NC1=C2NC=NC2=NC=N1
ECMDB00039,Butyric acid,C00246,264,CCCC(O)=O
ECMDB00042,Acetic acid,C00033,176,CC(O)=O
ECMDB00044,Ascorbic acid,C00072,644104,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
ECMDB00045,Adenosine monophosphate,C00020,6083,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ECMDB00048,Melibiose,C05402,440658,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
ECMDB00050,Adenosine,C00212,,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
ECMDB00051,Ammonia,C00014,222,N
ECMDB00055,Cellobiose,C00185,439178,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00056,beta-Alanine,C00099,239,NCCC(O)=O
ECMDB00058,Cyclic AMP,C00575,6076,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O
ECMDB00060,Acetoacetic acid,C00164,,CC(=O)CC(O)=O
ECMDB00061,"Adenosine 3',5'-diphosphate",C00054,159296,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
ECMDB00062,Carnitine,C00487,10917,C[N+](C)(C)CC(O)CC(O)=O
ECMDB00071,Deoxyinosine,C05512,65058,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O
ECMDB00072,cis-Aconitic acid,C00417,309,OC(=O)C\C(=C\C(O)=O)C(O)=O
ECMDB00073,Dopamine,C03758,681,NCCC1=CC(O)=C(O)C=C1
ECMDB00076,Dihydrouracil,C00429,649,O=C1CCNC(=O)N1
ECMDB00078,Cysteinylglycine,C01419,439498,N[C@@H](CS)C(=O)NCC(O)=O
ECMDB00079,Dihydrothymine,C00906,93556,CC1CNC(=O)NC1=O
ECMDB00082,Cytidine triphosphate,C00063,6176,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB00085,Deoxyguanosine,C00330,187790,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
ECMDB00086,Glycerophosphocholine,C00670,439285,C[N+](C)(C)CCO[P@](O)(=O)OC[C@H](O)CO
ECMDB00089,Cytidine,C00475,6175,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ECMDB00094,Citric acid,C00158,,OC(=O)CC(O)(CC(O)=O)C(O)=O
ECMDB00095,Cytidine monophosphate,C00055,6131,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB00097,Choline,C00114,305,C[N+](C)(C)CCO
ECMDB00098,D-Xylose,C00181,135191,O[C@@H]1COC(O)[C@H](O)[C@H]1O
ECMDB00099,L-Cystathionine,C02291,439258,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O
ECMDB00101,Deoxyadenosine,C00559,,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
ECMDB00107,Galactitol,C01697,11850,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
ECMDB00108,Ethanol,C00469,702,CCO
ECMDB00114,Glycerylphosphorylethanolamine,C01233,123874,OCCN(CC(O)CO)P(O)(O)=O
ECMDB00119,Glyoxylic acid,C00048,760,OC(=O)C=O
ECMDB00121,Folic acid,C00504,6037,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
ECMDB00122,D-Glucose,C00031,5793,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00123,Glycine,C00037,750,NCC(O)=O
ECMDB00124,Fructose 6-phosphate,C00085,69507,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
ECMDB00125,Glutathione,C00051,124886,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
ECMDB00126,Glycerol 3-phosphate,C00093,439162,OC[C@@H](O)COP(O)(O)=O
ECMDB00131,Glycerol,C00116,753,OCC(O)CO
ECMDB00132,Guanine,C00242,764,NC1=NC(=O)C2=C(N1)N=CN2
ECMDB00133,Guanosine,C00387,6802,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
ECMDB00142,Formic acid,C00058,284,OC=O
ECMDB00143,D-Galactose,C00124,439357,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
ECMDB00148,L-Glutamate,C00025,33032,N[C@@H](CCC(O)=O)C(O)=O
ECMDB00149,Ethanolamine,C00189,700,NCCO
ECMDB00150,Gluconolactone,C00198,7027,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00156,L-Malic acid,C00149,222656,O[C@@H](CC(O)=O)C(O)=O
