KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C00001,Water,962,15377,3194.0,O,True
C00002,Adenosine triphosphate,5957,15422,5523.0,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,True
C00003,NAD,5892,44215,5858.0,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,True
C00004,NADH,439153,16908,3687.0,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,True
C00005,NADPH,5884,16474,3691.0,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,True
C00006,NADP,5885,44409,5227.0,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,True
C00007,Oxygen,977,15379,3195.0,O=O,True
C00008,ADP,6022,16761,6175.0,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,True
C00009,Phosphate,1004,26078,3231.0,OP(O)(O)=O,True
C00010,Coenzyme A,87642,15346,6235.0,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,True
C00011,Carbon dioxide,280,16526,3199.0,O=C=O,True
C00012,Peptide,None,16670,None,None,True
C00013,Pyrophosphate,1023,29888,3306.0,OP(O)(=O)OP(O)(O)=O,True
C00014,Ammonia,222,16134,3189.0,N,True
C00015,Uridine 5'-diphosphate,6031,17659,None,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,True
