sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	CCC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Organoheterocyclic compound;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidolactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Pyrimidones;Secondary alcohols;Tetrahydrofurans	Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Imidolactam;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Amine;Organooxygen compound
	CC(C)C(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Fatty Acyls;Hydrocarbon derivatives;Methyl-branched fatty acids;Monocarboxylic acids and derivatives;Organic oxides	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Methyl-branched fatty acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Branched fatty acid;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	CC(CO)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Primary alcohols	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Carboxylic acid derivative;Beta-hydroxy acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Primary alcohol;Organooxygen compound
	NC(=O)NCCC(O)=O	Organic compounds	Organic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carbonic acid derivative;Carboxylic acid;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	Organic compounds	Organoheterocyclic compounds	Biotin and derivatives	Biotin and derivatives	Biotin and derivatives	Aliphatic heteropolycyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Dialkylthioethers;Heterocyclic fatty acids;Hydrocarbon derivatives;Imidazolidinones;Medium-chain fatty acids;Monocarboxylic acids and derivatives;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Thienoimidazolidines;Thiolanes;Thiophenes	Thiolane;Imidazolidine;Fatty acyl;Carbonyl group;Carboxylic acid;Heterocyclic fatty acid;Fatty acid;Thiophene;Carboxylic acid derivative;Aliphatic heteropolycyclic compound;Imidazolidinone;Organic oxide;Biotin_derivative;Organonitrogen compound;Organopnictogen compound;Medium-chain fatty acid;Carbonic acid derivative;Azacycle;Dialkylthioether;Biotin;Thienoimidazolidine;Monocarboxylic acid or derivatives;Organic oxygen compound;Thioether;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	NC1=C2NC=NC2=NC=N1	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Purines and purine derivatives	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Organopnictogen compounds;Primary amines;Pyrimidines and pyrimidine derivatives	Azacycle;Heteroaromatic compound;Pyrimidine;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary amine;Purine;Organic nitrogen compound;Imidolactam;Amine;Azole
	CCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Straight chain fatty acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Straight chain fatty acid;Carboxylic acid;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	CC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	Aliphatic acyclic compounds	Carbonyl compounds;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Monocarboxylic acid or derivatives;Carboxylic acid;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
